machine	interior	overflow	alphabet	blocker
1RB0LD_1LC1RB_1LD1RC_0RC1LA	AFFINE	EXP2	Mp	no inner family at pow2 j
1RB0LD_1LC1RC_1LD1RC_0RC1LA	AFFINE	EXP2	Mp	no inner family at pow2 j
1RB0LD_1RC1LC_1LD1RC_0RC1LA	AFFINE	EXP2	Mp	no inner family at pow2 j
1RB0LD_1RC1RA_1LA0RC_0RA1LD	-	no-anchor	-	no overflow phase at K=6
1RB0LD_1RC1RA_1LA0RC_0RB1LD	-	no-anchor	-	no overflow phase at K=6
1RB0LD_1RC1RA_1LA1LC_0RA1LD	-	no-anchor	-	no overflow phase at K=6
1RB0LD_1RC1RA_1LA1RA_0RA1LD	-	no-anchor	-	no overflow phase at K=6
1RB0LD_1RC1RA_1LA1RA_0RB1LD	-	no-anchor	-	no overflow phase at K=6
1RB0LD_1RC1RA_1LA1RC_0RA1LD	-	no-anchor	-	no overflow phase at K=6
1RB0LD_1RC1RA_1LA1RC_0RB1LD	-	no-anchor	-	no overflow phase at K=6
1RB0LD_1RC1RB_1LD1RC_0RC1LA	AFFINE	EXP2	Mp	no inner family at pow2 j
1RB0LD_1RC1RC_1LD1RC_0RC1LA	AFFINE	EXP2	Mp	no inner family at pow2 j
1RB0RA_0RC1LD_1LB1RC_0LA0LB	AFFINE	EXP2	Mp	no inner family at pow2 j
1RB0RB_0LC0LD_1LC1LD_1RA0RA	EXP4	EXP4	Alph_11_00_1	no interior chain
1RB0RB_0LC1RB_1LC1LD_1LA0RA	AFFINE	AFFINE	Alph_11_00_1	no inner family at pow2 j
1RB0RB_0LC1RD_1LC1LA_0LA1RB	HIGHER	HIGHER	Alph_11_00_1	no interior chain
1RB0RB_0RC1LD_1LB1RC_0LA0LB	AFFINE	EXP2	Alph_01_11_011	no boot chain
1RB0RB_0RC1RC_0LD1LA_1LD0LA	EXP4	EXP4	Alph_11_00_1	no interior chain
1RB0RB_1LA1RC_0LD0RB_1RB1LD	-	no-anchor	-	no overflow phase at K=6
1RB0RB_1LC0RC_1RA0LD_0LB0LC	-	no-anchor	-	no anchor
1RB0RB_1LC1LD_0LC1RA_0LD0RA	-	no-anchor	-	no anchor
1RB0RB_1LC1RA_0LC0LD_0RA0RD	AFFINE	AFFINE	Alph_000_100_1	no interior chain
1RB0RC_0LA0RB_0LD1RC_1LA1LD	QUAD	QUAD	Kp	no interior chain
1RB0RC_0LA1LC_0RD0LB_1LB1RD	AFFINE	EXP2	Alph_01_11_011	no interior chain
1RB0RC_0LB1RC_0LD1RA_1RC1LD	AFFINE	EXP2	Mp	no inner family at pow2 j
1RB0RC_0LC1RD_1LB1LA_1LC0RD	AFFINE	EXP2	Alph_10_11_11	no inner family at pow2 j
1RB0RC_0RC1LD_1LB1RC_0LA0LB	AFFINE	EXP2	Mp	no inner family at pow2 j
1RB0RC_1LA1RC_0LD0RB_1RB1LD	-	no-anchor	-	no overflow phase at K=6
1RB0RC_1LA1RD_1RB1LC_0LC0RB	-	no-anchor	-	no overflow phase at K=6
1RB0RC_1LC0RB_0LC1RD_0RB1LA	AFFINE	AFFINE	Kp	no visit witness for state A (StA is targeted
1RB0RC_1LC0RD_0LC1RD_0RB1LA	AFFINE	AFFINE	Alph_00_10_1	no visit witness for state A (StA is targeted
1RB0RC_1LC1LA_0LB1RD_1LB0RD	AFFINE	EXP2	Alph_10_11_11	no inner family at pow2 j
1RB0RC_1LC1RA_1RD1LB_0LC0RD	AFFINE	AFFINE	Alph_00_01_1	no inner family at pow2 j
1RB0RC_1LC1RD_0LB1LA_1LB0RD	AFFINE	EXP2	Alph_01_11_011	no boot chain
1RB0RD_0LB1LC_1RD1LC_0LC1RA	AFFINE	EXP2	Mp	no inner family at pow2 j
1RB0RD_0LC0RB_1LA1LC_0LC1RD	QUAD	QUAD	Kp	no interior chain
1RB0RD_0RC0LD_1LD1RC_0LA1LB	AFFINE	EXP2	Alph_01_11_011	no interior chain
1RB0RD_0RC1LA_1LD0RB_0LD1RC	AFFINE	AFFINE	Alph_00_10_1	no visit witness for state A (StA is targeted
1RB0RD_1LB0LC_1RD1LC_0LC1RA	AFFINE	EXP2	Mp	no inner family at pow2 j
1RB0RD_1LB1LC_1RC0RA_0LB1RD	-	no-anchor	-	no overflow phase at K=6
1RB0RD_1LC0LB_1LD0LB_1RD0RA	-	no-anchor	-	no anchor
1RB0RD_1LC0LC_1LD0LB_1RD0RA	-	no-anchor	-	no anchor
1RB0RD_1LC0RB_0LC1RD_0RB1LA	AFFINE	AFFINE	Kp	no visit witness for state A (StA is targeted
1RB0RD_1LC1RA_0RB0LC_1LD0LA	AFFINE	EXP2	Alph_00_10_1	no boot chain
1RB0RD_1LC1RD_0LB1RA_1LB0RD	AFFINE	EXP2	Alph_01_11_011	no boot chain
1RB0RD_1RC---_1RD1LC_0LC1RA	-	no-anchor	-	no overflow phase at K=6
1RB0RD_1RC1LB_1LA1RD_0LB0RC	-	no-anchor	-	no overflow phase at K=6
1RB1LA_0LA0LC_1LC1RD_0RB0RD	QUAD	QUAD	Kp	no interior chain
1RB1LA_0LA0RC_0LD0RB_1LD1RC	PARITY-AFFINE	PARITY-AFFINE	Kp	no interior chain
1RB1LA_0LA0RC_0LD1RB_1RC1LD	AFFINE	EXP2	Alph_01_11_011	no boot chain
1RB1LA_0LA1RC_0LD0RB_1LA1LD	AFFINE	EXP2	Alph_01_11_011	no boot chain
1RB1LA_0LA1RC_0LD0RB_1LA1RD	AFFINE	EXP2	Mp	no inner family at pow2 j
1RB1LA_0LA1RC_0LD0RB_1RB1RD	AFFINE	EXP2	Mp	no inner family at pow2 j
1RB1LA_0LA1RC_0LD0RC_1LD0RB	QUAD	QUAD	Kp	no interior chain
1RB1LA_0LA1RC_0RD0RB_1LB0LA	AFFINE	EXP2	Mp	no inner family at pow2 j
1RB1LA_0LA1RC_0RD0RB_1LB0LD	AFFINE	EXP2	Mp	no inner family at pow2 j
1RB1LA_0LA1RC_0RD0RB_1LB0RA	-	no-anchor	-	no overflow phase at K=6
1RB1LA_0LA1RC_0RD0RB_1LB1RA	-	no-anchor	-	no overflow phase at K=6
1RB1LA_0LA1RC_0RD0RB_1LB1RD	-	no-anchor	-	no overflow phase at K=6
1RB1LA_0LA1RC_0RD0RB_1LC1RA	-	no-anchor	-	no overflow phase at K=6
1RB1LA_0LA1RC_0RD0RB_1LD0LA	-	no-anchor	-	no overflow phase at K=6
1RB1LA_0LA1RC_0RD0RB_1RA---	-	no-anchor	-	no overflow phase at K=6
1RB1LA_0LA1RC_1LD0RB_---1LA	AFFINE	EXP2	Mp	no inner family at pow2 j
1RB1LA_0LA1RC_1LD0RB_---1RA	AFFINE	EXP2	Mp	no inner family at pow2 j
1RB1LA_0LA1RC_1LD0RB_0RA1LD	AFFINE	EXP2	Mp	no inner family at pow2 j
1RB1LA_0LA1RC_1LD0RB_1LA1LD	AFFINE	EXP2	Mp	no inner family at pow2 j
1RB1LA_0LA1RC_1LD0RB_1RA1LD	AFFINE	EXP2	Mp	no inner family at pow2 j
1RB1LA_0LA1RC_1LD0RB_1RA1RD	-	no-anchor	-	no overflow phase at K=6
1RB1LA_0LA1RC_1LD0RB_1RB1LD	AFFINE	EXP2	Mp	no inner family at pow2 j
1RB1LA_0LA1RC_1RD0RB_0LD1LA	AFFINE	EXP2	Mp	no inner family at pow2 j
1RB1LA_0LA1RC_1RD0RB_1LD0LA	AFFINE	EXP2	Mp	no inner family at pow2 j
1RB1LA_0LA1RC_1RD0RB_1LD0LC	AFFINE	EXP2	Mp	no inner family at pow2 j
1RB1LA_0LA1RC_1RD0RB_1RA---	-	no-anchor	-	no overflow phase at K=6
1RB1LA_0LC0RD_1LC1RD_0LA0RB	PARITY-AFFINE	PARITY-AFFINE	Kp	no interior chain
1RB1LA_0LC1RD_1LC1LA_0LA0RB	AFFINE	EXP2	Alph_10_11_11	no inner interior chain
1RB1LA_0LC1RD_1RA1LA_0LA0RB	-	no-anchor	-	no overflow phase at K=6
1RB1LA_0LC1RD_1RA1LC_0LA0RB	AFFINE	EXP2	Alph_10_11_11	no inner family at pow2 j
