machine	interior	overflow	alphabet	blocker
1RB1LC_1RC1RB_1LA0RD_0LC1RD	-	no-anchor	-	no overflow phase at K=6
1RB1LC_1RC1RC_1LA0RD_0LC1RD	AFFINE	EXP2	Jp	no exit chain
1RB1LD_0LB1LC_1LA1RC_0RC0LA	-	no-anchor	-	no overflow phase at K=6
1RB1LD_0LB1RC_1LA0RC_0RB0LB	AFFINE	AFFINE	Dp	no interior chain
1RB1LD_0LC0RD_0LA1RC_1LA0RC	AFFINE	EXP2	Jp	no inner family at pow2 j
1RB1LD_0LC1RD_0LA1RC_1LA0RC	AFFINE	EXP2	Jp	no inner family at pow2 j
1RB1LD_0LC1RD_0LD1RC_1LA0RC	AFFINE	EXP2	Jp	no exit chain
1RB1LD_0RC1LB_1LA1RD_1RC0LB	AFFINE	EXP2	Jp	no exit chain
1RB1LD_0RC1RD_0LD1RC_1LA0RC	AFFINE	EXP2	Jp	no exit chain
1RB1LD_1LB1LC_1LA1RC_0RC0LA	-	no-anchor	-	no overflow phase at K=6
1RB1LD_1LB1RC_1LA1RC_0RC0LA	-	no-anchor	-	no overflow phase at K=6
1RB1LD_1LC---_1LA1RC_0RC0LA	-	no-anchor	-	no overflow phase at K=6
1RB1LD_1LC1LB_0LA1RC_1LA0RC	-	no-anchor	-	no overflow phase at K=6
1RB1LD_1LC1RA_0RB0LC_0RA0LD	AFFINE	HIGHER	Alph_00_01_1	no inner interior chain
1RB1LD_1LC1RD_0LA1RC_1LA0RC	AFFINE	EXP2	Jp	no exit chain
1RB1LD_1LC1RD_0LD1RC_1LA0RC	AFFINE	EXP2	Jp	no exit chain
1RB1LD_1RC---_1LA1RC_0RC0LA	-	no-anchor	-	no overflow phase at K=6
1RB1LD_1RC0RB_1LA0RB_0LD1LB	-	no-anchor	-	no anchor
1RB1LD_1RC0RC_1LA0LA_0RA0LD	EXP4	EXP4	Dp	no interior chain
1RB1LD_1RC1RB_1LC1LA_0RC0RD	-	no-anchor	-	no anchor
1RB1LD_1RC1RD_0LA1RC_1LA0RC	AFFINE	EXP2	Jp	no exit chain
1RB1LD_1RC1RD_0LD1RC_1LA0RC	AFFINE	EXP2	Jp	no exit chain
1RB1RA_0RC0RB_0RD1RA_1LD1LB	-	no-anchor	-	no anchor
1RB1RA_0RC1LA_1LC1LD_0RB0RD	-	no-anchor	-	no anchor
1RB1RA_0RC1LB_1LA1RD_1RC0LB	-	no-anchor	-	no overflow phase at K=6
1RB1RA_1LC0LD_0RA0LC_0RA1LD	QUAD	QUAD	Kp	no interior chain
1RB1RA_1LC0LD_0RB0LC_0RA1LD	QUAD	QUAD	Kp	no interior chain
1RB1RA_1LC0RD_1LA1LB_0LB1RD	-	no-anchor	-	no overflow phase at K=6
1RB1RA_1LC0RD_1RA1LB_0LB1RD	-	no-anchor	-	no overflow phase at K=6
1RB1RA_1LC1RB_0RB1LD_0RA0LC	AFFINE	EXP2	Alph_01_11_011	no boot chain
1RB1RA_1LC1RB_0RB1LD_1RA0LC	AFFINE	EXP2	Mp	no inner family at pow2 j
1RB1RA_1RC0LA_1LD1RB_0RB0LD	AFFINE	AFFINE	Alph_00_01_1	no inner family at pow2 j
1RB1RA_1RC1LB_0LB1RD_1LA0RC	-	no-anchor	-	no overflow phase at K=6
1RB1RB_1LA1RC_0LD0RB_1RB1LD	-	no-anchor	-	no overflow phase at K=6
1RB1RB_1LC0RB_0LC1RD_0RB1LA	AFFINE	AFFINE	Kp	no visit witness for state A (StA is targeted
1RB1RB_1LC0RD_0RA1LB_0LB1RD	AFFINE	EXP2	Jp	no exit chain
1RB1RB_1LC0RD_0RA1LB_0LC1RD	-	no-anchor	-	no overflow phase at K=6
1RB1RB_1LC0RD_1RA1LB_0LB1RD	AFFINE	EXP2	Jp	no exit chain
1RB1RB_1LC1RB_0RB1LD_1RA0LC	AFFINE	EXP2	Mp	no inner family at pow2 j
1RB1RB_1RC1LB_0LB1RD_1LA0RC	AFFINE	EXP2	Mp	no inner family at pow2 j
1RB1RC_0LA0RB_0LD0RC_1LD1LA	QUAD	QUAD	Kp	no interior chain
1RB1RC_0LB1LC_0LD0RA_1RA1LD	-	no-anchor	-	no overflow phase at K=6
1RB1RC_0LC1RB_1LD0RB_0RA1LC	AFFINE	EXP2	Jp	no exit chain
1RB1RC_0LC1RB_1LD0RB_1RA1LC	AFFINE	EXP2	Jp	no exit chain
1RB1RC_0LC1RD_1RB1LC_1LA0RB	AFFINE	EXP2	Mp	no inner family at pow2 j
1RB1RC_0RC1LA_1LD0RB_0LD1RC	AFFINE	AFFINE	Bp	no visit witness for state A (StA is targeted
1RB1RC_0RC1LD_1LB1RC_0RA0LB	AFFINE	EXP2	Alph_01_11_011	no boot chain
1RB1RC_0RC1LD_1LB1RC_1RA0LB	AFFINE	EXP2	Mp	no inner family at pow2 j
1RB1RC_1LA0LB_1LD0RD_1LB0RC	EXP3	EXP3	Ip	no interior chain
1RB1RC_1LA0RD_1RD1LC_0LC1RB	AFFINE	EXP2	Mp	no inner family at pow2 j
1RB1RC_1LA1LD_0RB0RC_1LB0LB	AFFINE	AFFINE	Ip	no interior chain
1RB1RC_1LA1RA_0RC1LD_1LB0LD	AFFINE	EXP2	Alph_000_111_111	no inner family at pow2 j
1RB1RC_1LA1RC_0LD0RB_1RB1LD	-	no-anchor	-	no overflow phase at K=6
1RB1RC_1LA1RD_1RB1LC_0LC0RB	-	no-anchor	-	no overflow phase at K=6
1RB1RC_1LC0RB_0LC1RD_0RB0LA	AFFINE	AFFINE	Kp	no visit witness for state A (StA is targeted
1RB1RC_1LC0RB_0LC1RD_0RB1LA	AFFINE	AFFINE	Kp	no visit witness for state A (StA is targeted
1RB1RC_1LC0RB_1RA0LD_0RA1LD	-	no-anchor	-	no overflow phase at K=6
1RB1RC_1LC0RB_1RA0LD_0RC1LD	-	no-anchor	-	no overflow phase at K=6
1RB1RC_1LC0RD_0LC1RD_0RB0LA	AFFINE	AFFINE	Alph_00_10_1	no visit witness for state A (StA is targeted
1RB1RC_1LC0RD_0LC1RD_0RB1LA	AFFINE	AFFINE	Alph_00_10_1	no visit witness for state A (StA is targeted
1RB1RC_1LC1LB_1RA0LD_0RC1LD	-	no-anchor	-	no overflow phase at K=6
1RB1RC_1LC1RB_1RA0LD_0RA1LD	-	no-anchor	-	no overflow phase at K=6
1RB1RC_1LC1RB_1RA0LD_0RC1LD	-	no-anchor	-	no overflow phase at K=6
1RB1RC_1LC1RC_1RA0LD_0RA1LD	-	no-anchor	-	no overflow phase at K=6
1RB1RC_1LC1RC_1RA0LD_0RC1LD	-	no-anchor	-	no overflow phase at K=6
1RB1RC_1LC1RD_1RA1LD_0RD0LB	-	no-anchor	-	no anchor
1RB1RC_1RC1LA_1LD1RB_0RB0LD	AFFINE	AFFINE	Alph_00_01_1	no inner family at pow2 j
1RB1RD_0LC1RB_0RA1LD_1LC0RB	AFFINE	EXP2	Jp	no exit chain
1RB1RD_0LC1RB_1RA1LD_1LC0RB	AFFINE	EXP2	Jp	no exit chain
1RB1RD_0LC1RD_1LB1LA_1LC0RD	AFFINE	EXP2	Mp	no inner family at pow2 j
1RB1RD_0RC1LA_1LD0RB_0LD1RC	AFFINE	AFFINE	Alph_00_10_1	no visit witness for state A (StA is targeted
1RB1RD_1LB0LC_1RA1LC_0LC0RA	-	no-anchor	-	no overflow phase at K=6
1RB1RD_1LC0RB_0LC1RD_0RB0LA	AFFINE	AFFINE	Kp	no visit witness for state A (StA is targeted
1RB1RD_1LC0RD_0LC1RD_0RB0LA	AFFINE	AFFINE	Alph_00_10_1	no visit witness for state A (StA is targeted
1RB1RD_1LC1RA_0RB0LC_1LA0RD	-	no-anchor	-	no overflow phase at K=6
1RB1RD_1LC1RD_0LB1LA_1LB0RD	-	no-anchor	-	no overflow phase at K=6
1RB1RD_1RC0LD_1LB0RA_1LC0LC	-	no-anchor	-	no anchor
1RB1RD_1RC1LB_0LA1RD_0LB0RC	-	no-anchor	-	no overflow phase at K=6
1RB1RD_1RC1LB_1LA1RD_0LB0RC	-	no-anchor	-	no overflow phase at K=6
