machine	theorem	file	side	anchor	period	reach
1RB0RD_1LC0LD_0RB0LB_1RD0RA	nqh_1RB0RD_1LC0LD_0RB0LB_1RD0RA	theories/Machines/TCyc8_01.v	R	1033	167	9
1RB1RC_0RC1RA_1LD0RB_0LD1LA	nqh_1RB1RC_0RC1RA_1LD0RB_0LD1LA	theories/Machines/TCyc8_02.v	R	2457	597	7
1RB1LB_1RC0LA_0RD0RC_1LD1LA	nqh_1RB1LB_1RC0LA_0RD0RC_1LD1LA	theories/Machines/TCyc8_03.v	R	9392	2215	26
1RB0RB_1LC0RA_0LC0LD_1RD1RB	nqh_1RB0RB_1LC0RA_0LC0LD_1RD1RB	theories/Machines/TCyc8_04.v	R	1477	318	15
1RB0LB_1LC0LC_0LD1LD_1RD0LA	nqh_1RB0LB_1LC0LC_0LD1LD_1RD0LA	theories/Machines/TCyc8_05.v	L	408	67	3
1RB0LD_0LC1LB_1RC1RD_0LB0LA	nqh_1RB0LD_0LC1LB_1RC1RD_0LB0LA	theories/Machines/TCyc8_06.v	L	402	67	1
1RB0RB_1LC0LD_1RA1LB_0LB0LC	nqh_1RB0RB_1LC0LD_1RA1LB_0LB0LC	theories/Machines/TCyc8_07.v	L	837	170	12
1RB1LC_1RC0RC_1LA0LD_0LC0LA	nqh_1RB1LC_1RC0RC_1LA0LD_0LC0LA	theories/Machines/TCyc8_08.v	L	856	170	4
