machine	theorem	file	n	t	contexts
1RB0LA_0RC0RD_1LA1RA_0LC0RC	nqh_1RB0LA_0RC0RD_1LA1RA_0LC0RC	theories/Machines/Bulk/Bulk_001.v	2	0	57
1RB0LA_0RC0RD_1LA1RA_0LC1LB	nqh_1RB0LA_0RC0RD_1LA1RA_0LC1LB	theories/Machines/Bulk/Bulk_001.v	2	0	47
1RB0LA_0RC0RD_1LA1RA_0LC1RA	nqh_1RB0LA_0RC0RD_1LA1RA_0LC1RA	theories/Machines/Bulk/Bulk_001.v	2	0	47
1RB0LA_0RC0RD_1LA1RA_0LC1RD	nqh_1RB0LA_0RC0RD_1LA1RA_0LC1RD	theories/Machines/Bulk/Bulk_001.v	2	0	52
1RB0LA_0RC0RD_1LA1RB_1LC1RC	nqh_1RB0LA_0RC0RD_1LA1RB_1LC1RC	theories/Machines/Bulk/Bulk_001.v	2	0	68
1RB0LA_0RC0RD_1LA1RD_1LC1RB	nqh_1RB0LA_0RC0RD_1LA1RD_1LC1RB	theories/Machines/Bulk/Bulk_001.v	2	0	70
1RB0LA_0RC1LA_0RD1RB_1LD1LA	nqh_1RB0LA_0RC1LA_0RD1RB_1LD1LA	theories/Machines/Bulk/Bulk_001.v	3	0	150
1RB0LA_0RC1LA_1LB1RD_1LB1RB	nqh_1RB0LA_0RC1LA_1LB1RD_1LB1RB	theories/Machines/Bulk/Bulk_001.v	2	0	60
1RB0LA_0RC1LA_1RD0LB_1LB1RB	nqh_1RB0LA_0RC1LA_1RD0LB_1LB1RB	theories/Machines/Bulk/Bulk_001.v	2	0	60
1RB0LA_0RC1LA_1RD0RA_0LB1RB	nqh_1RB0LA_0RC1LA_1RD0RA_0LB1RB	theories/Machines/Bulk/Bulk_001.v	2	0	48
1RB0LA_0RC1LA_1RD0RA_1LB0RA	nqh_1RB0LA_0RC1LA_1RD0RA_1LB0RA	theories/Machines/Bulk/Bulk_001.v	2	0	62
1RB0LA_0RC1LA_1RD1LC_1LB0RB	nqh_1RB0LA_0RC1LA_1RD1LC_1LB0RB	theories/Machines/Bulk/Bulk_001.v	2	0	84
1RB0LA_0RC1LA_1RD1RA_0LB1LA	nqh_1RB0LA_0RC1LA_1RD1RA_0LB1LA	theories/Machines/Bulk/Bulk_001.v	2	0	48
1RB0LA_0RC1LA_1RD1RA_0LB1RD	nqh_1RB0LA_0RC1LA_1RD1RA_0LB1RD	theories/Machines/Bulk/Bulk_001.v	2	0	51
1RB0LA_0RC1LA_1RD1RA_0LD1LA	nqh_1RB0LA_0RC1LA_1RD1RA_0LD1LA	theories/Machines/Bulk/Bulk_002.v	2	0	48
1RB0LA_0RC1LA_1RD1RA_1LB0RB	nqh_1RB0LA_0RC1LA_1RD1RA_1LB0RB	theories/Machines/Bulk/Bulk_002.v	2	0	76
1RB0LA_0RC1LA_1RD1RB_0LB1RB	nqh_1RB0LA_0RC1LA_1RD1RB_0LB1RB	theories/Machines/Bulk/Bulk_002.v	2	0	48
1RB0LA_0RC1LA_1RD1RB_1LB0RA	nqh_1RB0LA_0RC1LA_1RD1RB_1LB0RA	theories/Machines/Bulk/Bulk_002.v	2	0	61
1RB0LA_0RC1LA_1RD1RC_0LB1RB	nqh_1RB0LA_0RC1LA_1RD1RC_0LB1RB	theories/Machines/Bulk/Bulk_002.v	2	0	56
1RB0LA_0RC1LA_1RD1RD_1LB1RB	nqh_1RB0LA_0RC1LA_1RD1RD_1LB1RB	theories/Machines/Bulk/Bulk_002.v	2	0	60
1RB0LA_0RC1LD_1LD0RC_1LA1RD	nqh_1RB0LA_0RC1LD_1LD0RC_1LA1RD	theories/Machines/Bulk/Bulk_002.v	2	0	72
1RB0LA_0RC1RA_0LD0RB_1LA---	nqh_1RB0LA_0RC1RA_0LD0RB_1LAXXX	theories/Machines/Bulk/Bulk_002.v	2	0	55
1RB0LA_0RC1RA_0LD0RB_1RC1LA	nqh_1RB0LA_0RC1RA_0LD0RB_1RC1LA	theories/Machines/Bulk/Bulk_002.v	2	0	69
1RB0LA_0RC1RA_0LD0RD_1RC1LA	nqh_1RB0LA_0RC1RA_0LD0RD_1RC1LA	theories/Machines/Bulk/Bulk_002.v	2	0	65
1RB0LA_0RC1RA_0LD1RB_1LD1LB	nqh_1RB0LA_0RC1RA_0LD1RB_1LD1LB	theories/Machines/Bulk/Bulk_002.v	2	0	49
1RB0LA_0RC1RA_0LD1RC_1LA0RB	nqh_1RB0LA_0RC1RA_0LD1RC_1LA0RB	theories/Machines/Bulk/Bulk_002.v	2	0	62
1RB0LA_0RC1RB_0LD0RD_1RC1LA	nqh_1RB0LA_0RC1RB_0LD0RD_1RC1LA	theories/Machines/Bulk/Bulk_002.v	2	0	65
1RB0LA_0RC1RB_1LD0RC_1LA---	nqh_1RB0LA_0RC1RB_1LD0RC_1LAXXX	theories/Machines/Bulk/Bulk_002.v	2	0	62
1RB0LA_0RC1RB_1LD0RD_1LA0RC	nqh_1RB0LA_0RC1RB_1LD0RD_1LA0RC	theories/Machines/Bulk/Bulk_002.v	2	0	72
1RB0LA_0RC1RC_0LD0RB_1LA1RA	nqh_1RB0LA_0RC1RC_0LD0RB_1LA1RA	theories/Machines/Bulk/Bulk_002.v	2	0	62
1RB0LA_0RC1RC_0LD1RA_1LA0RA	nqh_1RB0LA_0RC1RC_0LD1RA_1LA0RA	theories/Machines/Bulk/Bulk_002.v	2	0	48
1RB0LA_0RC1RD_1LC1LA_0RB0RC	nqh_1RB0LA_0RC1RD_1LC1LA_0RB0RC	theories/Machines/Bulk/Bulk_002.v	3	0	176
1RB0LA_0RC1RD_1LD0RB_1LA1RB	nqh_1RB0LA_0RC1RD_1LD0RB_1LA1RB	theories/Machines/Bulk/Bulk_002.v	2	0	86
1RB0LA_0RC1RD_1LD0RC_1LA0RD	nqh_1RB0LA_0RC1RD_1LD0RC_1LA0RD	theories/Machines/Bulk/Bulk_002.v	2	0	88
1RB0LA_0RC1RD_1LD0RC_1LA1RA	nqh_1RB0LA_0RC1RD_1LD0RC_1LA1RA	theories/Machines/Bulk/Bulk_002.v	2	0	71
1RB0LA_0RC1RD_1LD0RC_1LA1RB	nqh_1RB0LA_0RC1RD_1LD0RC_1LA1RB	theories/Machines/Bulk/Bulk_002.v	2	0	70
1RB0LA_0RC1RD_1LD0RC_1LA1RC	nqh_1RB0LA_0RC1RD_1LD0RC_1LA1RC	theories/Machines/Bulk/Bulk_002.v	2	0	74
1RB0LA_0RC1RD_1LD0RC_1LA1RD	nqh_1RB0LA_0RC1RD_1LD0RC_1LA1RD	theories/Machines/Bulk/Bulk_002.v	2	0	68
1RB0LA_0RC1RD_1RD1RA_0LD1LA	nqh_1RB0LA_0RC1RD_1RD1RA_0LD1LA	theories/Machines/Bulk/Bulk_002.v	2	0	53
1RB0LA_1LB1RC_1RD1LC_1LA0RD	nqh_1RB0LA_1LB1RC_1RD1LC_1LA0RD	theories/Machines/Bulk/Bulk_002.v	2	0	83
1RB0LA_1LC0RB_0RD0LD_1LA1RB	nqh_1RB0LA_1LC0RB_0RD0LD_1LA1RB	theories/Machines/Bulk/Bulk_002.v	2	0	84
1RB0LA_1LC0RB_1LD1RC_0LA0RB	nqh_1RB0LA_1LC0RB_1LD1RC_0LA0RB	theories/Machines/Bulk/Bulk_002.v	2	0	64
1RB0LA_1LC0RB_1RC1LD_1LA1RD	nqh_1RB0LA_1LC0RB_1RC1LD_1LA1RD	theories/Machines/Bulk/Bulk_002.v	2	0	83
1RB0LA_1LC0RB_1RD0LD_1LA1RB	nqh_1RB0LA_1LC0RB_1RD0LD_1LA1RB	theories/Machines/Bulk/Bulk_002.v	2	0	84
1RB0LA_1LC0RB_1RD1LA_---1RA	nqh_1RB0LA_1LC0RB_1RD1LA_XXX1RA	theories/Machines/Bulk/Bulk_002.v	2	0	80
1RB0LA_1LC0RB_1RD1LA_1LA1RC	nqh_1RB0LA_1LC0RB_1RD1LA_1LA1RC	theories/Machines/Bulk/Bulk_002.v	2	0	80
1RB0LA_1LC0RB_1RD1LA_1LA1RD	nqh_1RB0LA_1LC0RB_1RD1LA_1LA1RD	theories/Machines/Bulk/Bulk_002.v	2	0	74
1RB0LA_1LC0RB_1RD1LA_1LD1RC	nqh_1RB0LA_1LC0RB_1RD1LA_1LD1RC	theories/Machines/Bulk/Bulk_002.v	2	0	80
1RB0LA_1LC0RB_1RD1LA_1RA1RC	nqh_1RB0LA_1LC0RB_1RD1LA_1RA1RC	theories/Machines/Bulk/Bulk_002.v	2	0	89
1RB0LA_1LC0RB_1RD1LA_1RA1RD	nqh_1RB0LA_1LC0RB_1RD1LA_1RA1RD	theories/Machines/Bulk/Bulk_002.v	2	0	84
1RB0LA_1LC0RB_1RD1LA_1RB1RC	nqh_1RB0LA_1LC0RB_1RD1LA_1RB1RC	theories/Machines/Bulk/Bulk_002.v	2	0	88
