1RB0LC_0LA1RA_1LA0RD_1LD1RC	v6 cert, needs blk,rulepfx
1RB0LC_1LA1RA_1LA0RD_1LD1RC	v6 cert, needs blk,rulepfx
1RB0LC_1RC0RA_1LA1LD_1LC---	v3 cert, needs blk
1RB0LD_0LC1RA_1LC1RD_1LA0RC	v6 cert, needs blk,rulepfx
1RB0LD_0LC1RD_0RD1LC_1RB1LA	v6 cert, needs blk,rulepfx
1RB0LD_0LC1RD_1LA1LC_1RB1LA	v6 cert, needs blk,rulepfx
1RB0LD_0LC1RD_1LD1LC_1RB1LA	v6 cert, needs blk,rulepfx
1RB0LD_0LC1RD_1RA1LC_1RB1LA	v6 cert, needs blk,rulepfx
1RB0LD_0LC1RD_1RB1LC_1RB1LA	v6 cert, needs blk,rulepfx
1RB0LD_0RC1RA_1LC1RD_1LA0RC	v6 cert, needs blk,rulepfx
1RB0LD_1LC0RA_0LD1LB_1RD1LA	v6 cert, needs blk,rulepfx
1RB0LD_1LC0RA_0RA0LB_1RD1RC	v3 cert, needs blk
1RB0LD_1LC0RA_0RB1LB_1RD1LA	v6 cert, needs blk,rulepfx
1RB0LD_1LC0RA_0RD1LB_1RD1LA	v6 cert, needs blk,rulepfx
1RB0LD_1LC0RA_1RB1LB_1RD1LA	v6 cert, needs blk,rulepfx
1RB0LD_1LC0RA_1RD1LB_1RD1LA	v6 cert, needs blk,rulepfx
1RB0LD_1LC1RA_1LC1RD_1LA0RC	v6 cert, needs blk,rulepfx
1RB0LD_1LC1RD_0RD1LC_1RB1LA	v6 cert, needs blk,rulepfx
1RB0LD_1LC1RD_1LA1LC_1RB1LA	v6 cert, needs blk,rulepfx
1RB0LD_1LC1RD_1LD1LC_1RB1LA	v6 cert, needs blk,rulepfx
1RB0LD_1LC1RD_1RA1LC_1RB1LA	v6 cert, needs blk,rulepfx
1RB0LD_1LC1RD_1RB1LC_1RB1LA	v6 cert, needs blk,rulepfx
1RB0RC_1LC1LD_1RA0LB_1LB---	v3 cert, needs blk
1RB0RD_1LC1LB_1RD0LB_0RD1RA	v3 cert, needs blk
1RB1LA_0LA1RC_1RB1LD_1RB0LC	v6 cert, needs blk,rulepfx
1RB1LA_1LA1RC_1RB1LD_1RB0LC	v6 cert, needs blk,rulepfx
1RB1LA_1RC0LD_0LA1RD_1RC1LB	v6 cert, needs blk,rulepfx
1RB1LA_1RC0LD_1LA1RD_1RC1LB	v6 cert, needs blk,rulepfx
1RB1LB_1LA0RC_1RB0LD_1RD1LC	v6 cert, needs blk,rulepfx
1RB1LC_0LC1RB_1LA1RD_1LA0RC	v6 cert, needs blk,rulepfx
1RB1LC_1LA1RB_1LA1RD_1LA0RC	v6 cert, needs blk,rulepfx
1RB1LC_1RC1RB_1LA1RD_1LA0RC	v6 cert, needs blk,rulepfx
1RB1LD_0LC1RA_0RA1LC_1RB0LA	v6 cert, needs blk,rulepfx
1RB1LD_0LC1RA_1LA1LC_1RB0LA	v6 cert, needs blk,rulepfx
1RB1LD_0LC1RA_1LD1LC_1RB0LA	v6 cert, needs blk,rulepfx
1RB1LD_0LC1RA_1RB1LC_1RB0LA	v6 cert, needs blk,rulepfx
1RB1LD_0LC1RA_1RD1LC_1RB0LA	v6 cert, needs blk,rulepfx
1RB1LD_1LC1RA_0RA1LC_1RB0LA	v6 cert, needs blk,rulepfx
1RB1LD_1LC1RA_1LA1LC_1RB0LA	v6 cert, needs blk,rulepfx
1RB1LD_1LC1RA_1LD1LC_1RB0LA	v6 cert, needs blk,rulepfx
1RB1LD_1LC1RA_1RB1LC_1RB0LA	v6 cert, needs blk,rulepfx
1RB1LD_1LC1RA_1RD1LC_1RB0LA	v6 cert, needs blk,rulepfx
1RB1LD_1LC1RB_1LA0RD_1LA1RC	v6 cert, needs blk,rulepfx
1RB1LD_1RC1RB_1LA0RD_1LA1RC	v6 cert, needs blk,rulepfx
1RB1RA_0RC0RB_1LC1LD_0RA0LA	v4 cert, needs mmrow,nvar,tplrunmv
1RB1RA_1LC0RB_1LB1LD_0RA1RB	v7 cert, needs rulepfx,rulerunm
1RB1RA_1LC0RB_1LB1LD_1RA1RB	v7 cert, needs rulepfx,rulerunm
1RB1RA_1LC0RD_0RA1LD_1LC1RB	v6 cert, needs blk,rulepfx
1RB1RA_1LC0RD_1RA1LD_1LC1RB	v6 cert, needs blk,rulepfx
1RB1RA_1LC1RD_0RA1LB_1LC0RB	v6 cert, needs blk,rulepfx
1RB1RA_1LC1RD_1RA1LB_1LC0RB	v6 cert, needs blk,rulepfx
1RB1RC_0LA1RB_1LD0RC_1LC1LA	v7 cert, needs rulepfx,rulerunm
1RB1RC_1RC1RB_1LD0RC_1LC1LA	v7 cert, needs rulepfx,rulerunm
1RB1RD_1LC0RA_1LA0LB_1RA---	v3 cert, needs blk
1RB1RD_1LC1RB_1LD1LA_1LC0RD	v7 cert, needs rulepfx,rulerunm
1RB1RD_1RC1RB_1LD1LA_1LC0RD	v7 cert, needs rulepfx,rulerunm
