machine	theorem	file
1RB1LD_1LC1RA_0RA1LC_1RB0LA	irbp_1RB1LD_1LC1RA_0RA1LC_1RB0LA_never_quasihalts	theories/Machines/IRulesBlkPfx_Batch_04.v
1RB1LD_1LC1RA_1LA1LC_1RB0LA	irbp_1RB1LD_1LC1RA_1LA1LC_1RB0LA_never_quasihalts	theories/Machines/IRulesBlkPfx_Batch_04.v
1RB1LD_1LC1RA_1LD1LC_1RB0LA	irbp_1RB1LD_1LC1RA_1LD1LC_1RB0LA_never_quasihalts	theories/Machines/IRulesBlkPfx_Batch_04.v
1RB1LD_1LC1RA_1RB1LC_1RB0LA	irbp_1RB1LD_1LC1RA_1RB1LC_1RB0LA_never_quasihalts	theories/Machines/IRulesBlkPfx_Batch_04.v
1RB1LD_1LC1RA_1RD1LC_1RB0LA	irbp_1RB1LD_1LC1RA_1RD1LC_1RB0LA_never_quasihalts	theories/Machines/IRulesBlkPfx_Batch_04.v
1RB1LD_1LC1RB_1LA0RD_1LA1RC	irbp_1RB1LD_1LC1RB_1LA0RD_1LA1RC_never_quasihalts	theories/Machines/IRulesBlkPfx_Batch_04.v
1RB1LD_1RC1RB_1LA0RD_1LA1RC	irbp_1RB1LD_1RC1RB_1LA0RD_1LA1RC_never_quasihalts	theories/Machines/IRulesBlkPfx_Batch_04.v
1RB1RA_1LC0RD_0RA1LD_1LC1RB	irbp_1RB1RA_1LC0RD_0RA1LD_1LC1RB_never_quasihalts	theories/Machines/IRulesBlkPfx_Batch_05.v
1RB1RA_1LC0RD_1RA1LD_1LC1RB	irbp_1RB1RA_1LC0RD_1RA1LD_1LC1RB_never_quasihalts	theories/Machines/IRulesBlkPfx_Batch_05.v
1RB1RA_1LC1RD_0RA1LB_1LC0RB	irbp_1RB1RA_1LC1RD_0RA1LB_1LC0RB_never_quasihalts	theories/Machines/IRulesBlkPfx_Batch_05.v
1RB1RA_1LC1RD_1RA1LB_1LC0RB	irbp_1RB1RA_1LC1RD_1RA1LB_1LC0RB_never_quasihalts	theories/Machines/IRulesBlkPfx_Batch_05.v
1RB1RA_1LC0RB_1LB1LD_0RA1RB	irbp_1RB1RA_1LC0RB_1LB1LD_0RA1RB_never_quasihalts	theories/Machines/IRulesBlkPfx_Batch_05.v
1RB1RA_1LC0RB_1LB1LD_1RA1RB	irbp_1RB1RA_1LC0RB_1LB1LD_1RA1RB_never_quasihalts	theories/Machines/IRulesBlkPfx_Batch_05.v
1RB1RC_0LA1RB_1LD0RC_1LC1LA	irbp_1RB1RC_0LA1RB_1LD0RC_1LC1LA_never_quasihalts	theories/Machines/IRulesBlkPfx_Batch_05.v
1RB1RC_1RC1RB_1LD0RC_1LC1LA	irbp_1RB1RC_1RC1RB_1LD0RC_1LC1LA_never_quasihalts	theories/Machines/IRulesBlkPfx_Batch_05.v
1RB1RD_1LC1RB_1LD1LA_1LC0RD	irbp_1RB1RD_1LC1RB_1LD1LA_1LC0RD_never_quasihalts	theories/Machines/IRulesBlkPfx_Batch_05.v
1RB1RD_1RC1RB_1LD1LA_1LC0RD	irbp_1RB1RD_1RC1RB_1LD1LA_1LC0RD_never_quasihalts	theories/Machines/IRulesBlkPfx_Batch_05.v
