machine	theorem	file	k	n	t	fuel	nctx
0RB0LB_0RC0LA_1RD---_1LA1RC	nqh_h_00058	NGH_00.v	2	2	40	120000	33
0RB0LB_0RC1LA_1LB1RD_1LA1RC	nqh_h_00059	NGH_00.v	2	2	40	120000	47
0RB0LB_0RC1LA_1LB1RD_1LC1RC	nqh_h_00060	NGH_00.v	2	2	40	120000	35
0RB0LB_0RC1LA_1LB1RD_1RC0LA	nqh_h_00061	NGH_00.v	2	2	40	120000	73
0RB0LB_0RC1LA_1LB1RD_1RC0LC	nqh_h_00062	NGH_00.v	2	2	40	120000	45
0RB0LB_0RC1LA_1LB1RD_1RC1RC	nqh_h_00063	NGH_00.v	2	2	40	120000	45
0RB0LB_0RC1LD_1RD0LA_1LA1RC	nqh_h_00064	NGH_00.v	2	2	40	120000	51
0RB0LB_1LC1LA_1RD1RC_0LA0RC	nqh_h_00065	NGH_00.v	2	2	40	120000	58
0RB0LB_1RC0LA_1LB1RD_1RC---	nqh_h_00066	NGH_00.v	2	2	40	120000	39
0RB0LB_1RC0LA_1RD---_1LA1RC	nqh_h_00067	NGH_00.v	2	2	40	120000	39
0RB0LB_1RC0LC_1RD0LA_1LB1RB	nqh_h_00068	NGH_00.v	2	2	40	120000	30
0RB0LC_1LA1RC_1RB1RD_0LD0LA	nqh_h_00069	NGH_00.v	2	2	40	120000	47
0RB0LC_1LC1RA_0LD---_0RA1LD	nqh_h_00070	NGH_00.v	2	2	40	120000	51
