machine	L	T	t	gate	ms	nodes	pops
1RB0RC_1LB0LC_0RD0LA_1RA0RB	5	2	0	plain-rank	7	333	334
1RB0RC_1LB1RA_0RD0LB_1LD1LA	5	2	0	plain-rank	5	273	274
1RB0RC_1LB1RA_1LC0LD_1RA0RC	6	2	0	measure-lex	807	1738	1785
1RB0RC_1LB1RA_1LC0LD_1RA1LB	6	2	0	plain-rank	79	2178	2225
1RB0RC_1LB1RA_1LC1LD_1RB0LA	6	2	0	measure-lex	146	1745	1792
1RB0RC_1LC0LA_0LD1RA_1LD0LA	5	2	0	measure-lex	438	4823	4904
1RB0RC_1LC0LA_0RD1RA_1LB1LD	6	2	0	plain-rank	84	198	199
1RB0RC_1LC0LD_1RA0LB_0LA0LA	5	2	0	plain-rank	8	350	351
1RB0RC_1LC0LD_1RA0LB_0LA0LC	5	2	0	plain-rank	5	226	227
1RB0RC_1LC0LD_1RA0LB_0LA0RB	7	2	0	plain-rank	111	337	338
1RB0RC_1LC0LD_1RA0LB_0LA1LC	6	2	0	plain-rank	69	211	212
1RB0RC_1LC0LD_1RA0LB_1LB0LC	7	2	0	plain-rank	192	194	195
1RB0RC_1LC0LD_1RA0LB_1LB1LA	6	2	0	plain-rank	89	201	202
1RB0RC_1LC0LD_1RA0LB_1LB1RA	5	2	0	plain-rank	2	111	112
1RB0RC_1LC0LD_1RA0LB_1LC0RB	6	2	0	measure-lex	724	3686	3861
1RB0RC_1LC0LD_1RA0LB_1LC0RD	6	2	0	measure-lex	701	3686	3861
1RB0RC_1LC0RA_1LA0LD_0LB---	7	2	0	plain-rank	147	338	339
1RB0RC_1LC0RA_1RD0LB_1RA1RD	7	2	0	plain-rank	183	193	194
1RB0RC_1LC0RC_1RA0LD_1LC0LB	6	2	0	measure-lex	650	2790	2965
1RB0RC_1LC0RC_1RA0LD_1LC0LD	6	2	0	measure-lex	771	2790	2965
1RB0RC_1LC0RD_1LD0LD_1RA0LB	6	2	0	measure-lex	68	949	972
1RB0RC_1LC1LD_0RB1RA_1LD0LA	6	2	0	plain-rank	87	190	191
1RB0RC_1LC1LD_1RA0LB_0LC1LA	7	2	0	measure-lex	593	6549	6759
1RB0RC_1LC1LD_1RA0LB_0LC1RA	5	2	0	measure-lex	30	715	752
1RB0RC_1LC1LD_1RA0LB_0RC1LA	5	2	0	measure-lex	69	1169	1207
1RB0RC_1LC1LD_1RA0LB_0RC1RA	6	2	0	measure-lex	738	3610	3785
1RB0RC_1LC1LD_1RA0LB_1LC0RA	6	2	0	measure-lex	1907	6165	6410
1RB0RC_1LC1LD_1RA0LB_1LD1LA	6	2	0	measure-lex	89	624	639
1RB0RC_1LC1LD_1RA0LB_1LD1RA	6	2	0	measure-lex	710	3982	4157
1RB0RC_1LC1LD_1RA0LB_1RD1LA	5	2	0	plain-rank	40	1283	1321
1RB0RC_1LC1RA_0LB0LD_1LA0LA	5	2	0	plain-rank	4	188	189
1RB0RC_1RC0LA_1LD0RB_1LD1LB	6	2	0	measure-lex	176	1790	1837
1RB0RC_1RC0RA_1LD0RB_1LB0LC	7	2	0	plain-rank	220	179	180
1RB0RC_1RC0RD_1LC0LD_0RA0LB	5	2	0	plain-rank	7	363	364
1RB0RC_1RC1LB_0RD0RA_1LD1LB	6	2	0	plain-rank	127	112	113
1RB0RC_1RC1LC_1LD1RA_1LB0LB	6	2	0	measure-lex	166	1160	1193
1RB0RC_1RC1LD_1LB0RA_0LD1LC	7	2	0	plain-rank	187	195	196
1RB0RC_1RC1RA_1LD0RB_1LA0LC	6	2	0	plain-rank	94	202	203
1RB0RD_0LB1LC_1RA1LB_1RA0RD	7	2	0	plain-rank	277	5133	5246
1RB0RD_0LB1LC_1RD1LB_1RA0RD	7	2	0	plain-rank	291	5133	5246
1RB0RD_0LC1RD_1LD1LA_1RA1LB	6	2	0	measure-lex	114	1083	1107
1RB0RD_0RC0LD_1LC0LA_0RA0RB	6	2	0	plain-rank	57	294	295
1RB0RD_0RC0RA_0LC1LD_1RA0LB	7	2	0	plain-rank	116	381	382
1RB0RD_0RC0RA_1LC0LA_0RB1LA	7	2	0	plain-rank	191	278	279
1RB0RD_0RC0RA_1LC0LA_0RB1RB	7	2	0	plain-rank	205	248	249
1RB0RD_0RC0RC_1LC0LA_0RA0RB	6	2	0	plain-rank	69	304	305
1RB0RD_0RC1RA_0RD0RB_1LD0LA	5	2	0	plain-rank	3	143	144
1RB0RD_0RC1RD_1LC0LA_0RA0RB	5	2	0	plain-rank	5	189	190
1RB0RD_0RC1RD_1LC1LA_0RB0LA	5	2	0	plain-rank	3	161	162
1RB0RD_1LB0RC_0RB1LD_1LA0LD	6	2	0	plain-rank	72	1215	1216
1RB0RD_1LB1LC_1LD1LB_1RA0RA	5	2	0	plain-rank	2	108	109
1RB0RD_1LB1LC_1RA1LB_1RB1RA	6	2	0	plain-rank	96	168	169
1RB0RD_1LB1LC_1RD0LB_1RA0RA	5	2	0	plain-rank	13	485	486
1RB0RD_1LC0LA_1RA0LB_0RC---	7	2	0	plain-rank	140	242	243
1RB0RD_1LC0LB_1RA0LD_1RD1RB	6	2	0	plain-rank	66	267	268
1RB0RD_1LC0LD_1LD1LB_1RA0LC	6	2	0	plain-rank	103	201	202
1RB0RD_1LC0LD_1RD1LA_1RC0LB	5	2	0	plain-rank	4	210	211
1RB0RD_1LC0RA_0LB1LA_1RA0LB	5	2	0	plain-rank	3	158	159
1RB0RD_1LC0RA_0RA0LB_1RD1RC	5	2	0	plain-rank	2	127	128
1RB0RD_1LC0RA_1LA0LB_0RC0LA	7	2	0	plain-rank	124	391	392
1RB0RD_1LC0RA_1LA0LB_0RC0RB	5	2	0	plain-rank	3	180	181
1RB0RD_1LC0RA_1LA0LB_0RC0RC	5	2	0	plain-rank	5	272	273
1RB0RD_1LC0RA_1LA0LB_0RC1RD	6	2	0	plain-rank	59	738	739
1RB0RD_1LC0RA_1LA0LB_1RA0RB	7	2	0	plain-rank	194	187	188
1RB0RD_1LC0RA_1LA0LB_1RA1LC	5	2	0	plain-rank	2	133	134
1RB0RD_1LC0RA_1LA0LB_1RA1RC	6	2	0	plain-rank	90	194	195
1RB0RD_1LC0RA_1LA0LB_1RB0LA	6	2	0	measure-lex	709	3817	3990
1RB0RD_1LC0RA_1LA0LB_1RB0LD	6	2	0	measure-lex	712	3817	3990
1RB0RD_1LC0RA_1LA0LB_1RD0RC	5	2	0	plain-rank	3	155	156
1RB0RD_1LC0RA_1LD0LB_1RA0LD	5	2	0	plain-rank	3	142	143
1RB0RD_1LC0RA_1LD0LB_1RB0LB	6	2	0	measure-lex	602	2797	2970
1RB0RD_1LC0RA_1RA0LB_0RD1RC	5	2	0	plain-rank	2	107	108
1RB0RD_1LC0RB_1LD0LB_1RA0LC	5	2	0	plain-rank	2	118	119
1RB0RD_1LC0RD_1LD0LC_1RA0LC	6	2	0	measure-lex	754	2790	2965
1RB0RD_1LC1LB_1RD1RC_0LB0RA	7	2	0	plain-rank	181	188	189
1RB0RD_1RC0LA_0LA1RA_1LD1LB	6	2	0	measure-lex	149	1721	1768
1RB0RD_1RC0LA_1LD0RB_1LC1LB	6	2	0	measure-lex	161	1790	1837
1RB0RD_1RC0LA_1LD0RB_1LD1LB	6	2	0	measure-lex	251	1790	1837
1RB0RD_1RC0LB_1LD1LB_1RA0LC	6	2	0	plain-rank	100	205	206
1RB0RD_1RC1LC_0LA1RA_1LD0RB	6	2	0	plain-rank	88	2498	2545
1RB1LA_0RC0RD_1LC0LA_0RA0RB	7	2	0	plain-rank	123	415	416
1RB1LA_0RC0RD_1LC0LA_0RB0LD	6	2	0	plain-rank	66	1116	1117
1RB1LA_0RC0RD_1LC0LA_0RB0RC	6	2	0	plain-rank	57	1026	1027
1RB1LA_0RC0RD_1LC0LA_1RB0RB	7	2	0	plain-rank	122	397	398
1RB1LA_0RC0RD_1LC1LA_1RA0RB	6	2	0	plain-rank	123	124	125
1RB1LA_0RC0RD_1LC1RA_1LB0RB	6	2	0	plain-rank	105	152	153
1RB1LA_0RC0RD_1LC1RA_1RA0RB	6	2	0	plain-rank	112	142	143
1RB1LA_1LC0LB_1RD1RA_0RC1RC	5	2	0	plain-rank	5	189	190
1RB1LA_1LC0RD_0LC1RA_0RA0RB	6	2	0	measure-lex	751	5880	5930
1RB1LA_1LC1RD_0LD1LA_1LB0RD	7	2	0	plain-rank	98	630	631
1RB1LA_1LC1RD_0LD1RA_1LB0RD	7	2	0	plain-rank	100	702	703
1RB1LA_1RC0LB_1LD0RD_0RD0LA	6	2	0	plain-rank	99	2330	2374
1RB1LA_1RC0RC_1LA1RD_1RA0LD	5	2	0	plain-rank	6	295	296
1RB1LB_0LB0RC_1LD0RD_1LA0RB	7	2	0	plain-rank	100	454	455
1RB1LB_0LB1LC_1RD0RC_1LA0RD	6	2	0	plain-rank	62	360	361
1RB1LB_0LC0RD_1LA1LC_1LA1RB	5	2	0	measure-lex	30	463	479
1RB1LB_0LC0RD_1LC1LA_1LC1RA	6	2	0	measure-lex	513	3825	4019
1RB1LB_0RC0LC_1LD0LA_1LD1LB	6	2	0	plain-rank	57	443	444
1RB1LB_0RC0LD_1LC0LA_0LA1LD	6	2	0	plain-rank	68	291	292
1RB1LB_0RC0LD_1LC0LA_0RA1RC	7	2	0	plain-rank	91	632	633
1RB1LB_0RC0LD_1LC0LA_1RA0LD	6	2	0	plain-rank	58	361	362
1RB1LB_0RC0LD_1LC0LA_1RB0LB	5	2	0	plain-rank	6	257	258
1RB1LB_0RC0LD_1LC0LA_1RB0LD	5	2	0	plain-rank	6	257	258
1RB1LB_0RC0LD_1LC0LA_1RB1RC	7	2	0	plain-rank	99	572	573
1RB1LB_0RC0RD_1LC1LA_1RA0RB	6	2	0	plain-rank	125	132	133
1RB1LB_0RC1LD_1LC0LA_0RA0LA	7	2	0	plain-rank	99	576	577
1RB1LB_0RC1LD_1LC0LA_0RC0LA	7	2	0	plain-rank	96	556	557
1RB1LB_0RC1LD_1LC0LA_0RD0LA	7	2	0	plain-rank	111	556	557
1RB1LB_1LC0RD_1LD1LA_0LB1RA	6	2	0	measure-lex	153	1447	1493
1RB1LB_1LC1RD_1LD1LA_0RB0LC	5	2	0	plain-rank	63	1642	1643
1RB1LB_1LC1RD_1RD0LB_1LA0RB	5	2	0	measure-lex	81	1008	1049
1RB1LB_1RC1LC_1LA1RD_0RD0LA	7	2	0	plain-rank	131	382	383
1RB1LB_1RC1LC_1RD0LA_0LC0RC	5	2	0	measure-lex	169	2002	2079
1RB1LB_1RC1LC_1RD0LA_1LC0RC	5	2	0	measure-lex	270	2652	2764
1RB1LC_0LA0RD_0LD1LD_1LA1RB	5	2	0	measure-lex	33	557	573
1RB1LC_0LC0RD_1LC1LA_0RC1RB	6	2	0	plain-rank	72	260	261
1RB1LC_0LC0RD_1LC1LA_1RA1RB	6	2	0	plain-rank	68	288	289
1RB1LC_0LC0RD_1RC1LA_1RA1RB	6	2	0	plain-rank	68	342	343
1RB1LC_0RC0RC_1LC0LD_1RA0LA	5	2	0	plain-rank	4	225	226
1RB1LC_0RC0RD_0LD1LD_1LA0LC	5	2	0	plain-rank	4	195	196
1RB1LC_0RC0RD_1LC1LA_0LA1RB	6	2	0	plain-rank	85	210	211
1RB1LC_1LA0RA_0LD0RB_1RD0LC	6	2	0	plain-rank	44	755	756
1RB1LC_1LA0RC_1LB0LD_1RD1RB	6	2	0	measure-lex	289	3145	3238
1RB1LC_1LA0RD_0LD1LD_1LA0LC	5	2	0	plain-rank	4	193	194
1RB1LC_1LA0RD_1LB---_0RA0RB	7	2	0	plain-rank	266	124	125
1RB1LC_1LA1RD_0LB0LC_0RD0LB	6	2	0	plain-rank	95	181	182
1RB1LC_1LA1RD_1LB0LB_0RB1RB	5	2	0	plain-rank	42	1450	1488
1RB1LC_1LA1RD_1LB0LC_0RD0LB	6	2	0	plain-rank	92	201	202
1RB1LC_1LA1RD_1LD0LC_0RD0LB	6	2	0	plain-rank	94	209	210
1RB1LC_1LB1RA_---0LD_1LA0LA	5	2	0	plain-rank	4	190	191
1RB1LC_1LC0RD_0RA0LC_1LD1LA	6	2	0	plain-rank	74	1575	1576
1RB1LC_1LC1RA_---0LD_1LA0LA	5	2	0	plain-rank	3	158	159
1RB1LC_1RC0LD_0LD0RB_1LB1LA	5	2	0	plain-rank	3	160	161
1RB1LC_1RC0RA_0LD1RA_1LA1LB	6	2	0	measure-lex	109	1074	1098
1RB1LC_1RC0RB_0LC0LD_1RA1LA	5	2	0	plain-rank	14	706	707
1RB1LC_1RC1RD_0LA0RB_1LA1RA	5	2	0	plain-rank	55	1641	1642
1RB1LC_1RC1RD_0LA0RB_1LA1RC	7	2	0	plain-rank	93	633	634
1RB1LD_0LC0RA_1LA1LC_0LD1LB	5	2	0	plain-rank	3	142	143
1RB1LD_0LC0RB_1RA1LA_0LD1LA	6	2	0	measure-lex	237	1581	1629
1RB1LD_0LC0RB_1RA1LA_1RC0LD	6	2	0	plain-rank	49	381	382
1RB1LD_0LC0RB_1RA1RD_0LD1LA	6	2	0	measure-lex	249	1643	1691
1RB1LD_0LC0RC_1LA1RC_0RC0LB	5	2	0	plain-rank	60	1930	1968
1RB1LD_0LC0RC_1RA1LA_1RC0LD	6	2	0	plain-rank	59	401	402
1RB1LD_0RC0LA_0LD1RA_1LC0LA	5	2	0	measure-lex	226	3265	3346
1RB1LD_0RC0LA_0LD1RA_1LD0LA	5	2	0	measure-lex	264	2961	3042
1RB1LD_0RC0LA_0RD1RA_1LD0LA	5	2	0	measure-lex	133	1583	1624
1RB1LD_0RC0LA_1LA1RA_1LD0LA	5	2	0	measure-lex	281	2999	3080
1RB1LD_0RC0LA_1LC1LD_0RB0LB	6	2	0	plain-rank	53	567	568
1RB1LD_0RC0LB_1LC1RA_1RB0LD	6	2	0	plain-rank	52	685	686
1RB1LD_0RC0LC_0RD1RA_1LD0LA	7	2	0	plain-rank	127	388	389
1RB1LD_0RC0RB_1LC1RA_0RD0LA	5	2	0	plain-rank	9	364	365
1RB1LD_0RC0RC_1LC1LA_0RA0LD	6	2	0	plain-rank	76	1415	1416
1RB1LD_0RC0RD_1LA---_1LC0RB	7	2	0	plain-rank	215	185	186
1RB1LD_0RC0RD_1LC1RA_0RD0LA	6	2	0	plain-rank	52	416	417
1RB1LD_0RC0RD_1RD1RB_1LA0LA	5	2	0	plain-rank	3	159	160
1RB1LD_0RC1LD_1LC0RB_0LA0LC	7	2	0	plain-rank	219	4793	4901
1RB1LD_0RC1LD_1LC0RB_0LA1LC	5	2	0	plain-rank	135	3996	4109
1RB1LD_0RC1RB_0RD1RA_1LD0LA	7	2	0	plain-rank	144	334	335
1RB1LD_1LB0RC_1LC1LA_0RA0LD	6	2	0	plain-rank	75	1575	1576
1RB1LD_1LB0RC_1LD0RD_1LA0RB	6	2	0	plain-rank	78	168	169
1RB1LD_1LC0RC_1LA0LD_0LC0RB	7	2	0	plain-rank	151	333	334
1RB1LD_1LC0RC_1RA1LA_1RC0LD	6	2	0	plain-rank	54	471	472
1RB1LD_1LC1RD_1LD1LA_0RB0LC	7	2	0	plain-rank	103	654	655
1RB1LD_1RC0LD_1LA0RD_1LB1RC	5	2	0	measure-lex	716	5423	5647
1RB1LD_1RC0RA_1LD0RB_1LB0LC	5	2	0	plain-rank	2	137	138
1RB1LD_1RC0RB_0LA1LD_0LD1LA	5	2	0	plain-rank	96	2953	3032
1RB1LD_1RC0RB_0LC1LD_0LD1LA	5	2	0	plain-rank	106	2953	3032
1RB1LD_1RC0RB_1RD0RA_0LD1LA	5	2	0	plain-rank	92	1649	1650
1RB1LD_1RC0RB_1RD0RB_0LD1LA	7	2	0	plain-rank	283	4987	5100
1RB1LD_1RC1RD_0LA0RB_1LC0RD	6	2	0	plain-rank	82	1250	1251
1RB1RA_0LC0RA_1RC0RD_1LB1RB	6	2	0	plain-rank	62	302	303
1RB1RA_0LC0RD_1LA1LC_1RC0RB	7	2	0	plain-rank	168	308	309
1RB1RA_0RC0LB_0RD1RA_1LD0LA	7	2	0	plain-rank	394	7111	7218
1RB1RA_0RC0LB_1LD0RA_1LD0LA	6	2	0	plain-rank	106	160	161
1RB1RA_0RC1LA_1LC0LD_0RD0RB	5	2	0	plain-rank	4	178	179
1RB1RA_0RC1LD_1LC0RB_0LA0LD	6	2	0	plain-rank	60	505	506
1RB1RA_1LC0LD_1RA1LA_1LA1LB	6	2	0	plain-rank	107	157	158
1RB1RA_1LC0RB_0LA1LD_0RA0LC	6	2	0	plain-rank	53	1241	1265
1RB1RA_1LC0RD_0RA0LB_1LD1LC	6	2	0	measure-lex	1055	1615	1667
1RB1RA_1LC1LB_0RA0LD_1LA0LC	7	2	0	plain-rank	177	244	245
1RB1RA_1RC0RC_1LD0RB_0RA0LC	7	2	0	plain-rank	192	203	204
1RB1RB_1RC1LD_1LD0RB_1RA0LB	5	2	0	measure-lex	854	5953	6203
1RB1RC_0RC0LA_1LC0LD_1RB1LB	7	2	0	plain-rank	99	572	573
1RB1RC_0RC1LB_1LD1RA_0LB0RA	6	2	0	plain-rank	77	208	209
1RB1RC_0RC1RC_1LD0RB_0LD1LA	5	2	0	plain-rank	7	355	356
1RB1RC_1LA0RC_0RD0RB_1LD0LA	5	2	0	plain-rank	3	186	187
1RB1RC_1LB1LC_1RD0LB_1RA0RD	6	2	0	plain-rank	116	1568	1569
1RB1RC_1LC0LB_0RD0LB_1RA1RC	6	2	0	measure-lex	800	2763	2929
1RB1RC_1LC0RA_1RD0LB_0RA0LA	6	2	0	plain-rank	104	150	151
1RB1RC_1LC0RC_1RA0LD_0RD0LB	5	2	0	plain-rank	3	191	192
1RB1RC_1LC1RD_1LD0LB_0RA1LB	6	2	0	measure-lex	132	1203	1229
1RB1RC_1RC1LD_0LB0RA_1LD1LB	6	2	0	plain-rank	56	448	449
1RB1RC_1RC1LD_0LB0RA_1RD1LB	6	2	0	plain-rank	53	544	545
1RB1RD_0LC0RA_1RA1LB_1LC1RC	5	2	0	plain-rank	91	2249	2250
1RB1RD_0LC1RA_1LA0RD_1LB0RD	6	2	0	plain-rank	56	302	303
1RB1RD_0LC1RA_1RA0RD_1LB0RC	6	2	0	plain-rank	67	298	299
1RB1RD_0LC1RA_1RA0RD_1LB0RD	6	2	0	plain-rank	71	298	299
1RB1RD_1LB0LC_0RD1LA_1RA0RC	7	2	0	plain-rank	177	229	230
1RB1RD_1LB1LC_1RD1LB_0LC0RA	6	2	0	plain-rank	57	424	425
1RB1RD_1LB1LC_1RD1LB_1RB0RA	6	2	0	plain-rank	96	168	169
1RB1RD_1LC0LC_1RD1LB_0RA0RB	5	2	0	plain-rank	3	171	172
1RB1RD_1LC0RA_0RA0LB_1LB1RC	5	2	0	plain-rank	3	145	146
1RB1RD_1LC0RA_1LA0LB_0LB1LC	6	2	0	measure-lex	793	3739	3912
1RB1RD_1LC0RA_1LA0LB_0LB1RC	5	2	0	measure-lex	61	1172	1209
1RB1RD_1LC0RA_1LA0LB_0RB1LC	5	2	0	measure-lex	28	706	742
1RB1RD_1LC0RA_1LA0LB_0RB1RC	7	2	0	measure-lex	621	6528	6738
1RB1RD_1LC0RA_1LA0LB_1LB0RC	5	2	0	plain-rank	4	173	174
1RB1RD_1LC0RA_1LA0LB_1LD1RC	5	2	0	plain-rank	39	1288	1325
1RB1RD_1LC0RA_1LA0LB_1RB0LC	6	2	0	measure-lex	1661	5645	5881
1RB1RD_1LC0RA_1LA0LB_1RD1LC	6	2	0	measure-lex	747	4171	4344
1RB1RD_1LC0RA_1LA0LC_1LB0RD	5	2	0	plain-rank	8	316	317
1RB1RD_1LC0RA_1LD0LB_1LA0RD	6	2	0	plain-rank	102	190	191
1RB1RD_1LC0RA_1LD0LB_1RA0RB	6	2	0	plain-rank	96	194	195
1RB1RD_1LC0RA_1RD0LB_1LA0RD	6	2	0	plain-rank	101	178	179
1RB1RD_1LC0RD_1LA1LD_1RA0LC	7	2	0	measure-lex	1534	7769	8097
1RB1RD_1LC1LD_1RA0LD_1LB0RA	7	2	0	measure-lex	1652	7772	8100
1RB1RD_1RC0RA_1LD0RB_1LB0LC	6	2	0	plain-rank	93	242	243
1RB1RD_1RC0RC_1LA0LD_0LC1LC	5	2	0	plain-rank	3	172	173
1RB1RD_1RC1RD_1LD0LC_0RA0LC	6	2	0	measure-lex	980	3033	3211
