machine	quiet_state	s	n	t
0RB---_0LC1LC_1RD1LB_1RB1LC	A	0	2	256
0RB---_0LC1LC_1RD1LB_1RB1LD	A	0	2	64
0RB---_0LC1LD_0LD1LD_1RB0LB	A	0	2	64
0RB---_0LC1LD_0LD1LD_1RB0LC	A	0	2	64
0RB---_0LC1LD_0LD1LD_1RB0LD	A	0	2	64
0RB---_0LC1LD_0LD1LD_1RB1LB	A	0	2	64
0RB---_0LC1LD_0LD1LD_1RB1LC	A	0	2	64
0RB---_0LC1LD_0RD1LB_1RB0LB	A	0	2	64
0RB---_0LC1LD_0RD1LD_1RB0LD	A	0	2	64
0RB---_0LC1LD_1LA1LD_1RB0LD	A	3	2	64
0RB---_0LC1LD_1LD0LB_1RB0LD	A	0	2	64
0RB---_0LC1LD_1LD0LC_1RB0LD	A	0	2	64
0RB---_0LC1LD_1LD0RB_1RB0LD	A	0	2	64
0RB---_0LC1LD_1LD1LB_1RB0LD	A	0	2	64
0RB---_0LC1LD_1LD1LC_1RB0LD	A	0	2	64
0RB---_0LC1LD_1LD1LD_1RB0LD	A	0	2	64
0RB---_0LC1LD_1RB1LC_---0LC	A	0	2	64
0RB---_0LC1LD_1RB1LC_0LB0RB	A	0	2	64
0RB---_0LC1LD_1RB1LC_0LC0RB	A	0	2	64
0RB---_0LC1LD_1RB1LC_1LB0RB	A	0	2	64
0RB---_0LC1LD_1RB1LD_1RB0LD	A	0	2	64
0RB---_0LC1LD_1RD1LC_1RB0LB	A	0	2	64
0RB---_0LC1LD_1RD1LD_1RB0LD	A	0	2	64
0RB---_0LC1RB_0LD1LD_1RB0LD	A	0	2	64
0RB---_0LC1RB_0RD1LD_1RB0LD	A	0	2	64
0RB---_0LC1RB_1LD1RD_0RB0LD	A	0	2	256
0RB---_0LC1RC_0RD0RB_1LC1RD	A	0	2	64
0RB---_0LC1RC_0RD1RB_1LC1RD	A	0	2	64
0RB---_0LC1RC_1LD0RC_0RB1RC	A	0	2	64
0RB---_0LC1RC_1LD0RC_1RB0RC	A	0	2	64
0RB---_0LC1RC_1LD0RC_1RB1RC	A	0	2	64
0RB---_0LC1RC_1RD0RD_1LB0LC	A	0	2	1024
0RB---_0LC1RD_1LA1LD_1RB0RD	A	3	2	256
0RB---_0LC1RD_1LD0RB_1RB0RD	A	0	2	64
0RB---_0LC1RD_1LD0RD_0RB1RC	A	0	2	64
0RB---_0LC1RD_1LD1LC_1RB0LD	A	0	2	256
0RB---_0LC1RD_1LD1LD_1RB0RD	A	0	2	256
0RB---_0LC1RD_1RB0RD_1LC0RD	A	0	2	64
0RB---_0LC1RD_1RB1RD_1LC0RD	A	0	2	64
0RB---_0LC1RD_1RD1LD_1RB0RD	A	0	2	64
0RB---_0RC---_0LD1LC_1RC1LD	B	1	2	64
0RB---_0RC---_0RD1RC_1LC1RD	B	1	2	64
0RB---_0RC---_1LD0RC_0RD1RC	B	1	2	64
0RB---_0RC---_1LD0RC_1RD1RC	B	1	2	64
0RB---_0RC---_1RD0LC_0LD1LC	B	1	2	64
0RB---_0RC---_1RD0LC_1LD1LC	B	1	2	64
0RB---_0RC0LB_0LD1RC_1LB1RB	A	0	2	1024
0RB---_0RC0LB_1LD1RD_1LB0LD	A	0	2	64
0RB---_0RC0LB_1LD1RD_1LB1RB	A	0	3	256
0RB---_0RC0LB_1RD0LC_1LB1LD	A	0	2	64
0RB---_0RC0LC_0LD1LB_1RC1LD	A	0	2	64
0RB---_0RC0LC_0RD1RB_1LC1RD	A	0	2	64
0RB---_0RC0LC_1LD0RD_1LB1RB	A	0	2	256
0RB---_0RC0LC_1LD1RD_1LB1RB	A	0	2	1024
0RB---_0RC0LC_1RD1LC_0LC1LB	A	0	2	64
0RB---_0RC0LC_1RD1LC_1LC0LB	A	0	2	64
0RB---_0RC0LC_1RD1LC_1LC1LB	A	0	2	64
0RB---_0RC0LD_0LD1LB_1RC1LD	A	0	2	64
0RB---_0RC0LD_1LB1RC_0RD1RB	A	0	2	1024
0RB---_0RC0LD_1LB1RC_1RD0RB	A	0	2	1024
0RB---_0RC0LD_1LD0LB_1RC0LC	A	0	2	64
0RB---_0RC0LD_1LD0LB_1RC1LC	A	0	2	64
0RB---_0RC0LD_1LD0LB_1RC1LD	A	0	2	64
0RB---_0RC0LD_1LD1LB_1RC0LC	A	0	2	64
0RB---_0RC0LD_1LD1LB_1RC1LC	A	0	2	64
0RB---_0RC0LD_1LD1LB_1RC1LD	A	0	2	64
0RB---_0RC0LD_1LD1RC_0RC1RB	A	0	2	64
0RB---_0RC0LD_1LD1RC_1RC1RB	A	0	2	64
0RB---_0RC0RB_0RD1RB_1LC1RD	A	0	2	64
0RB---_0RC0RB_1LB1LD_1RD1RC	A	0	2	64
0RB---_0RC0RB_1LD0LB_1RD1RC	A	0	2	64
0RB---_0RC0RB_1LD1LB_1RD1RC	A	0	2	64
0RB---_0RC0RB_1LD1RC_1LB0RB	A	0	2	256
0RB---_0RC0RB_1LD1RC_1LB1RB	A	0	2	256
0RB---_0RC0RB_1LD1RC_1LB1RD	A	0	2	64
0RB---_0RC0RB_1LD1RD_1LB1RC	A	0	2	64
0RB---_0RC0RC_0RD1RB_1LC1RD	A	0	2	64
0RB---_0RC0RC_1LD1RC_0RC1RB	A	0	2	64
0RB---_0RC0RC_1LD1RC_1RC0RB	A	0	2	64
0RB---_0RC0RC_1LD1RC_1RC1RB	A	0	2	64
0RB---_0RC0RD_0RD1RB_1LC1RD	A	0	2	64
0RB---_0RC0RD_0RD1RD_1LB1RB	A	0	2	64
0RB---_0RC0RD_0RD1RD_1LB1RC	A	0	2	64
0RB---_0RC0RD_1LB1RC_1RB0LD	A	0	2	64
0RB---_0RC0RD_1LD1RB_1LB0LC	A	0	3	64
0RB---_0RC0RD_1LD1RD_1LB0RD	A	0	2	64
0RB---_0RC0RD_1RD0RB_1LC0RB	A	0	2	64
0RB---_0RC0RD_1RD0RB_1LC0RC	A	0	2	64
0RB---_0RC0RD_1RD0RB_1LC1RB	A	0	2	64
0RB---_0RC0RD_1RD0RB_1LC1RC	A	0	2	64
0RB---_0RC0RD_1RD0RB_1LC1RD	A	0	2	64
0RB---_0RC0RD_1RD1RB_1LB0RD	A	0	2	64
0RB---_0RC0RD_1RD1RB_1LC0LC	A	0	2	64
0RB---_0RC0RD_1RD1RB_1LC0RB	A	0	2	64
0RB---_0RC0RD_1RD1RB_1LC0RC	A	0	2	64
0RB---_0RC0RD_1RD1RB_1LC1LB	A	0	2	64
0RB---_0RC0RD_1RD1RB_1LC1RB	A	0	2	64
0RB---_0RC0RD_1RD1RB_1LC1RC	A	0	2	64
0RB---_0RC0RD_1RD1RB_1LC1RD	A	0	2	64
0RB---_0RC0RD_1RD1RC_1LB0RD	A	0	2	64
0RB---_0RC1LB_0LD1RD_1LB0RD	A	0	2	64
0RB---_0RC1LB_0RD1RD_1LB0RD	A	0	2	64
0RB---_0RC1LB_1RD1LD_0LB0RD	A	0	2	256
0RB---_0RC1LC_0LD0LB_1RC1LD	A	0	2	64
0RB---_0RC1LC_0LD1LB_1RC1LD	A	0	2	64
0RB---_0RC1LC_1LD0LD_1RB0RC	A	0	2	1024
0RB---_0RC1LC_1RD0LC_0LB1LC	A	0	2	64
0RB---_0RC1LC_1RD0LC_1LB0LC	A	0	2	64
0RB---_0RC1LC_1RD0LC_1LB1LC	A	0	2	64
0RB---_0RC1LD_1LA1RD_1LB0LD	A	3	2	256
0RB---_0RC1LD_1LB0LD_1RC0LD	A	0	2	64
0RB---_0RC1LD_1LB1LD_1RC0LD	A	0	2	64
0RB---_0RC1LD_1LD1RD_1LB0LD	A	0	2	64
0RB---_0RC1LD_1RD0LB_1LB0LD	A	0	2	64
0RB---_0RC1LD_1RD0LD_0LB1LC	A	0	2	64
0RB---_0RC1LD_1RD1RC_1LB0RD	A	0	2	256
0RB---_0RC1LD_1RD1RD_1LB0LD	A	0	2	256
