0RB1LC_0LC1RB_1LA0RD_1RC1RC	2
0RB1LC_1LA1RB_0LD0LC_0RD1RA	4
0RB1LC_1LA1RB_1LA0RD_0LC1RC	2
0RB1LC_1LA1RB_1LA0RD_0LD1RC	3
0RB1LC_1LA1RB_1LA0RD_1LC1RC	2
0RB1LC_1LA1RB_1LA0RD_1LD1RC	3
0RB1LC_1LA1RB_1LA0RD_1RC1RC	2
0RB1LC_1LC0RD_1LD0LB_1RB1RA	2
0RB1LC_1LC1RB_1LA0RD_0LC1RC	2
0RB1LC_1LC1RB_1LA0RD_0LD1RC	3
0RB1LC_1LC1RB_1LA0RD_1LC1RC	2
0RB1LC_1LC1RB_1LA0RD_1LD1RC	3
0RB1LC_1LC1RB_1LA0RD_1RC1RC	2
0RB1LC_1RC0LD_1LA0RB_1LB---	3
0RB1LC_1RC0LD_1LA1LD_1RA0LD	4
0RB1LC_1RC1RB_1LA0RD_0LC1RC	2
0RB1LC_1RC1RB_1LA0RD_0LD1RC	3
0RB1LC_1RC1RB_1LA0RD_1LC1RC	2
0RB1LC_1RC1RB_1LA0RD_1LD1RC	3
0RB1LC_1RC1RB_1LA0RD_1RC1RC	2
0RB1LC_1RC1RB_1LD1LA_0RC0LD	2
0RB1LD_0LC1RB_0LD1RD_1LA0RC	2
0RB1LD_0LC1RB_1LD1RD_1LA0RC	2
0RB1LD_0LC1RB_1RD1RD_1LA0RC	2
0RB1LD_0RC1RB_0LD1RD_1LA0RC	2
0RB1LD_0RC1RB_1LD1RD_1LA0RC	2
0RB1LD_0RC1RB_1RD1RD_1LA0RC	2
0RB1LD_1LC0LA_1RD0LB_1LA0RC	2
0RB1LD_1LC0LB_1RD0LB_1LA0RC	2
0RB1LD_1LC0RC_1RD0LB_1LA0RC	2
0RB1LD_1LC0RD_1RD0LB_1LA0RC	2
0RB1LD_1LC1LB_1RD0LB_1LA0RC	3
0RB1LD_1LC1LC_1RD0LB_1LA0RC	2
0RB1LD_1LC1RA_1RD0LB_1LA0RC	2
0RB1LD_1LC1RB_0LD1RD_1LA0RC	2
0RB1LD_1LC1RB_1LD1RD_1LA0RC	2
0RB1LD_1LC1RB_1RD0LB_1LA0RC	3
0RB1LD_1LC1RB_1RD1RD_1LA0RC	2
0RB1LD_1LC1RC_1RD0LB_1LA0RC	2
0RB1LD_1LC1RD_1RD0LB_1LA0RC	2
