# spec	rung	verdict	seconds  (tools/closeouttr/ng_batch.py probe)
0RB0LA_1LA0RC_1LD---_1RD1RB	rk:4:0	false	0.7
0RB0LA_1LA0RC_1LD---_1RD1RB	rk:5:0	false	0.8
0RB0LA_1LA0RC_1LD---_1RD1RB	rk:6:0	false	0.8
0RB0LA_1LA0RC_1LD1RB_1RC---	rk:4:0	false	12.3
0RB0LA_1LA0RC_1LD1RB_1RC---	rk:5:0	false	106.6
0RB0LA_1LA0RC_1LD1RB_1RC---	rk:6:0	timeout	300.1
0RB0LA_1LA0RC_1LD1RB_1RD1RC	rk:4:0	false	15.6
0RB0LA_1LA0RC_1LD1RB_1RD1RC	rk:5:0	false	122.9
0RB0LA_1LA0RC_1LD1RB_1RD1RC	rk:6:0	timeout	300.1
0RB0LA_1LA1LC_0RD0LC_1RD1RB	rk:4:0	false	2.5
0RB0LA_1LA1LC_0RD0LC_1RD1RB	rk:5:0	false	9.0
0RB0LA_1LA1LC_0RD0LC_1RD1RB	rk:6:0	false	36.4
0RB0LA_1LA1LC_0RD1LB_1RB1RD	rk:4:0	false	1.9
0RB0LA_1LA1LC_0RD1LB_1RB1RD	rk:5:0	false	4.8
0RB0LA_1LA1LC_0RD1LB_1RB1RD	rk:6:0	false	19.0
0RB0LA_1LA1LC_0RD1LC_1RB1RD	rk:4:0	false	1.9
0RB0LA_1LA1LC_0RD1LC_1RB1RD	rk:5:0	false	5.2
0RB0LA_1LA1LC_0RD1LC_1RB1RD	rk:6:0	false	19.3
0RB0LA_1LA1RC_0LC1RD_1RB---	rk:4:0	false	0.7
0RB0LA_1LA1RC_0LC1RD_1RB---	rk:5:0	false	0.7
0RB0LA_1LA1RC_0LC1RD_1RB---	rk:6:0	false	0.9
0RB0LA_1LA1RC_0LD---_1RB1RD	rk:4:0	false	0.7
0RB0LA_1LA1RC_0LD---_1RB1RD	rk:5:0	false	0.8
0RB0LA_1LA1RC_0LD---_1RB1RD	rk:6:0	false	0.9
0RB0LA_1LA1RC_0LD0RC_1LD1RB	rk:4:0	false	6.1
0RB0LA_1LA1RC_0LD0RC_1LD1RB	rk:5:0	false	27.3
0RB0LA_1LA1RC_0LD0RC_1LD1RB	rk:6:0	false	132.7
0RB0LA_1LA1RC_0LD1RB_0RC1LD	rk:4:0	false	2.6
0RB0LA_1LA1RC_0LD1RB_0RC1LD	rk:5:0	false	7.3
0RB0LA_1LA1RC_0LD1RB_0RC1LD	rk:6:0	false	35.7
0RB0LA_1LA1RC_0RD1RB_0LB1LB	rk:4:0	true	1.1
0RB0LA_1LA1RC_0RD1RB_1LB---	rk:4:0	false	0.6
0RB0LA_1LA1RC_0RD1RB_1LB---	rk:5:0	false	0.8
0RB0LA_1LA1RC_0RD1RB_1LB---	rk:6:0	false	0.7
0RB0LA_1LA1RC_0RD1RC_0LB1LB	rk:4:0	true	1.1
0RB0LA_1LA1RC_0RD1RC_1LB---	rk:4:0	false	0.6
0RB0LA_1LA1RC_0RD1RC_1LB---	rk:5:0	false	0.7
0RB0LA_1LA1RC_0RD1RC_1LB---	rk:6:0	false	0.7
0RB0LA_1LA1RC_0RD1RD_1LB0LB	rk:4:0	false	1.4
0RB0LA_1LA1RC_0RD1RD_1LB0LB	rk:5:0	false	4.0
0RB0LA_1LA1RC_0RD1RD_1LB0LB	rk:6:0	false	16.0
0RB0LA_1LA1RC_0RD1RD_1LB1RB	rk:4:0	false	4.5
0RB0LA_1LA1RC_0RD1RD_1LB1RB	rk:5:0	false	17.8
0RB0LA_1LA1RC_0RD1RD_1LB1RB	rk:6:0	false	114.9
0RB0LA_1LA1RC_0RD1RD_1LB1RC	rk:4:0	false	3.1
0RB0LA_1LA1RC_0RD1RD_1LB1RC	rk:5:0	false	9.5
0RB0LA_1LA1RC_0RD1RD_1LB1RC	rk:6:0	false	36.6
0RB0LA_1LA1RC_1LA1RD_1RB---	rk:4:0	false	0.7
0RB0LA_1LA1RC_1LA1RD_1RB---	rk:5:0	false	0.8
0RB0LA_1LA1RC_1LA1RD_1RB---	rk:6:0	false	0.9
0RB0LA_1LA1RC_1LA1RD_1RC---	rk:4:0	false	0.7
0RB0LA_1LA1RC_1LA1RD_1RC---	rk:5:0	false	0.8
0RB0LA_1LA1RC_1LA1RD_1RC---	rk:6:0	false	0.8
0RB0LA_1LA1RC_1LB1LD_0RC1RD	rk:4:0	false	0.9
0RB0LA_1LA1RC_1LB1LD_0RC1RD	rk:5:0	false	1.0
0RB0LA_1LA1RC_1LB1LD_0RC1RD	rk:6:0	false	1.6
0RB0LA_1LA1RC_1LB1RD_1RB---	rk:4:0	false	0.7
0RB0LA_1LA1RC_1LB1RD_1RB---	rk:5:0	false	0.8
0RB0LA_1LA1RC_1LB1RD_1RB---	rk:6:0	false	0.8
0RB0LA_1LA1RC_1LC1RD_---1RB	rk:4:0	false	0.7
0RB0LA_1LA1RC_1LC1RD_---1RB	rk:5:0	false	0.8
0RB0LA_1LA1RC_1LC1RD_---1RB	rk:6:0	false	0.9
0RB0LA_1LA1RC_1LD---_1RB1RD	rk:4:0	false	0.7
0RB0LA_1LA1RC_1LD---_1RB1RD	rk:5:0	false	0.8
0RB0LA_1LA1RC_1LD---_1RB1RD	rk:6:0	false	0.8
0RB0LA_1LA1RC_1LD1RB_0RB1LD	rk:4:0	false	1.6
0RB0LA_1LA1RC_1LD1RB_0RB1LD	rk:5:0	false	5.7
0RB0LA_1LA1RC_1LD1RB_0RB1LD	rk:6:0	false	16.1
0RB0LA_1LA1RC_1LD1RB_0RC1LD	rk:4:0	false	1.9
0RB0LA_1LA1RC_1LD1RB_0RC1LD	rk:5:0	false	4.3
0RB0LA_1LA1RC_1LD1RB_0RC1LD	rk:6:0	false	21.4
0RB0LA_1LA1RC_1LD1RD_1RB1LA	rk:4:0	true	0.9
0RB0LA_1LA1RC_1RB---_------	rk:4:0	false	0.6
0RB0LA_1LA1RC_1RB---_------	rk:5:0	false	0.7
0RB0LA_1LA1RC_1RB---_------	rk:6:0	false	0.8
0RB0LA_1LA1RC_1RD---_0LD1RB	rk:4:0	false	0.7
0RB0LA_1LA1RC_1RD---_0LD1RB	rk:5:0	false	0.7
0RB0LA_1LA1RC_1RD---_0LD1RB	rk:6:0	false	0.9
0RB0LA_1LA1RC_1RD---_1LA1RB	rk:4:0	false	0.7
0RB0LA_1LA1RC_1RD---_1LA1RB	rk:5:0	false	0.7
0RB0LA_1LA1RC_1RD---_1LA1RB	rk:6:0	false	0.8
0RB0LA_1LA1RC_1RD---_1LA1RC	rk:4:0	false	0.6
0RB0LA_1LA1RC_1RD---_1LA1RC	rk:5:0	false	0.8
0RB0LA_1LA1RC_1RD---_1LA1RC	rk:6:0	false	0.8
0RB0LA_1LA1RC_1RD---_1RB---	rk:4:0	false	0.8
0RB0LA_1LA1RC_1RD---_1RB---	rk:5:0	false	0.7
0RB0LA_1LA1RC_1RD---_1RB---	rk:6:0	false	0.8
0RB0LA_1LA1RC_1RD0RD_1LB1RB	rk:4:0	false	3.5
0RB0LA_1LA1RC_1RD0RD_1LB1RB	rk:5:0	false	14.1
0RB0LA_1LA1RC_1RD0RD_1LB1RB	rk:6:0	false	37.5
0RB0LA_1LA1RC_1RD1RB_1LB---	rk:4:0	false	0.7
0RB0LA_1LA1RC_1RD1RB_1LB---	rk:5:0	false	0.8
0RB0LA_1LA1RC_1RD1RB_1LB---	rk:6:0	false	0.8
0RB0LA_1LC---_0RD1LA_1RB1RD	rk:4:0	false	0.6
0RB0LA_1LC---_0RD1LA_1RB1RD	rk:5:0	false	0.7
0RB0LA_1LC---_0RD1LA_1RB1RD	rk:6:0	false	0.8
0RB0LA_1LC0LC_0RD1LA_1RD1RB	rk:4:0	false	1.3
0RB0LA_1LC0LC_0RD1LA_1RD1RB	rk:5:0	false	3.4
0RB0LA_1LC0LC_0RD1LA_1RD1RB	rk:6:0	false	12.8
0RB0LA_1LC0RA_1LD---_1RB0LC	rk:4:0	false	0.7
0RB0LA_1LC0RA_1LD---_1RB0LC	rk:5:0	false	0.8
0RB0LA_1LC0RA_1LD---_1RB0LC	rk:6:0	false	0.8
0RB0LA_1LC0RC_1LA1RD_0RB1RC	rk:4:0	false	5.6
0RB0LA_1LC0RC_1LA1RD_0RB1RC	rk:5:0	false	37.3
0RB0LA_1LC0RC_1LA1RD_0RB1RC	rk:6:0	false	286.0
0RB0LA_1LC0RC_1LA1RD_1RB1RC	rk:4:0	false	13.0
0RB0LA_1LC0RC_1LA1RD_1RB1RC	rk:5:0	false	97.9
0RB0LA_1LC0RC_1LA1RD_1RB1RC	rk:6:0	timeout	300.1
0RB0LA_1LC0RC_1LA1RD_1RC---	rk:4:0	false	0.7
0RB0LA_1LC0RC_1LA1RD_1RC---	rk:5:0	false	0.8
0RB0LA_1LC0RC_1LA1RD_1RC---	rk:6:0	false	0.9
0RB0LA_1LC0RC_1LD1RB_1LA0LD	rk:4:0	true	0.8
0RB0LA_1LC0RD_1LA0LB_1RC1RD	rk:4:0	true	2.6
0RB0LA_1LC0RD_1LA0LC_1RB1RD	rk:4:0	false	5.9
0RB0LA_1LC0RD_1LA0LC_1RB1RD	rk:5:0	true	15.1
0RB0LA_1LC0RD_1LA1LB_1RC1RD	rk:4:0	false	5.8
0RB0LA_1LC0RD_1LA1LB_1RC1RD	rk:5:0	false	41.3
0RB0LA_1LC0RD_1LA1LB_1RC1RD	rk:6:0	false	251.2
0RB0LA_1LC0RD_1LA1LC_1RC1RD	rk:4:0	false	1.6
0RB0LA_1LC0RD_1LA1LC_1RC1RD	rk:5:0	false	4.5
0RB0LA_1LC0RD_1LA1LC_1RC1RD	rk:6:0	false	15.9
0RB0LA_1LC0RD_1LA1RB_1RC1RD	rk:4:0	true	4.0
0RB0LA_1LC0RD_1LA1RD_0LD1RC	rk:4:0	true	1.0
0RB0LA_1LC0RD_1LA1RD_1LA1RC	rk:4:0	true	0.9
0RB0LA_1LC0RD_1LA1RD_1LB1RC	rk:4:0	false	3.0
0RB0LA_1LC0RD_1LA1RD_1LB1RC	rk:5:0	false	11.1
0RB0LA_1LC0RD_1LA1RD_1LB1RC	rk:6:0	false	56.9
0RB0LA_1LC0RD_1LD0LC_1RB1RA	rk:4:0	false	6.9
0RB0LA_1LC0RD_1LD0LC_1RB1RA	rk:5:0	false	54.9
0RB0LA_1LC0RD_1LD0LC_1RB1RA	rk:6:0	timeout	300.1
0RB0LA_1LC1LD_0RD1RC_1LA1RB	rk:4:0	false	1.0
0RB0LA_1LC1LD_0RD1RC_1LA1RB	rk:5:0	false	1.1
0RB0LA_1LC1LD_0RD1RC_1LA1RB	rk:6:0	false	1.8
0RB0LA_1LC1LD_1RD0RD_1LA0RC	rk:4:0	false	2.0
0RB0LA_1LC1LD_1RD0RD_1LA0RC	rk:5:0	false	8.4
0RB0LA_1LC1LD_1RD0RD_1LA0RC	rk:6:0	false	50.4
0RB0LA_1LC1RB_0LD1LA_1RA0RA	rk:4:0	true	1.0
0RB0LA_1LC1RB_0LD1LA_1RA0RC	rk:4:0	true	0.9
0RB0LA_1LC1RB_0LD1LD_0RA0LA	rk:4:0	true	0.9
0RB0LA_1LC1RB_0RB1LD_0RA1LA	rk:4:0	true	0.8
0RB0LA_1LC1RB_0RB1LD_0RB1LA	rk:4:0	true	0.8
0RB0LA_1LC1RB_0RB1LD_0RD1LA	rk:4:0	true	0.9
0RB0LA_1LC1RB_0RD0LC_1RD1LA	rk:4:0	false	1.3
0RB0LA_1LC1RB_0RD0LC_1RD1LA	rk:5:0	false	3.7
0RB0LA_1LC1RB_0RD0LC_1RD1LA	rk:6:0	false	13.7
0RB0LA_1LC1RB_0RD1LD_0RA1LA	rk:4:0	true	0.9
0RB0LA_1LC1RB_0RD1LD_0RB1LA	rk:4:0	true	0.8
0RB0LA_1LC1RB_0RD1LD_0RD1LA	rk:4:0	true	0.8
0RB0LA_1LC1RB_1LA0RD_0RA1RC	rk:4:0	false	13.0
0RB0LA_1LC1RB_1LA0RD_0RA1RC	rk:5:0	false	32.2
0RB0LA_1LC1RB_1LA0RD_0RA1RC	rk:6:0	false	85.3
0RB0LA_1LC1RB_1LD0LD_1LA0RA	rk:4:0	false	4.7
0RB0LA_1LC1RB_1LD0LD_1LA0RA	rk:5:0	true	25.3
0RB0LA_1LC1RC_1LA1RD_0LD0RC	rk:4:0	false	2.5
0RB0LA_1LC1RC_1LA1RD_0LD0RC	rk:5:0	false	4.9
0RB0LA_1LC1RC_1LA1RD_0LD0RC	rk:6:0	true	6.0
0RB0LA_1LC1RD_0LD1LA_0RD1RB	rk:4:0	false	2.0
0RB0LA_1LC1RD_0LD1LA_0RD1RB	rk:5:0	false	7.2
0RB0LA_1LC1RD_0LD1LA_0RD1RB	rk:6:0	false	42.2
0RB0LA_1LC1RD_0RB0LA_1RB---	rk:4:0	false	0.6
0RB0LA_1LC1RD_0RB0LA_1RB---	rk:5:0	false	0.8
0RB0LA_1LC1RD_0RB0LA_1RB---	rk:6:0	false	0.8
0RB0LA_1LC1RD_0RB0LD_1RB1LA	rk:4:0	true	0.9
0RB0LA_1LC1RD_0RB1LA_1RB0LA	rk:4:0	true	0.9
0RB0LA_1LC1RD_0RB1LA_1RB0LC	rk:4:0	true	0.9
0RB0LA_1LC1RD_0RB1LA_1RB1RC	rk:4:0	true	1.8
0RB0LA_1LC1RD_0RB1LC_1LA1RB	rk:4:0	false	1.8
0RB0LA_1LC1RD_0RB1LC_1LA1RB	rk:5:0	false	4.4
0RB0LA_1LC1RD_0RB1LC_1LA1RB	rk:6:0	false	21.5
0RB0LA_1LC1RD_0RC1LA_1RB0LA	rk:4:0	true	1.0
0RB0LA_1LC1RD_0RC1LA_1RB0LC	rk:4:0	true	1.0
0RB0LA_1LC1RD_0RC1LA_1RB1RC	rk:4:0	false	7.8
0RB0LA_1LC1RD_0RC1LA_1RB1RC	rk:5:0	false	51.0
0RB0LA_1LC1RD_0RC1LA_1RB1RC	rk:6:0	timeout	300.1
0RB0LA_1LC1RD_0RD0LC_1RB1LA	rk:4:0	false	4.2
0RB0LA_1LC1RD_0RD0LC_1RB1LA	rk:5:0	false	13.1
0RB0LA_1LC1RD_0RD0LC_1RB1LA	rk:6:0	false	79.8
0RB0LA_1LC1RD_0RD0LD_1RB1LA	rk:4:0	true	0.8
0RB0LA_1LC1RD_0RD1LA_---1RB	rk:4:0	false	0.7
0RB0LA_1LC1RD_0RD1LA_---1RB	rk:5:0	false	0.8
0RB0LA_1LC1RD_0RD1LA_---1RB	rk:6:0	false	0.8
0RB0LA_1LC1RD_0RD1LC_1LA1RB	rk:4:0	false	1.6
0RB0LA_1LC1RD_0RD1LC_1LA1RB	rk:5:0	false	5.6
0RB0LA_1LC1RD_0RD1LC_1LA1RB	rk:6:0	false	15.6
0RB0LA_1LC1RD_1LA0LA_0LB0RD	rk:4:0	true	0.9
0RB0LA_1LC1RD_1LA0LC_1RB0RD	rk:4:0	false	10.6
0RB0LA_1LC1RD_1LA0LC_1RB0RD	rk:5:0	false	107.3
0RB0LA_1LC1RD_1LA0LC_1RB0RD	rk:6:0	timeout	300.1
0RB0LA_1LC1RD_1LA1LC_0LB0RD	rk:4:0	true	0.8
0RB0LA_1RC---_0LC1RD_1LA1RB	rk:4:0	false	0.7
0RB0LA_1RC---_0LC1RD_1LA1RB	rk:5:0	false	0.7
0RB0LA_1RC---_0LC1RD_1LA1RB	rk:6:0	false	0.9
0RB0LA_1RC---_0LD1RB_1LA1RD	rk:4:0	false	0.7
0RB0LA_1RC---_0LD1RB_1LA1RD	rk:5:0	false	0.7
0RB0LA_1RC---_0LD1RB_1LA1RD	rk:6:0	false	0.9
0RB0LA_1RC---_1LA0LD_1RB1RD	rk:4:0	false	0.8
0RB0LA_1RC---_1LA0LD_1RB1RD	rk:5:0	false	0.7
0RB0LA_1RC---_1LA0LD_1RB1RD	rk:6:0	false	0.8
0RB0LA_1RC---_1LA1RB_------	rk:4:0	false	0.8
0RB0LA_1RC---_1LA1RB_------	rk:5:0	false	0.7
0RB0LA_1RC---_1LA1RB_------	rk:6:0	false	0.8
