# spec	rung	verdict	seconds  (tools/closeouttr/ng_batch.py probe)
0RB0LB_1LC0RD_1LA1LC_1LB1RB	rk:6:0	false	1.2
0RB0LB_1LC0RD_1LA1LC_1LB1RB	rk:7:0	true	1.1
0RB0LC_1LA1RB_0RD0LA_1RD1LB	ng:4:0	false	1.0
0RB0LC_1LA1RB_0RD0LA_1RD1LB	ng:5:0	false	1.5
0RB0LC_1LA1RB_0RD0LA_1RD1LB	ng:6:0	false	1.6
0RB0LC_1LA1RB_0RD0LA_1RD1LB	rk:4:0	false	1.5
0RB0LC_1LA1RB_0RD0LA_1RD1LB	rk:4:1024	false	1.5
0RB0LC_1LA1RB_0RD0LA_1RD1LB	rk:4:64	false	1.5
0RB0LC_1LA1RB_0RD0LA_1RD1LB	rk:5:0	false	4.7
0RB0LC_1LA1RB_0RD0LA_1RD1LB	rk:5:64	false	4.7
0RB0LC_1LA1RB_0RD0LA_1RD1LB	rk:6:0	false	14.7
0RB0LC_1LA1RB_0RD0LA_1RD1LB	rk:7:0	false	70.1
0RB0LC_1LC1RB_0LD1LA_0RA---	ng:4:0	false	1.0
0RB0LC_1LC1RB_0LD1LA_0RA---	ng:5:0	false	1.8
0RB0LC_1LC1RB_0LD1LA_0RA---	ng:6:0	false	0.9
0RB0LC_1LC1RB_0LD1LA_0RA---	rk:4:0	false	1.3
0RB0LC_1LC1RB_0LD1LA_0RA---	rk:4:1024	false	1.6
0RB0LC_1LC1RB_0LD1LA_0RA---	rk:4:64	false	1.6
0RB0LC_1LC1RB_0LD1LA_0RA---	rk:5:0	false	2.3
0RB0LC_1LC1RB_0LD1LA_0RA---	rk:5:64	false	2.2
0RB0LC_1LC1RB_0LD1LA_0RA---	rk:6:0	false	6.2
0RB0LC_1LC1RB_0LD1LA_0RA---	rk:7:0	false	13.4
0RB0LC_1LC1RD_1LA0LC_1RA0RC	ng:4:0	false	0.9
0RB0LC_1LC1RD_1LA0LC_1RA0RC	ng:5:0	false	1.8
0RB0LC_1LC1RD_1LA0LC_1RA0RC	ng:6:0	false	2.0
0RB0LC_1LC1RD_1LA0LC_1RA0RC	rk:4:0	false	4.5
0RB0LC_1LC1RD_1LA0LC_1RA0RC	rk:4:1024	false	3.6
0RB0LC_1LC1RD_1LA0LC_1RA0RC	rk:4:64	false	3.5
0RB0LC_1LC1RD_1LA0LC_1RA0RC	rk:5:0	false	19.0
0RB0LC_1LC1RD_1LA0LC_1RA0RC	rk:5:64	false	17.6
0RB0LC_1LC1RD_1LA0LC_1RA0RC	rk:6:0	false	136.8
0RB0LC_1LC1RD_1LA0LC_1RA0RC	rk:7:0	timeout	300.1
0RB0LD_0RC1LB_1LA1RC_0LA0LB	ng:4:0	false	0.9
0RB0LD_0RC1LB_1LA1RC_0LA0LB	ng:5:0	false	1.5
0RB0LD_0RC1LB_1LA1RC_0LA0LB	ng:6:0	false	1.3
0RB0LD_0RC1LB_1LA1RC_0LA0LB	rk:4:0	false	1.4
0RB0LD_0RC1LB_1LA1RC_0LA0LB	rk:4:1024	false	1.4
0RB0LD_0RC1LB_1LA1RC_0LA0LB	rk:4:64	false	1.4
0RB0LD_0RC1LB_1LA1RC_0LA0LB	rk:5:0	false	2.7
0RB0LD_0RC1LB_1LA1RC_0LA0LB	rk:5:64	false	2.6
0RB0LD_0RC1LB_1LA1RC_0LA0LB	rk:6:0	false	7.3
0RB0LD_0RC1LB_1LA1RC_0LA0LB	rk:7:0	false	20.7
0RB0LD_1LA1RC_1RD0LA_1RB0LC	ng:4:0	false	1.0
0RB0LD_1LA1RC_1RD0LA_1RB0LC	ng:5:0	false	1.4
0RB0LD_1LA1RC_1RD0LA_1RB0LC	ng:6:0	false	1.1
0RB0LD_1LA1RC_1RD0LA_1RB0LC	rk:4:0	false	1.0
0RB0LD_1LA1RC_1RD0LA_1RB0LC	rk:4:1024	false	1.0
0RB0LD_1LA1RC_1RD0LA_1RB0LC	rk:4:64	false	1.2
0RB0LD_1LA1RC_1RD0LA_1RB0LC	rk:5:0	false	1.4
0RB0LD_1LA1RC_1RD0LA_1RB0LC	rk:5:64	false	1.4
0RB0LD_1LA1RC_1RD0LA_1RB0LC	rk:6:0	false	2.6
0RB0LD_1LA1RC_1RD0LA_1RB0LC	rk:7:0	false	9.0
0RB0LD_1LC1RD_0RD0LA_1LA1RB	ng:4:0	false	1.0
0RB0LD_1LC1RD_0RD0LA_1LA1RB	ng:5:0	false	1.6
0RB0LD_1LC1RD_0RD0LA_1LA1RB	ng:6:0	false	1.1
0RB0LD_1LC1RD_0RD0LA_1LA1RB	rk:4:0	false	0.9
0RB0LD_1LC1RD_0RD0LA_1LA1RB	rk:4:1024	false	0.9
0RB0LD_1LC1RD_0RD0LA_1LA1RB	rk:4:64	false	0.9
0RB0LD_1LC1RD_0RD0LA_1LA1RB	rk:5:0	false	1.2
0RB0LD_1LC1RD_0RD0LA_1LA1RB	rk:5:64	false	1.2
0RB0LD_1LC1RD_0RD0LA_1LA1RB	rk:6:0	false	1.9
0RB0LD_1LC1RD_0RD0LA_1LA1RB	rk:7:0	false	3.8
0RB0LD_1RC1RB_1LD1LC_0RA1LA	ng:4:0	false	0.8
0RB0LD_1RC1RB_1LD1LC_0RA1LA	ng:5:0	false	1.0
0RB0LD_1RC1RB_1LD1LC_0RA1LA	ng:6:0	false	0.8
0RB0LD_1RC1RB_1LD1LC_0RA1LA	rk:4:0	false	0.9
0RB0LD_1RC1RB_1LD1LC_0RA1LA	rk:4:1024	false	1.0
0RB0LD_1RC1RB_1LD1LC_0RA1LA	rk:4:64	false	1.0
0RB0LD_1RC1RB_1LD1LC_0RA1LA	rk:5:0	false	1.1
0RB0LD_1RC1RB_1LD1LC_0RA1LA	rk:5:64	false	1.1
0RB0LD_1RC1RB_1LD1LC_0RA1LA	rk:6:0	false	1.4
0RB0LD_1RC1RB_1LD1LC_0RA1LA	rk:7:0	false	2.1
0RB0RB_0LC1RB_1RD1LC_0LB1RA	ng:4:0	false	0.8
0RB0RB_0LC1RB_1RD1LC_0LB1RA	ng:5:0	false	1.0
0RB0RB_0LC1RB_1RD1LC_0LB1RA	ng:6:0	false	0.8
0RB0RB_0LC1RB_1RD1LC_0LB1RA	rk:4:0	false	1.1
0RB0RB_0LC1RB_1RD1LC_0LB1RA	rk:4:1024	false	1.2
0RB0RB_0LC1RB_1RD1LC_0LB1RA	rk:4:64	false	1.1
0RB0RB_0LC1RB_1RD1LC_0LB1RA	rk:5:0	false	1.5
0RB0RB_0LC1RB_1RD1LC_0LB1RA	rk:5:64	false	1.5
0RB0RB_0LC1RB_1RD1LC_0LB1RA	rk:6:0	false	2.3
0RB0RB_0LC1RB_1RD1LC_0LB1RA	rk:7:0	false	4.1
0RB0RC_1RC0RA_1LD0LD_1RB1LC	ng:4:0	false	1.6
0RB0RC_1RC0RA_1LD0LD_1RB1LC	ng:5:0	false	3.9
0RB0RC_1RC0RA_1LD0LD_1RB1LC	ng:6:0	false	7.5
0RB0RC_1RC0RA_1LD0LD_1RB1LC	rk:4:0	false	15.9
0RB0RC_1RC0RA_1LD0LD_1RB1LC	rk:4:1024	false	16.1
0RB0RC_1RC0RA_1LD0LD_1RB1LC	rk:4:64	false	15.8
0RB0RC_1RC0RA_1LD0LD_1RB1LC	rk:5:0	false	118.6
0RB0RC_1RC0RA_1LD0LD_1RB1LC	rk:5:64	false	121.0
0RB0RC_1RC0RA_1LD0LD_1RB1LC	rk:6:0	timeout	300.1
0RB0RC_1RC0RA_1LD0LD_1RB1LC	rk:7:0	timeout	300.1
0RB1LA_0LC1LC_0RD0LA_1LC1RD	ng:4:0	false	0.8
0RB1LA_0LC1LC_0RD0LA_1LC1RD	ng:5:0	false	1.5
0RB1LA_0LC1LC_0RD0LA_1LC1RD	ng:6:0	false	0.9
0RB1LA_0LC1LC_0RD0LA_1LC1RD	rk:4:0	false	1.0
0RB1LA_0LC1LC_0RD0LA_1LC1RD	rk:4:1024	false	1.0
0RB1LA_0LC1LC_0RD0LA_1LC1RD	rk:4:64	false	1.1
0RB1LA_0LC1LC_0RD0LA_1LC1RD	rk:5:0	false	1.3
0RB1LA_0LC1LC_0RD0LA_1LC1RD	rk:5:64	false	1.3
0RB1LA_0LC1LC_0RD0LA_1LC1RD	rk:6:0	false	2.1
0RB1LA_0LC1LC_0RD0LA_1LC1RD	rk:7:0	false	3.2
0RB1LA_1LC1RB_0RA1LD_1LB0LA	ng:4:0	false	0.9
0RB1LA_1LC1RB_0RA1LD_1LB0LA	ng:5:0	false	1.0
0RB1LA_1LC1RB_0RA1LD_1LB0LA	ng:6:0	false	0.8
0RB1LA_1LC1RB_0RA1LD_1LB0LA	rk:4:0	false	1.1
0RB1LA_1LC1RB_0RA1LD_1LB0LA	rk:4:1024	false	1.1
0RB1LA_1LC1RB_0RA1LD_1LB0LA	rk:4:64	false	1.1
0RB1LA_1LC1RB_0RA1LD_1LB0LA	rk:5:0	false	1.5
0RB1LA_1LC1RB_0RA1LD_1LB0LA	rk:5:64	false	1.5
0RB1LA_1LC1RB_0RA1LD_1LB0LA	rk:6:0	false	2.4
0RB1LA_1LC1RB_0RA1LD_1LB0LA	rk:7:0	false	4.2
0RB1LA_1LC1RB_1RA0LD_0LC1LA	ng:4:0	false	0.9
0RB1LA_1LC1RB_1RA0LD_0LC1LA	ng:5:0	false	1.0
0RB1LA_1LC1RB_1RA0LD_0LC1LA	ng:6:0	false	0.9
0RB1LA_1LC1RB_1RA0LD_0LC1LA	rk:4:0	false	1.1
0RB1LA_1LC1RB_1RA0LD_0LC1LA	rk:4:1024	false	1.1
0RB1LA_1LC1RB_1RA0LD_0LC1LA	rk:4:64	false	1.1
0RB1LA_1LC1RB_1RA0LD_0LC1LA	rk:5:0	false	1.5
0RB1LA_1LC1RB_1RA0LD_0LC1LA	rk:5:64	false	1.5
0RB1LA_1LC1RB_1RA0LD_0LC1LA	rk:6:0	false	2.6
0RB1LA_1LC1RB_1RA0LD_0LC1LA	rk:7:0	false	4.7
0RB1LA_1LC1RD_0RD0LC_1LA1RB	ng:4:0	false	0.9
0RB1LA_1LC1RD_0RD0LC_1LA1RB	ng:5:0	false	1.3
0RB1LA_1LC1RD_0RD0LC_1LA1RB	ng:6:0	false	1.4
0RB1LA_1LC1RD_0RD0LC_1LA1RB	rk:4:0	false	1.6
0RB1LA_1LC1RD_0RD0LC_1LA1RB	rk:4:1024	false	1.6
0RB1LA_1LC1RD_0RD0LC_1LA1RB	rk:4:64	false	1.6
0RB1LA_1LC1RD_0RD0LC_1LA1RB	rk:5:0	false	5.6
0RB1LA_1LC1RD_0RD0LC_1LA1RB	rk:5:64	false	5.7
0RB1LA_1LC1RD_0RD0LC_1LA1RB	rk:6:0	false	16.4
0RB1LA_1LC1RD_0RD0LC_1LA1RB	rk:7:0	false	88.4
0RB1LA_1RC0LA_1RD1LD_1LB1RD	ng:4:0	false	1.1
0RB1LA_1RC0LA_1RD1LD_1LB1RD	ng:5:0	false	1.1
0RB1LA_1RC0LA_1RD1LD_1LB1RD	ng:6:0	false	0.9
0RB1LA_1RC0LA_1RD1LD_1LB1RD	rk:4:0	false	1.0
0RB1LA_1RC0LA_1RD1LD_1LB1RD	rk:4:1024	false	1.0
0RB1LA_1RC0LA_1RD1LD_1LB1RD	rk:4:64	false	1.0
0RB1LA_1RC0LA_1RD1LD_1LB1RD	rk:5:0	false	1.3
0RB1LA_1RC0LA_1RD1LD_1LB1RD	rk:5:64	false	1.3
0RB1LA_1RC0LA_1RD1LD_1LB1RD	rk:6:0	false	2.0
0RB1LA_1RC0LA_1RD1LD_1LB1RD	rk:7:0	false	3.3
0RB1LB_0RC1LD_1LA1RC_0RA0LB	ng:4:0	false	1.0
0RB1LB_0RC1LD_1LA1RC_0RA0LB	ng:5:0	false	0.9
0RB1LB_0RC1LD_1LA1RC_0RA0LB	ng:6:0	false	0.8
0RB1LB_0RC1LD_1LA1RC_0RA0LB	rk:4:0	false	1.0
0RB1LB_0RC1LD_1LA1RC_0RA0LB	rk:4:1024	false	1.0
0RB1LB_0RC1LD_1LA1RC_0RA0LB	rk:4:64	false	0.9
0RB1LB_0RC1LD_1LA1RC_0RA0LB	rk:5:0	true	0.9
0RB1LB_0RC1LD_1LA1RC_0RA0LB	rk:5:64	true	0.9
0RB1LB_0RC1LD_1LA1RC_0RA0LB	rk:6:0	true	1.2
0RB1LB_0RC1LD_1LA1RC_0RA0LB	rk:7:0	true	1.6
0RB1LB_1RC0RD_0LD1RB_0LA1LD	ng:4:0	false	0.9
0RB1LB_1RC0RD_0LD1RB_0LA1LD	ng:5:0	false	1.1
0RB1LB_1RC0RD_0LD1RB_0LA1LD	ng:6:0	false	0.8
0RB1LB_1RC0RD_0LD1RB_0LA1LD	rk:4:0	false	1.4
0RB1LB_1RC0RD_0LD1RB_0LA1LD	rk:4:1024	false	1.4
0RB1LB_1RC0RD_0LD1RB_0LA1LD	rk:4:64	false	1.5
0RB1LB_1RC0RD_0LD1RB_0LA1LD	rk:5:0	false	2.3
0RB1LB_1RC0RD_0LD1RB_0LA1LD	rk:5:64	false	2.3
0RB1LB_1RC0RD_0LD1RB_0LA1LD	rk:6:0	false	4.9
0RB1LB_1RC0RD_0LD1RB_0LA1LD	rk:7:0	false	9.3
0RB1LC_1LA1RB_0RC0LD_0RB1LA	ng:4:0	false	0.9
0RB1LC_1LA1RB_0RC0LD_0RB1LA	ng:5:0	false	0.9
0RB1LC_1LA1RB_0RC0LD_0RB1LA	ng:6:0	false	0.8
0RB1LC_1LA1RB_0RC0LD_0RB1LA	rk:4:0	true	0.8
0RB1LC_1LA1RB_0RC0LD_0RB1LA	rk:4:1024	true	0.8
0RB1LC_1LA1RB_0RC0LD_0RB1LA	rk:4:64	true	0.8
0RB1LC_1LA1RB_0RC0LD_0RB1LA	rk:5:0	true	0.9
0RB1LC_1LA1RB_0RC0LD_0RB1LA	rk:5:64	true	0.9
0RB1LC_1LA1RB_0RC0LD_0RB1LA	rk:6:0	true	1.1
