census_machine	upstream_core_tnf	cert_family	cert_path	exists
0RB0LA_1LC1LD_1RD0RD_1LA0RC	1RB1RC_1LC0LC_1RD0LB_0LA0RD	certs_drift	/home/user/BBB/results/certs_drift/1RB1RC_1LC0LC_1RD0LB_0LA0RD.cert	1
0RB0LC_1LC0RC_1RD1LB_1LA0RD	1RB0LB_1LC1RA_1RD0LC_0LA0RB	certs_drift	/home/user/BBB/results/certs_drift/1RB0LB_1LC1RA_1RD0LC_0LA0RB.cert	1
0RB1LD_1LC1RB_1RA0LC_1LA0LD	1RB1LA_1LC0RB_0LA1RD_1RC0RD	certs_drift	/home/user/BBB/results/certs_drift/1RB1LA_1LC0RB_0LA1RD_1RC0RD.cert	1
0RB1LD_1LC1RB_1RA0LC_1RB0LD	1RB1LA_1LC0RB_0LA1RD_1LA0RD	certs_drift	/home/user/BBB/results/certs_drift/1RB1LA_1LC0RB_0LA1RD_1LA0RD.cert	1
0RB0LA_1RC1RB_0LD0RC_1LD1LA	1RB1RA_0LC0RB_1LC1LD_0RA0LD	certs_fuel	/home/user/BBB/results/certs_fuel/1RB1RA_0LC0RB_1LC1LD_0RA0LD.cert	1
0RB0LB_1LC1RA_0LD0LC_1RD1LB	1RB1LD_0RC0RB_1LC1RA_0LA0RA	certs_fuel	/home/user/BBB/results/certs_fuel/1RB1LD_0RC0RB_1LC1RA_0LA0RA.cert	1
0RB0RB_1LC1RA_0LD0LC_1RD1LB	1RB1LD_0RC0RB_1LC1RA_0LA0LA	certs_fuel	/home/user/BBB/results/certs_fuel/1RB1LD_0RC0RB_1LC1RA_0LA0LA.cert	1
0RB1RC_1LA1RB_0LD0RC_1LD0LA	1RB1LA_0LA1LC_0RD0LC_1RD0RB	certs_fuel	/home/user/BBB/results/certs_fuel/1RB1LA_0LA1LC_0RD0LC_1RD0RB.cert	1
0RB0LD_1LA1LC_0LD0LC_1RD1RB	1RB1RC_0LA0RD_0RD0RC_1LD1LA	certs_irules	/home/user/BBB/results/certs_irules/1RB1RC_0LA0RD_0RD0RC_1LD1LA.cert	1
0RB0LD_1LA1LC_1RD0LC_1RD1RB	1RB1RC_0LA0RD_1LD0RC_1LD1LA	certs_irules	/home/user/BBB/results/certs_irules/1RB1RC_0LA0RD_1LD0RC_1LD1LA.cert	1
0RB0RB_1LA1LC_0LD0LC_1RD1RB	1RB1RC_0LA0LA_0RD0RC_1LD1LA	certs_irules	/home/user/BBB/results/certs_irules/1RB1RC_0LA0LA_0RD0RC_1LD1LA.cert	1
0RB0RC_0RC1RB_1LD1RC_1LA1LD	1RB1LA_1RC1RB_0LD0LA_0LA1LD	certs_irules	/home/user/BBB/results/certs_irules/1RB1LA_1RC1RB_0LD0LA_0LA1LD.cert	1
0RB0RC_1LA1RB_1LD1RC_1LA1LD	1RB1LA_0LA0LC_1RD1LC_1RB1RD	certs_irules	/home/user/BBB/results/certs_irules/1RB1LA_0LA0LC_1RD1LC_1RB1RD.cert	1
0RB0RD_1RC1RB_1LA1LC_1LC1RD	1RB1RA_1LC1LB_0RA0RD_1LB1RD	certs_irules	/home/user/BBB/results/certs_irules/1RB1RA_1LC1LB_0RA0RD_1LB1RD.cert	1
