census_machine	upstream_tnf	upstream_status	cert_family	list	mode	nstates_after	dropped
0RB---_0LC0RB_1RD1LC_0LD1RB	1RB1LA_0LB1RC_0LA0RC	none		B	reroot	3	1
0RB---_0LC0RB_1RD1LC_1LC1RB	1RB1LA_1LA1RC_0LA0RC	none		B	reroot	3	1
0RB---_0LC0RB_1RD1LC_1RB0LB	1RB1LA_1RC0LC_0LA0RC	none		B	reroot	3	1
0RB---_0LC0RB_1RD1LC_1RB1RB	1RB1LA_1RC1RC_0LA0RC	none		B	reroot	3	1
0RB---_0LC0RB_1RD1LD_1LC1RB	1RB1LB_1LA1RC_0LA0RC	none		B	reroot	3	1
0RB---_0LC0RB_1RD1LD_1RB0LD	1RB1LB_1RC0LB_0LA0RC	none		B	reroot	3	1
0RB---_0LC0RC_0LD1LD_1RB0LB	1RB0LB_0LC0RC_0LA1LA	none		B	reroot	3	1
0RB---_0LC0RC_0LD1LD_1RB0LC	1RB0LC_0LC0RC_0LA1LA	none		B	reroot	3	1
0RB---_0LC0RC_0LD1LD_1RB0LD	1RB0LA_0LC0RC_0LA1LA	none		B	reroot	3	1
0RB---_0LC0RC_0LD1LD_1RB1LB	1RB1LB_0LC0RC_0LA1LA	none		B	reroot	3	1
0RB---_0LC0RC_0LD1LD_1RB1LC	1RB1LC_0LC0RC_0LA1LA	none		B	reroot	3	1
0RB---_0LC0RC_0RD1LB_1LC1RD	1RB1LA_0LA1RC_0RB0LB	none		B	reroot	3	1
0RB---_0LC0RC_1LD0RB_1RC1LC	1RB0LC_1LA1RA_0RA0LA	none		B	reroot	3	1
0RB---_0LC0RC_1RB0LD_1RC1LC	1RB0LC_0LA0RA_1RA1LA	none		B	reroot	3	1
0RB---_0LC0RC_1RB1LD_1RC0LD	1RB1LC_0LA0RA_1RA0LC	none		B	reroot	3	1
0RB---_0LC0RC_1RD0RD_1LB1RC	1RB0RB_1LC1RA_0LA0RA	none		B	reroot	3	1
0RB---_0LC0RC_1RD1LC_0LC1RB	1RB1LA_0LA1RC_0LA0RA	none		B	reroot	3	1
0RB---_0LC0RC_1RD1LC_0LD1RB	1RB1LA_0LB1RC_0LA0RA	none		B	reroot	3	1
0RB---_0LC0RC_1RD1LD_1RB1LC	1RB1LB_1RC1LA_0LA0RA	none		B	reroot	3	1
0RB---_0LC0RD_1LD0LC_1RB1LD	1RB0RA_1LC1RB_0RA0LB	none		B	reroot	3	1
0RB---_0LC0RD_1LD1LC_1RB0LC	1RB1RA_1LC0RA_0RA0LB	none		B	reroot	3	1
0RB---_0LC0RD_1LD1LC_1RB1LD	1RB1RA_1LC1RB_0RA0LB	none		B	reroot	3	1
0RB---_0LC0RD_1RB1LC_0LC0RB	1RB1LA_0LA0RC_0LA0RB	none		B	reroot	3	1
0RB---_0LC0RD_1RB1LC_0LC0RD	1RB1LA_0LA0RC_0LA0RC	none		B	reroot	3	1
0RB---_0LC0RD_1RB1LC_0LC1LB	1RB1LA_0LA0RC_0LA1LB	none		B	reroot	3	1
0RB---_0LC0RD_1RB1LC_0LC1LD	1RB1LA_0LA0RC_0LA1LC	none		B	reroot	3	1
0RB---_0LC0RD_1RB1LC_0LC1RB	1RB1LA_0LA0RC_0LA1RB	none		B	reroot	3	1
0RB---_0LC0RD_1RB1LC_1LD0LC	1RB1LA_0LA0RC_1LC0LA	none		B	reroot	3	1
0RB---_0LC0RD_1RB1LC_1LD1LB	1RB1LA_0LA0RC_1LC1LB	none		B	reroot	3	1
0RB---_0LC0RD_1RB1LC_1RC0LD	1RB1LA_0LA0RC_1RA0LC	none		B	reroot	3	1
0RB---_0LC0RD_1RB1LC_1RC0RC	1RB1LA_0LA0RC_1RA0RA	none		B	reroot	3	1
0RB---_0LC0RD_1RB1LC_1RC1LB	1RB1LA_0LA0RC_1RA1LB	none		B	reroot	3	1
0RB---_0LC0RD_1RB1LD_1LC0RB	1RB1LC_0LA0RC_1LA0RB	none		B	reroot	3	1
0RB---_0LC0RD_1RB1LD_1LC1RB	1RB1LC_0LA0RC_1LA1RB	none		B	reroot	3	1
0RB---_0LC0RD_1RD0RC_1LD1RB	1RB0RA_1LB1RC_0LA0RB	none		B	reroot	3	1
0RB---_0LC0RD_1RD1LB_1RB0RD	1RB1LC_1RC0RB_0LA0RB	none		B	reroot	3	1
0RB---_0LC0RD_1RD1LB_1RB1LD	1RB1LC_1RC1LB_0LA0RB	none		B	reroot	3	1
0RB---_0LC0RD_1RD1LC_0LC0RB	1RB1LA_0LA0RC_0LA0RB	none		B	reroot	3	1
0RB---_0LC0RD_1RD1LC_0LC1RB	1RB1LA_0LA1RC_0LA0RB	none		B	reroot	3	1
0RB---_0LC0RD_1RD1LC_1LD1RB	1RB1LA_1LB1RC_0LA0RB	none		B	reroot	3	1
0RB---_0LC0RD_1RD1LC_1RB0RB	1RB1LA_1RC0RC_0LA0RB	none		B	reroot	3	1
0RB---_0LC0RD_1RD1LC_1RB1LB	1RB1LA_1RC1LC_0LA0RB	none		B	reroot	3	1
0RB---_0LC0RD_1RD1LC_1RB1LD	1RB1LA_1RC1LB_0LA0RB	none		B	reroot	3	1
0RB---_0LC0RD_1RD1LC_1RB1RB	1RB1LA_1RC1RC_0LA0RB	none		B	reroot	3	1
0RB---_0LC0RD_1RD1RC_1LD1RB	1RB1RA_1LB1RC_0LA0RB	none		B	reroot	3	1
0RB---_0LC1LB_1LD0RB_1RC1LC	1RB0LC_1LA1RA_0RA1RC	none		B	reroot	3	1
0RB---_0LC1LB_1LD0RB_1RC1LD	1RB0LC_1LA1RB_0RA1RC	none		B	reroot	3	1
0RB---_0LC1LB_1LD0RD_1RC1RB	1RB0LB_1LA1LC_0RA1RC	none		B	reroot	3	1
0RB---_0LC1LB_1LD1LC_1RD1RB	1RB1RA_1LB1LC_0RA1RC	none		B	reroot	3	1
0RB---_0LC1LB_1RB1LD_1RC0LD	1RB1LC_0LA1LB_1RA0LC	none		B	reroot	3	1
0RB---_0LC1LB_1RD1LC_0LC0RB	1RB1LA_0LA0RC_0LA1LC	none		B	reroot	3	1
0RB---_0LC1LB_1RD1LC_0LC1RB	1RB1LA_0LA1RC_0LA1LC	none		B	reroot	3	1
0RB---_0LC1LB_1RD1LC_0LD1RB	1RB1LA_0LB1RC_0LA1LC	none		B	reroot	3	1
0RB---_0LC1LB_1RD1LC_1LC0RB	1RB1LA_1LA0RC_0LA1LC	none		B	reroot	3	1
0RB---_0LC1LC_0LD1RC_1RB1LD	1RB1LA_0LC1LC_0LA1RC	none		B	reroot	3	1
0RB---_0LC1LC_1RD0LB_1LB0RB	1RB0LC_1LC0RC_0LA1LA	none		B	reroot	3	1
0RB---_0LC1LC_1RD0LB_1LB0RD	1RB0LC_1LC0RB_0LA1LA	none		B	reroot	3	1
0RB---_0LC1LC_1RD0LB_1LB1RD	1RB0LC_1LC1RB_0LA1LA	none		B	reroot	3	1
0RB---_0LC1LC_1RD0LC_0LB0RB	1RB0LA_0LC0RC_0LA1LA	none		B	reroot	3	1
0RB---_0LC1LC_1RD0LC_0LB1RC	1RB0LA_0LC1RA_---1LA	none		B	reroot	3	1
0RB---_0LC1LC_1RD0LC_0LB1RD	1RB0LA_0LC1RB_---1LA	none		B	reroot	3	1
0RB---_0LC1LC_1RD0LC_1LB0RB	1RB0LA_1LC0RC_0LA1LA	none		B	reroot	3	1
0RB---_0LC1LC_1RD0LC_1LB0RC	1RB0LA_1LC0RA_---1LA	none		B	reroot	3	1
0RB---_0LC1LC_1RD0LC_1LB1RB	1RB0LA_1LC1RC_---1LA	none		B	reroot	3	1
0RB---_0LC1LC_1RD0LC_1LB1RD	1RB0LA_1LC1RB_---1LA	none		B	reroot	3	1
0RB---_0LC1LC_1RD0LD_0LB0RB	1RB0LB_0LC0RC_0LA1LA	none		B	reroot	3	1
