machine,status,anchor,k0,meta_a,meta_b,kmin,nrules,qh,score
1RB1LA_1LA0LC_1RD0LC_0RD1LB,undecided,0,0,0,0,0,0,?,0
1RB1LA_1LA0RC_1LC1RD_1LD0RB,irules,199995,9523,1,1,3,1,T,20
1RB1LA_1LB1RC_0RC1LD_1LA0LD,undecided,0,0,0,0,0,0,?,0
1RB1LA_1LC0RB_0LD0RA_1LC1RD,undecided,0,0,0,0,0,0,?,0
1RB1LA_1LC0RB_1LD0RA_0LC1RA,undecided,0,0,0,0,0,0,?,0
1RB1LA_1LC0RB_1LD1RB_0LC0RA,undecided,0,0,0,0,0,0,?,0
1RB1LA_1LC0RB_1LD1RC_0LC0LA,undecided,0,0,0,0,0,0,?,0
1RB1LA_1LC0RD_0RA0LC_0LA1RD,undecided,0,0,0,0,0,0,?,0
1RB1LA_1LC0RD_1RA1LC_0LA1RD,irules,192241,119,1,3,2,1,F,0
1RB1LA_1LC1LD_0RD0LC_1RA1RD,undecided,0,0,0,0,0,0,?,0
1RB1LA_1LC1RD_---1LD_1LA0RA,irules,199690,258,1,1,2,1,T,3
1RB1LA_1LC1RD_---1RB_1LA1RB,irules,199397,315,1,1,2,1,T,3
1RB1LA_1LC1RD_0LD0RC_1LA1RB,irules,199401,315,1,1,2,1,T,5
1RB1LA_1LC1RD_0LD1LB_1LA1RB,irules,199383,315,1,1,2,1,T,20
1RB1LA_1LC1RD_0RB0RC_0LA0RB,undecided,0,0,0,0,0,0,?,0
1RB1LA_1LC1RD_1LC1RD_0LA0RB,undecided,0,0,0,0,0,0,?,0
1RB1LA_1LC1RD_1RA1RA_0LA0RB,undecided,0,0,0,0,0,0,?,0
1RB1LA_1LC1RD_1RB0LB_0LA0RB,undecided,0,0,0,0,0,0,?,0
1RB1LA_1RC0LB_0RD0RC_1LD0LA,irules,198405,65,1,1,1,0,F,0
1RB1LA_1RC1LB_1LA0RD_0LB1RD,irules,197080,120,1,3,2,1,F,0
1RB1LA_1RC1LB_1LA1RD_0LB0RC,undecided,0,0,0,0,0,0,?,0
1RB1LA_1RC1RD_1LC1LA_1LA0RA,irules,199691,258,1,1,2,1,T,4
1RB1LB_0LB1RC_1LD0RC_0LB1RA,undecided,0,0,0,0,0,0,?,0
1RB1LB_0LB1RC_1RD0RC_0LA1LC,undecided,0,0,0,0,0,0,?,0
1RB1LB_0RC0LC_1LD0LA_1LD1LB,irules,199993,2221,1,1,1,3,F,0
1RB1LB_1LA1LC_1LB0RD_0LB1RD,undecided,0,0,0,0,0,0,?,0
1RB1LB_1LC0RD_0LB1LA_1LA1RA,irules,199680,118,1,1,6,3,F,0
1RB1LB_1LC1RD_1LD1LA_0RB0LC,irules,199981,8297,1,4,1,1,F,0
1RB1LB_1RC0LA_0LD1RD_0RC1LA,undecided,0,0,0,0,0,0,?,0
1RB1LB_1RC0LA_1LD1RB_0LA1LD,undecided,0,0,0,0,0,0,?,0
1RB1LB_1RC1LA_0RD0RC_1LD1LB,irules,199690,773,1,3,1,0,T,10
1RB1LB_1RC1LA_1LD0RC_1LC1LB,irules,199394,315,1,1,2,1,T,8
1RB1LB_1RC1RD_0LA1RB_1LC0RD,irules,199968,1331,1,1,1,2,F,0
1RB1LC_0LA0LC_0LD0LB_1RD1LC,irules,199714,315,1,1,2,1,T,3
1RB1LC_0LA0RB_0LD1LD_1RA1LC,undecided,0,0,0,0,0,0,?,0
1RB1LC_0LA0RB_1LD1LA_1RA---,undecided,0,0,0,0,0,0,?,0
1RB1LC_0LA0RB_1RA1RD_0LC1LD,undecided,0,0,0,0,0,0,?,0
1RB1LC_0LA0RC_1LA0RD_0LA0RC,undecided,0,0,0,0,0,0,?,0
1RB1LC_0LA0RD_0LD1LC_1RD0RB,undecided,0,0,0,0,0,0,?,0
1RB1LC_0LA0RD_1RD1LA_---0RB,undecided,0,0,0,0,0,0,?,0
1RB1LC_0LA1LD_1LA0RD_0LA1RD,undecided,0,0,0,0,0,0,?,0
1RB1LC_0LA1RD_1LA0RD_---1RB,undecided,0,0,0,0,0,0,?,0
1RB1LC_0LA1RD_1RA1LA_---0RB,undecided,0,0,0,0,0,0,?,0
1RB1LC_0LB1LC_1RD0LA_0LA1RC,irules,199396,315,1,1,10,1,T,3
1RB1LC_0LC0LB_1RD0LD_1LA1RD,irules,199700,258,1,1,2,1,T,8
1RB1LC_0LC0RA_1RD0LD_1LA1RD,irules,199700,258,1,1,2,1,T,8
1RB1LC_0LC0RB_1LA0LD_1RA1LB,undecided,0,0,0,0,0,0,?,0
1RB1LC_0LC0RB_1LA0RD_0LB---,undecided,0,0,0,0,0,0,?,0
1RB1LC_0LC0RB_1LA0RD_0LC---,undecided,0,0,0,0,0,0,?,0
1RB1LC_0LC0RB_1LA1LD_0RB---,undecided,0,0,0,0,0,0,?,0
1RB1LC_0LC0RB_1LA1RD_0LD0LC,undecided,0,0,0,0,0,0,?,0
1RB1LC_0LC0RB_1LA1RD_1LD0LC,undecided,0,0,0,0,0,0,?,0
1RB1LC_0LC0RB_1LA1RD_1RC0RA,undecided,0,0,0,0,0,0,?,0
1RB1LC_0LC0RB_1LD1LA_1LA1RD,undecided,0,0,0,0,0,0,?,0
1RB1LC_0LC0RB_1LD1RC_1LA0LC,undecided,0,0,0,0,0,0,?,0
1RB1LC_0LC1RB_1LA0RD_0LC1RD,undecided,0,0,0,0,0,0,?,0
1RB1LC_0LC1RC_1RD1LA_1LA1RD,irules,199396,315,1,1,2,1,T,5
1RB1LC_0RC1LD_1RD1LA_1LC1RD,irules,199396,315,1,1,1,1,T,7
