# spec	class	quietest_last_fire_in_1e8 (-1: EDGE/HALT)
0RB1LA_1LC1RB_1RD1LD_1RA0LA	QH	2
0RB1LA_1LC1RB_1RD1LD_1RB0LA	QH	2
0RB1LA_1LC1RC_1LD1RC_0RA0LA	DN	99669641
0RB1LA_1LC1RC_1LD1RC_0RB0LA	DN	99668801
0RB1LA_1LC1RC_1LD1RC_0RC0LA	DN	99668801
0RB1LA_1LC1RC_1LD1RC_1LA0LA	DN	99228801
0RB1LA_1LC1RC_1LD1RC_1RA0LA	DN	99229441
0RB1LA_1LC1RC_1LD1RC_1RB0LA	DN	99228161
0RB1LA_1LC1RC_1LD1RC_1RC0LA	DN	99228161
0RB1LA_1LC1RC_1RA1RD_1RC0LA	SP	55924051
0RB1LA_1LC1RC_1RB0LA_------	SP	67108884
0RB1LA_1LC1RC_1RB0LD_---1LA	SP	67108884
0RB1LA_1LC1RC_1RB0RD_0LA1LD	SP	83886066
0RB1LA_1LC1RC_1RB1RD_1LD0LA	SP	38263756
0RB1LA_1LC1RC_1RD0LA_0LD1RB	SP	83885853
0RB1LA_1LC1RC_1RD0LA_1LA1RB	SP	62914000
0RB1LA_1LC1RC_1RD0LA_1LC1RB	SP	52428501
0RB1LA_1LC1RC_1RD0LA_1RA1RB	SP	69904917
0RB1LA_1LC1RC_1RD0LA_1RB0LA	SP	74565429
0RB1LA_1LC1RC_1RD0LA_1RB1LB	SP	82021955
0RB1LA_1LC1RC_1RD0LA_1RB1RB	SP	83885960
0RB1LA_1LC1RC_1RD0LA_1RB1RC	SP	57521878
0RB1LA_1LC1RD_0LD1LA_1RB0LA	QH	2
0RB1LA_1LC1RD_0LD1RA_1RB0LA	QH	2
0RB1LA_1LC1RD_0RA0LA_0LD1RB	DN	99582764
0RB1LA_1LC1RD_0RA0LA_1LC1RB	DN	99807214
0RB1LA_1LC1RD_0RA0LA_1LC1RD	DN	99807213
0RB1LA_1LC1RD_0RA0LA_1RB0LA	QH	2
0RB1LA_1LC1RD_0RA0LD_1RB0LA	SP	67108256
0RB1LA_1LC1RD_0RA1LA_1RB0LA	QH	2
0RB1LA_1LC1RD_0RA1LB_1RB0LA	QH	2
0RB1LA_1LC1RD_0RA1LC_1RB0LA	SP	67108811
0RB1LA_1LC1RD_0RA1LD_1RB0LA	SP	50330072
0RB1LA_1LC1RD_0RA1RA_1RB0LA	QH	2
0RB1LA_1LC1RD_0RB0LA_0LD1RB	DN	99581432
0RB1LA_1LC1RD_0RB0LA_1LC1RB	DN	99805880
0RB1LA_1LC1RD_0RB0LA_1LC1RD	DN	99805879
0RB1LA_1LC1RD_0RB0LA_1RB0LA	QH	2
0RB1LA_1LC1RD_0RB0LC_1LA1RB	DN	99999988
0RB1LA_1LC1RD_0RB0LD_1RB0LA	SP	67108212
0RB1LA_1LC1RD_0RB1LA_1RB0LA	QH	2
0RB1LA_1LC1RD_0RB1LB_1RB0LA	QH	2
0RB1LA_1LC1RD_0RB1LC_1RB0LA	SP	67108765
0RB1LA_1LC1RD_0RB1LD_1RB0LA	SP	50330030
0RB1LA_1LC1RD_0RB1RA_1RB0LA	QH	2
0RB1LA_1LC1RD_0RC1LA_1RB0LA	QH	2
0RB1LA_1LC1RD_0RD0LA_0LD1RB	DN	99581432
0RB1LA_1LC1RD_0RD0LA_1LC1RB	DN	99805880
0RB1LA_1LC1RD_0RD0LA_1LC1RD	DN	99805879
0RB1LA_1LC1RD_0RD0LC_0LA1RB	DN	99999967
0RB1LA_1LC1RD_0RD0LC_1LA1RB	DN	99999990
0RB1LA_1LC1RD_1LA0LA_0LD1RB	DN	99845622
0RB1LA_1LC1RD_1LA0LA_1LC1RB	DN	99668802
0RB1LA_1LC1RD_1LA0LA_1LC1RD	DN	99668801
0RB1LA_1LC1RD_1LA0LA_1RB0LA	QH	2
0RB1LA_1LC1RD_1LA0RD_1RB0LA	SP	67108859
0RB1LA_1LC1RD_1LA1LA_1RB0LA	QH	2
0RB1LA_1LC1RD_1LA1LB_1RB0LA	QH	2
0RB1LA_1LC1RD_1LA1LC_1RB0LA	SP	67108695
0RB1LA_1LC1RD_1LA1LD_1RB0LA	SP	67107171
0RB1LA_1LC1RD_1LA1RA_1RB0LA	QH	2
0RB1LA_1LC1RD_1LA1RB_1RC0LA	SP	83885956
0RB1LA_1LC1RD_1LA1RC_1RB0LA	SP	67108758
0RB1LA_1LC1RD_1LD0LA_1RB0LA	QH	2
0RB1LA_1LC1RD_1LD1LA_1RB0LA	QH	2
0RB1LA_1LC1RD_1LD1LB_1RB0LA	QH	2
0RB1LA_1LC1RD_1LD1RA_1RB0LA	QH	2
0RB1LA_1LC1RD_1LD1RB_1RC0LA	SP	83886116
0RB1LA_1LC1RD_1LD1RC_0RC0LA	DN	99558571
0RB1LA_1LC1RD_1LD1RC_1RB0LA	SP	44739269
0RB1LA_1LC1RD_1RA0LA_0LD1RB	DN	99846462
0RB1LA_1LC1RD_1RA0LA_1LC1RB	DN	99669642
0RB1LA_1LC1RD_1RA0LA_1LC1RD	DN	99669641
0RB1LA_1LC1RD_1RA0LA_1RB0LA	QH	2
0RB1LA_1LC1RD_1RA0RD_1RB0LA	SP	67108905
0RB1LA_1LC1RD_1RA1LA_1RB0LA	QH	2
0RB1LA_1LC1RD_1RA1LB_1RB0LA	QH	2
0RB1LA_1LC1RD_1RA1LC_1RB0LA	SP	67108739
0RB1LA_1LC1RD_1RA1LD_1RB0LA	SP	67107213
0RB1LA_1LC1RD_1RA1RA_1RB0LA	QH	2
0RB1LA_1LC1RD_1RA1RB_1RC0LA	SP	83885907
0RB1LA_1LC1RD_1RA1RC_1RB0LA	SP	89478478
0RB1LA_1LC1RD_1RA1RD_1RC0LA	SP	44739246
0RB1LA_1LC1RD_1RB0LA_0LD1RB	DN	99845622
0RB1LA_1LC1RD_1RB0LA_0LD1RC	SP	75497340
0RB1LA_1LC1RD_1RB0LA_0RC1RC	SP	73819745
0RB1LA_1LC1RD_1RB0LA_1LA1RC	SP	50331446
0RB1LA_1LC1RD_1RB0LA_1LB1RC	SP	50331675
0RB1LA_1LC1RD_1RB0LA_1LC1RB	DN	99667962
0RB1LA_1LC1RD_1RB0LA_1LC1RC	SP	62914279
0RB1LA_1LC1RD_1RB0LA_1LC1RD	DN	99667961
0RB1LA_1LC1RD_1RB0LA_1RB0LA	QH	2
0RB1LA_1LC1RD_1RB0LA_1RB1RC	SP	75497274
0RB1LA_1LC1RD_1RB0LA_1RC0LA	SP	74565473
0RB1LA_1LC1RD_1RB0LA_1RC0LB	SP	67108809
0RB1LA_1LC1RD_1RB0LA_1RC1RC	SP	50331633
0RB1LA_1LC1RD_1RB0LD_1RB0LA	SP	55923357
0RB1LA_1LC1RD_1RB0LD_1RC0LA	SP	57395708
0RB1LA_1LC1RD_1RB1LA_1RB0LA	QH	2
0RB1LA_1LC1RD_1RB1LB_1RB0LA	QH	2
0RB1LA_1LC1RD_1RB1LB_1RC0LA	SP	82022027
0RB1LA_1LC1RD_1RB1RA_1RB0LA	QH	2
0RB1LA_1LC1RD_1RC0LA_1RB0LA	QH	2
0RB1LA_1LC1RD_1RC1LA_1RB0LA	QH	2
0RB1LA_1LC1RD_1RC1LB_1RB0LA	QH	2
0RB1LA_1LC1RD_1RD0LA_0LD1RB	DN	99844782
0RB1LA_1LC1RD_1RD0LA_1LC1RB	DN	99667962
0RB1LA_1LC1RD_1RD0LA_1LC1RD	DN	99667961
0RB1LA_1LC1RD_1RD0LA_1RB0LA	QH	2
0RB1LA_1LC1RD_1RD1LA_1RB0LA	QH	2
0RB1LA_1LC1RD_1RD1LB_1RB0LA	QH	2
0RB1LA_1LC1RD_1RD1LC_1RB0LA	SP	67108651
0RB1LA_1LC1RD_1RD1LD_1RB0LA	SP	67107129
0RB1LA_1LC1RD_1RD1RA_1RB0LA	QH	2
0RB1LA_1RC0LA_0LC1RD_1LA1RB	SP	67108561
0RB1LA_1RC0LA_0LC1RD_1LB1RB	SP	67108645
0RB1LA_1RC0LA_0LC1RD_1LB1RD	DN	99801872
0RB1LA_1RC0LA_0LD0RD_1LD1LB	DN	99944378
0RB1LA_1RC0LA_0LD1LD_1LB1RD	DN	99796546
0RB1LA_1RC0LA_0LD1RB_---1LB	DN	99876214
0RB1LA_1RC0LA_0LD1RB_0LA1LD	SP	50331528
0RB1LA_1RC0LA_0LD1RB_1LA1LD	SP	50331572
0RB1LA_1RC0LA_0LD1RB_1LA1RD	SP	50331594
0RB1LA_1RC0LA_0LD1RB_1LB0RC	DN	99876733
0RB1LA_1RC0LA_0LD1RB_1LB1LD	SP	50331416
0RB1LA_1RC0LA_0LD1RB_1LB1RD	SP	50331690
0RB1LA_1RC0LA_0LD1RB_1RA1LD	SP	50331616
0RB1LA_1RC0LA_0LD1RB_1RC1LD	SP	50331484
0RB1LA_1RC0LA_0LD1RD_1LB1RD	DN	99801872
0RB1LA_1RC0LA_0RD0RD_1LD1LB	DN	99586313
0RB1LA_1RC0LA_0RD1RB_0LD1LB	SP	75497586
0RB1LA_1RC0LA_0RD1RB_1LD0LA	SP	75497412
0RB1LA_1RC0LA_0RD1RB_1LD0LB	DN	99877744
0RB1LA_1RC0LA_0RD1RB_1LD1LA	SP	50331500
0RB1LA_1RC0LA_0RD1RB_1LD1LB	SP	64712121
0RB1LA_1RC0LA_0RD1RB_1LD1RA	SP	50331542
0RB1LA_1RC0LA_0RD1RB_1LD1RC	SP	50331682
0RB1LA_1RC0LA_1LA0RD_1LD1LB	DN	99588059
0RB1LA_1RC0LA_1LA1LD_1LB1RD	DN	99796546
0RB1LA_1RC0LA_1LA1RB_------	SP	50331550
0RB1LA_1RC0LA_1LA1RD_0LD1RB	SP	67108469
0RB1LA_1RC0LA_1LA1RD_1LA1RB	SP	50331309
0RB1LA_1RC0LA_1LA1RD_1LB1RB	SP	67108309
0RB1LA_1RC0LA_1LA1RD_1LB1RD	DN	99801872
0RB1LA_1RC0LA_1LA1RD_1LC1RB	SP	67108736
0RB1LA_1RC0LA_1LA1RD_1RB0LA	SP	59652302
0RB1LA_1RC0LA_1LA1RD_1RB0LC	SP	83885820
0RB1LA_1RC0LA_1LA1RD_1RB1RB	SP	67108694
0RB1LA_1RC0LA_1LA1RD_1RC1RB	SP	67108429
0RB1LA_1RC0LA_1LB0RD_1LD1LB	DN	99587477
0RB1LA_1RC0LA_1LB1LD_1LB1RD	DN	99795218
0RB1LA_1RC0LA_1LB1RB_------	SP	50331644
0RB1LA_1RC0LA_1LB1RD_0LD1RB	SP	50331523
0RB1LA_1RC0LA_1LB1RD_1LA1RB	SP	50331437
0RB1LA_1RC0LA_1LB1RD_1LB1RB	SP	67108561
0RB1LA_1RC0LA_1LB1RD_1LB1RD	DN	99800542
0RB1LA_1RC0LA_1LB1RD_1LC1RB	SP	67108877
0RB1LA_1RC0LA_1LB1RD_1RB0LA	SP	29826182
0RB1LA_1RC0LA_1LB1RD_1RB0LB	DN	99999982
0RB1LA_1RC0LA_1LB1RD_1RB0LC	SP	83886003
0RB1LA_1RC0LA_1LB1RD_1RB1RB	SP	67108833
0RB1LA_1RC0LA_1LB1RD_1RC0LB	DN	99999965
0RB1LA_1RC0LA_1LB1RD_1RC1RB	SP	50331459
0RB1LA_1RC0LA_1LC0RD_1LD1LB	DN	99587477
0RB1LA_1RC0LA_1LC1LD_1LB1RD	DN	99223038
0RB1LA_1RC0LA_1LC1RD_1LB1RD	DN	99799212
0RB1LA_1RC0LA_1LD0RD_1LD1LB	DN	99757421
0RB1LA_1RC0LA_1LD1LD_1LB1RD	DN	99792562
0RB1LA_1RC0LA_1LD1RB_---0LA	SP	50331644
0RB1LA_1RC0LA_1LD1RB_---1LA	SP	50331550
0RB1LA_1RC0LA_1LD1RB_---1LB	DN	99875067
0RB1LA_1RC0LA_1LD1RB_---1RA	SP	50331594
0RB1LA_1RC0LA_1LD1RB_0LA1LC	QH	5
0RB1LA_1RC0LA_1LD1RB_0LA1LD	SP	50331437
0RB1LA_1RC0LA_1LD1RB_0LA1RD	SP	50331638
0RB1LA_1RC0LA_1LD1RB_0RA1LC	QH	5
0RB1LA_1RC0LA_1LD1RB_0RA1LD	SP	50331594
0RB1LA_1RC0LA_1LD1RB_0RB1LC	QH	5
0RB1LA_1RC0LA_1LD1RB_0RB1LD	SP	50331550
0RB1LA_1RC0LA_1LD1RB_1LA1LC	QH	5
0RB1LA_1RC0LA_1LD1RB_1LA1LD	SP	50331479
0RB1LA_1RC0LA_1LD1RB_1LA1RD	SP	50331542
0RB1LA_1RC0LA_1LD1RB_1LB1LC	QH	5
0RB1LA_1RC0LA_1LD1RB_1LB1LD	SP	33554338
0RB1LA_1RC0LA_1LD1RB_1LB1RD	SP	83886094
0RB1LA_1RC0LA_1LD1RB_1LC1RD	SP	50331682
0RB1LA_1RC0LA_1LD1RB_1RA1LC	QH	5
0RB1LA_1RC0LA_1LD1RB_1RA1LD	SP	50331521
0RB1LA_1RC0LA_1LD1RB_1RC1LC	QH	5
0RB1LA_1RC0LA_1LD1RB_1RC1LD	SP	50331395
0RB1LA_1RC0LA_1LD1RD_1LB1RD	DN	99799212
0RB1LA_1RC0LA_1LD1RD_1RB0LA	SP	29826182
0RB1LA_1RC0LA_1RD0LA_1LA1RB	SP	26097870
0RB1LA_1RC0LA_1RD0LA_1LB1RB	SP	52195803
0RB1LA_1RC0LA_1RD0LA_1LC1RB	SP	52195803
0RB1LA_1RC0LA_1RD0LB_1LA1RB	SP	43046673
0RB1LA_1RC0LA_1RD0LB_1LA1RC	DN	99999987
0RB1LA_1RC0LA_1RD0LB_1LB1RB	SP	86093424
0RB1LA_1RC0LA_1RD0LB_1LB1RC	DN	99999981
0RB1LA_1RC0LA_1RD0LB_1LC1RB	SP	43046766
0RB1LA_1RC0LA_1RD0LB_1LC1RC	DN	99999957
0RB1LA_1RC0LA_1RD1LD_1LA1RB	SP	29826132
0RB1LA_1RC0LA_1RD1LD_1LB1RB	SP	59652327
0RB1LA_1RC0LA_1RD1LD_1LB1RD	DN	99791234
0RB1LA_1RC0LA_1RD1LD_1LC1RB	SP	59652351
0RB1LA_1RC0LA_1RD1RB_0LA---	SP	50331594
0RB1LA_1RC0LA_1RD1RB_0LD1LA	SP	50331594
0RB1LA_1RC0LA_1RD1RB_0LD1LB	SP	50331690
0RB1LA_1RC0LA_1RD1RB_1LA---	SP	50331500
0RB1LA_1RC0LA_1RD1RB_1LB0LA	SP	50331501
0RB1LA_1RC0LA_1RD1RB_1LB0LC	SP	50331635
0RB1LA_1RC0LA_1RD1RB_1LB0RD	SP	67108881
0RB1LA_1RC0LA_1RD1RB_1LB1LA	SP	50331411
0RB1LA_1RC0LA_1RD1RB_1LB1LC	SP	50331543
0RB1LA_1RC0LA_1RD1RB_1LB1LD	SP	33554313
0RB1LA_1RC0LA_1RD1RB_1LB1RB	SP	35951171
0RB1LA_1RC0LA_1RD1RB_1LB1RC	SP	50331593
0RB1LA_1RC0LA_1RD1RB_1LB1RD	SP	83886048
0RB1LA_1RC0LA_1RD1RB_1LC---	SP	50331638
0RB1LA_1RC0LA_1RD1RB_1LD0LA	SP	50331501
0RB1LA_1RC0LA_1RD1RB_1LD1LA	SP	50331500
0RB1LA_1RC0LA_1RD1RB_1LD1LB	SP	75497412
0RB1LA_1RC0LA_1RD1RB_1LD1LC	SP	50331585
0RB1LA_1RC0LA_1RD1RB_1LD1RA	SP	50331542
0RB1LA_1RC0LA_1RD1RB_1LD1RB	SP	50331638
0RB1LA_1RC0LA_1RD1RD_1LA1RB	SP	67108740
0RB1LA_1RC0LA_1RD1RD_1LB1RB	SP	67108740
0RB1LA_1RC0LA_1RD1RD_1LB1RD	DN	99797882
0RB1LA_1RC0LD_0LA1RB_1LB1LB	SP	89511250
0RB1LA_1RC0LD_0LA1RB_1LC1LB	SP	89544015
0RB1LA_1RC0LD_0LA1RB_1RB1LB	SP	88390448
0RB1LA_1RC0LD_1LA0LC_1RD1RC	QH	1
0RB1LA_1RC0LD_1LA1RB_0RB1LB	DN	99532410
0RB1LA_1RC0LD_1LA1RB_0RB1LD	SP	50331550
0RB1LA_1RC0LD_1LA1RB_0RD1LB	DN	99812780
0RB1LA_1RC0LD_1LA1RB_1LB0RC	SP	44682029
0RB1LA_1RC0LD_1LA1RB_1LB1LB	SP	89445746
0RB1LA_1RC0LD_1LA1RB_1RB1LB	SP	88317676
0RB1LA_1RC0LD_1LA1RB_1RD1LB	SP	89478458
0RB1LA_1RC0LD_1LD1RC_0RC0LA	DN	99795221
0RB1LA_1RC0LD_1RD1RB_0LA1LB	SP	89511221
0RB1LA_1RC0RD_0LA1RB_1LB1LC	SP	67108854
0RB1LA_1RC0RD_0LA1RB_1LC1LC	SP	50331504
0RB1LA_1RC0RD_0LD1RB_0LA1LD	SP	67108652
0RB1LA_1RC0RD_1LA1RB_0LA1LD	SP	67108718
0RB1LA_1RC0RD_1LB1RB_0LA1LD	SP	67108858
0RB1LA_1RC0RD_1LD1RB_0LA1LD	SP	67108904
0RB1LA_1RC0RD_1RD1RB_0LA1LD	SP	67108762
0RB1LA_1RC1LB_0LA1RD_0LB0RC	SP	67108931
0RB1LA_1RC1LB_0LB1RD_0LA0RC	DN	92274492
0RB1LA_1RC1LB_0LB1RD_1LA0RC	SP	50331576
0RB1LA_1RC1LB_1LA1RD_0LB0RC	QH	3
0RB1LA_1RC1LC_0LA1RD_0RC0RD	DN	99996607
0RB1LA_1RC1LC_0RD0LA_1LB1RD	DN	99313891
0RB1LA_1RC1LC_1LD0RC_0LA0LC	DN	99987611
0RB1LA_1RC1LC_1RD0LB_0LA1RC	SP	52628903
0RB1LA_1RC1LC_1RD0LB_1LA1RC	SP	80956272
0RB1LA_1RC1LD_0LA1RB_0LA0LB	SP	44739254
0RB1LA_1RC1LD_0LA1RB_0LA0RC	DN	99995609
0RB1LA_1RC1LD_0LA1RB_0RC0LA	SP	78176228
0RB1LA_1RC1LD_0LB1RB_0RC0LA	SP	78176368
0RB1LA_1RC1LD_1LA1RB_0LA0LB	SP	44706504
0RB1LA_1RC1LD_1LA1RB_0RC0LA	SP	48315562
0RB1LA_1RC1LD_1LB1RB_0RC0LA	SP	78176334
0RB1LA_1RC1LD_1LB1RC_0RC0LA	DN	99309705
0RB1LA_1RC1LD_1LB1RC_1RC0LA	SP	89576767
0RB1LA_1RC1LD_1LC1RB_0RC0LA	SP	48315666
0RB1LA_1RC1LD_1LD0RB_0LA1LC	SP	37662951
0RB1LA_1RC1LD_1LD1RB_0RC0LA	SP	48315632
0RB1LA_1RC1LD_1LD1RC_0RC0LA	DN	99800545
0RB1LA_1RC1LD_1RD1RB_0LA0LB	SP	44706526
0RB1LA_1RC1RB_0LD0RC_0LA1LD	DN	99999989
0RB1LA_1RC1RB_1LC0LD_0RA0LA	DN	99805210
0RB1LA_1RC1RB_1LC0LD_1RA0LA	DN	99805210
0RB1LA_1RC1RB_1LD0LA_0RB0LD	DN	99999988
0RB1LA_1RC1RB_1LD0LA_0RC0LD	DN	99999990
0RB1LA_1RC1RB_1LD1LA_0RB0LD	DN	99999990
0RB1LA_1RC1RB_1LD1LA_0RC0LD	DN	99999977
0RB1LA_1RC1RC_1LA1RD_1RB0LA	SP	50331527
0RB1LA_1RC1RC_1LD1RC_---0LA	DN	99804545
0RB1LA_1RC1RC_1LD1RD_1RB0LA	SP	50331527
0RB1LA_1RC1RC_1RD0LA_1LA1RB	SP	83885907
0RB1LA_1RC1RC_1RD0LA_1LC1RB	SP	83886048
0RB1LA_1RC1RD_0LA---_1RB0LA	SP	67108811
0RB1LA_1RC1RD_0LA0LA_1RB1LC	SP	43046720
0RB1LA_1RC1RD_0LA1LC_1RB0RC	SP	83885979
0RB1LA_1RC1RD_0LA1RB_1LD0LA	SP	86093408
0RB1LA_1RC1RD_0LB1RB_1LD0LA	SP	43046750
0RB1LA_1RC1RD_0LC1LA_1RB0LA	SP	67108811
0RB1LA_1RC1RD_0LD0LA_1RB1LC	SP	43046800
0RB1LA_1RC1RD_0RD1RB_1LD0LA	SP	14348920
0RB1LA_1RC1RD_1LA---_1RB0LA	SP	67108717
0RB1LA_1RC1RD_1LA0LA_1RB1LC	SP	43046658
0RB1LA_1RC1RD_1LA1LD_1RB0LC	SP	52563437
0RB1LA_1RC1RD_1LA1RB_0LC0LA	SP	75496953
0RB1LA_1RC1RD_1LA1RB_1LD0LA	SP	43046658
0RB1LA_1RC1RD_1LA1RB_1RC0LA	SP	83885642
0RB1LA_1RC1RD_1LB---_1RB0LA	SP	67108857
0RB1LA_1RC1RD_1LB0LA_1RB1LC	SP	86093438
0RB1LA_1RC1RD_1LB1RB_1LD0LA	SP	86093438
0RB1LA_1RC1RD_1LC0LA_1RB0LA	SP	67108717
0RB1LA_1RC1RD_1LC0LA_1RB1LC	SP	86093408
0RB1LA_1RC1RD_1LC0LA_1RB1RC	SP	23914851
0RB1LA_1RC1RD_1LC1LA_1RB0LA	SP	67108717
0RB1LA_1RC1RD_1LC1LB_1RB0LA	SP	67108774
0RB1LA_1RC1RD_1LC1LD_1RB0LA	SP	50331598
0RB1LA_1RC1RD_1LC1RA_1RB0LA	SP	67108761
0RB1LA_1RC1RD_1LC1RB_1LD0LA	SP	17936146
0RB1LA_1RC1RD_1LC1RD_1RB0LA	SP	67108857
0RB1LA_1RC1RD_1LD0LA_1RB0LA	SP	50331504
0RB1LA_1RC1RD_1LD0LA_1RB1LC	SP	33480768
0RB1LA_1RC1RD_1LD0LB_1RB0LA	SP	67108854
0RB1LA_1RC1RD_1LD0RC_1RB0LA	SP	44739260
0RB1LA_1RC1RD_1LD1LA_1RB0LA	SP	50331416
0RB1LA_1RC1RD_1LD1LB_1RB0LA	SP	50331546
0RB1LA_1RC1RD_1LD1RB_0LC0LA	SP	75497254
0RB1LA_1RC1RD_1LD1RB_1LD0LA	SP	43046720
0RB1LA_1RC1RD_1LD1RB_1RB0LA	SP	67108810
0RB1LA_1RC1RD_1LD1RB_1RC0LA	SP	83885885
0RB1LA_1RC1RD_1LD1RC_1RB0LA	SP	55924024
0RB1LA_1RC1RD_1LD1RD_1RB0LA	SP	23967446
0RB1LA_1RC1RD_1RD1RB_1LD0LA	SP	17936132
0RB1LB_0LC0LC_0RD1LA_1LC1RD	DN	92274379
0RB1LB_0LC0LD_1LD1RC_0RC1LA	SP	58720119
0RB1LB_0LC0RD_1LA1RC_1RB1RA	DN	99975878
0RB1LB_0LC0RD_1LA1RC_1RC1RB	SP	33546279
0RB1LB_0LC1LC_0RD0LA_1LA1RD	DN	99999987
0RB1LB_0LC1RB_1LD0RB_1RA1LC	QH	0
0RB1LB_0LC1RD_1LA0LD_1LB0RD	DN	99994143
0RB1LB_0LC1RD_1LA1LB_1LB0RD	DN	99970228
0RB1LB_0LC1RD_1LA1LC_1RB0RA	DN	99983099
0RB1LB_0LC1RD_1LA1LC_1RB0RB	DN	99952773
0RB1LB_0RC0LA_1RD0LB_1LA1RC	QH	0
0RB1LB_0RC0LA_1RD0LB_1LC1RC	QH	0
0RB1LB_0RC0LA_1RD1RC_1LA1LD	DN	99527124
0RB1LB_0RC0LA_1RD1RC_1LB1LD	SP	69855743
0RB1LB_0RC0LB_1LD1RC_0RA1LA	DN	99999977
0RB1LB_0RC0LB_1LD1RC_0RC1LA	DN	99999965
0RB1LB_0RC0LB_1RD1LA_1LC1RD	DN	99999990
0RB1LB_0RC0LB_1RD1RA_1LA1RC	QH	0
0RB1LB_0RC0LB_1RD1RC_0LA1LD	DN	99999984
0RB1LB_0RC0LB_1RD1RC_1LA---	QH	0
0RB1LB_0RC0LB_1RD1RC_1LD1LA	DN	99999977
0RB1LB_0RC0LC_0RD1LA_1LC1RD	SP	83885658
0RB1LB_0RC0LC_1RD1LC_1LA1RD	QH	0
0RB1LB_0RC0LD_1LA1RC_1RC1LD	QH	3
0RB1LB_0RC0LD_1LB1RC_0LA1LA	DN	99999976
0RB1LB_0RC0LD_1LB1RC_0RC1LA	DN	99999976
0RB1LB_0RC0LD_1LD1RC_0LA1LA	DN	99999992
0RB1LB_0RC0LD_1LD1RC_0RC1LA	SP	71302757
0RB1LB_0RC0LD_1LD1RD_1RC0LA	DN	99999979
0RB1LB_0RC0LD_1RD1RC_1LA0LB	QH	0
0RB1LB_0RC1LA_1LB1RD_1RC0LA	QH	0
0RB1LB_0RC1LA_1RD0LB_1LA1RC	QH	0
0RB1LB_0RC1LA_1RD0LB_1LC1RC	QH	0
0RB1LB_0RC1LB_1LA1RD_1RC0LB	QH	3
0RB1LB_0RC1LB_1LD1RC_0RA0LB	QH	0
0RB1LB_0RC1LB_1LD1RC_1RA0LB	QH	0
0RB1LB_0RC1LB_1RD0LB_1LA1RC	QH	0
0RB1LB_0RC1LC_0RD0LC_1LA1RD	DN	99999978
0RB1LB_0RC1LD_1LA1RC_0LA0LB	DN	99999982
0RB1LB_0RC1LD_1LA1RC_0LA0LD	DN	99999985
0RB1LB_0RC1LD_1LA1RC_0RA0LB	DN	99999982
0RB1LB_0RC1LD_1LA1RC_0RC0LB	DN	99999985
0RB1LB_0RC1LD_1LA1RC_0RC0LD	DN	99999986
0RB1LB_0RC1LD_1LA1RC_1LB0LA	SP	79691345
0RB1LB_0RC1LD_1LA1RC_1RC0LA	DN	99999986
0RB1LB_0RC1LD_1LA1RC_1RD0LA	DN	92274251
0RB1LB_0RC1LD_1LB1RC_0RA0LB	QH	0
0RB1LB_1LA0LC_0RD1LA_1LC1RD	DN	92274559
0RB1LB_1LA0RC_0LD1RB_1RC1LD	QH	2
0RB1LB_1LA0RC_1RB0LD_1LC---	SP	89462154
0RB1LB_1LA1LC_0RD0LA_1LA1RD	DN	99999989
0RB1LB_1LA1LC_1RC0RD_0LB0RC	DN	99999982
0RB1LB_1LA1LC_1RC0RD_0LB1RD	SP	43046750
0RB1LB_1LA1LC_1RD---_0LB0RD	DN	99999990
0RB1LB_1LA1RC_0LA0RD_0LB1RD	SP	78176368
0RB1LB_1LA1RC_1RB0LD_0RB1LD	QH	2
0RB1LB_1LC0LC_0RD1LA_1LC1RD	DN	92274335
0RB1LB_1LC0LC_0RD1LC_1LA1RD	QH	0
0RB1LB_1LC0LC_1RD1LC_1LA1RD	QH	0
0RB1LB_1LC0LD_1LA---_1RD0RB	DN	99914069
0RB1LB_1LC0LD_1LA0LC_1RD1RC	SP	89494776
0RB1LB_1LC0LD_1LD---_1RA1LB	DN	99999956
0RB1LB_1LC0LD_1LD1RC_0RC1LA	SP	58719943
0RB1LB_1LC0RA_0RD0LA_1LA1RD	SP	75497037
0RB1LB_1LC0RA_1RD1LB_0LC0RD	QH	0
0RB1LB_1LC0RD_1LA0LC_1RA0LD	DN	99999955
0RB1LB_1LC1LA_1RC1RD_0LB0RD	QH	0
0RB1LB_1LC1LA_1RD1RB_0LB0RD	QH	0
0RB1LB_1LC1LC_0RD0LA_1LA1RD	DN	99999980
0RB1LB_1LC1LD_1RA0RC_1RC0LD	DN	99995383
0RB1LB_1LC1RB_0RB1LD_0RA0LC	QH	0
0RB1LB_1LC1RB_0RB1LD_1RA0LC	QH	0
0RB1LB_1LC1RB_1RA0LD_0RB1LD	QH	0
0RB1LB_1LC1RC_1RD0LA_0RC1RB	DN	99983152
0RB1LB_1LC1RC_1RD0LA_1LA0RC	DN	99948028
0RB1LB_1LC1RD_1LA0LA_0LB0RD	DN	99999988
0RB1LB_1LC1RD_1LA0RA_0LB0RD	DN	99999988
0RB1LB_1LC1RD_1LA1LB_0LC0RD	SP	67108856
0RB1LB_1LC1RD_1LA1LC_0LB0RD	DN	99999989
0RB1LB_1RC0LA_0LD1RB_0LA1LD	DN	99531881
0RB1LB_1RC0LA_0LD1RB_0RA1LD	DN	99531881
0RB1LB_1RC0LA_0LD1RB_0RC1LD	DN	99529777
