spec	n	t
0RB1LA_1LC1LC_1RD0LB_0LA1RC	2	0
0RB1LA_1LC1LC_1RD0LB_1LA1RC	2	0
0RB1LA_1RC0LD_0LA1RB_1LB1LB	2	0
0RB1LA_1RC0LD_0LA1RB_1RB1LB	2	0
0RB1LA_1RC0LD_1LA0RD_1LB1RA	7	0
0RB1LA_1RC0LD_1LA1RB_0RB1LB	2	0
0RB1LA_1RC0LD_1LA1RB_0RD1LB	3	0
0RB1LA_1RC0LD_1LA1RB_1LB1LB	2	0
0RB1LA_1RC0LD_1LA1RB_1RB1LB	2	0
0RB1LA_1RC0LD_1LA1RB_1RD1LB	3	0
0RB1LA_1RC0LD_1LD0RD_1LB1RA	6	0
0RB1LA_1RC1LC_1RD0LB_0LA1RC	2	0
0RB1LA_1RC1LC_1RD0LB_1LA1RC	2	0
0RB1LA_1RC1RB_1LD1LA_0RB0LD	2	0
0RB1LA_1RC1RB_1LD1LA_0RC0LD	2	0
0RB1LB_1LA0RC_1RB0LD_1LC---	3	0
0RB1LB_1RC0LA_0LD1RB_0LA1LD	2	0
0RB1LB_1RC0LA_0LD1RB_0RA1LD	2	0
0RB1LB_1RC0LA_0LD1RB_0RC1LD	2	0
0RB1LB_1RC0LA_0LD1RB_1LA1LD	2	0
0RB1LB_1RC0LA_0LD1RB_1LB1LD	2	0
0RB1LB_1RC0LA_0LD1RB_1RA1LD	2	0
0RB1LB_1RC0LA_0LD1RB_1RB1LD	2	0
0RB1LB_1RC0LA_0LD1RB_1RC1LD	2	0
0RB1LB_1RC0LA_1LD1RB_0LA1LD	2	0
0RB1LB_1RC0LA_1LD1RB_0RA1LD	2	0
0RB1LB_1RC0LA_1LD1RB_0RB1LD	2	0
0RB1LB_1RC0LA_1LD1RB_0RC1LD	2	0
0RB1LB_1RC0LA_1LD1RB_1LA1LD	2	0
0RB1LB_1RC0LA_1LD1RB_1LB1LD	2	0
0RB1LB_1RC0LA_1LD1RB_1RA1LD	2	0
0RB1LB_1RC0LA_1LD1RB_1RB1LD	2	0
0RB1LB_1RC0LA_1LD1RB_1RC1LD	2	0
0RB1LB_1RC0LB_0RD---_1LD1LA	4	0
0RB1LB_1RC0LC_1LA0RD_1RB1RD	7	0
0RB1LB_1RC0LD_1LD0RD_1LB1RA	7	0
0RB1LC_0LC1RB_1LA0RD_1LC1RC	2	0
0RB1LC_0LC1RB_1LA0RD_1RC1RC	2	0
0RB1LC_1LA1RB_1LA0RD_0LC1RC	2	0
0RB1LC_1LA1RB_1LA0RD_0LD1RC	3	0
0RB1LC_1LA1RB_1LA0RD_1LC1RC	2	0
0RB1LC_1LA1RB_1LA0RD_1LD1RC	3	0
0RB1LC_1LA1RB_1LA0RD_1RC1RC	2	0
0RB1LC_1LC0RD_1LD0LB_1RB1RA	2	0
0RB1LC_1LC1RB_1LA0RD_0LC1RC	2	0
0RB1LC_1LC1RB_1LA0RD_0LD1RC	3	0
0RB1LC_1LC1RB_1LA0RD_1LC1RC	2	0
0RB1LC_1LC1RB_1LA0RD_1LD1RC	3	0
0RB1LC_1LC1RB_1LA0RD_1RC1RC	2	0
0RB1LC_1RC0LA_0RD0LD_1LD1RB	5	0
0RB1LC_1RC0LD_1LA0LA_1RD0RA	6	0
0RB1LC_1RC0LD_1LA0RB_1LB---	3	0
0RB1LC_1RC0LD_1LA1LD_1RA0LD	4	0
0RB1LC_1RC0LD_1RD0RB_1LB1LA	5	0
0RB1LC_1RC1RB_1LA0RD_0LC1RC	2	0
0RB1LC_1RC1RB_1LA0RD_0LD1RC	3	0
0RB1LC_1RC1RB_1LA0RD_1LC1RC	2	0
0RB1LC_1RC1RB_1LA0RD_1LD1RC	3	0
0RB1LC_1RC1RB_1LA0RD_1RC1RC	2	0
0RB1LC_1RC1RB_1LD1LA_0RC0LD	2	0
0RB1LD_0LC1RB_0LD1RD_1LA0RC	2	0
0RB1LD_0LC1RB_1LD1RD_1LA0RC	2	0
0RB1LD_0LC1RB_1RD1RD_1LA0RC	2	0
0RB1LD_0RC1RB_0LD1RD_1LA0RC	2	0
0RB1LD_0RC1RB_1LD1RD_1LA0RC	2	0
0RB1LD_0RC1RB_1RD1RD_1LA0RC	2	0
0RB1LD_1LA1RC_1RB0RC_1RD0LA	7	0
0RB1LD_1LC0LA_1RD0LB_1LA0RC	2	0
0RB1LD_1LC0LB_1RD0LB_1LA0RC	2	0
0RB1LD_1LC0RC_1RD0LB_1LA0RC	2	0
0RB1LD_1LC0RD_1RD0LB_1LA0RC	2	0
0RB1LD_1LC1LB_1RD0LB_1LA0RC	3	0
0RB1LD_1LC1LC_1RD0LB_1LA0RC	2	0
0RB1LD_1LC1RA_1RD0LB_1LA0RC	2	0
0RB1LD_1LC1RB_0LD1RD_1LA0RC	2	0
0RB1LD_1LC1RB_1LD1RD_1LA0RC	2	0
0RB1LD_1LC1RB_1RD0LB_1LA0RC	3	0
0RB1LD_1LC1RB_1RD1RD_1LA0RC	2	0
0RB1LD_1LC1RC_1RD0LB_1LA0RC	2	0
0RB1LD_1LC1RD_1RD0LB_1LA0RC	2	0
0RB1LD_1RC0LA_1LB0RD_1RB1LA	4	0
0RB1LD_1RC0LA_1LD0RD_1RB1LA	4	0
0RB1LD_1RC0LD_0LA0RD_1LB1RA	8	0
0RB1LD_1RC1RB_0LC1RD_1LA0RC	3	0
0RB1LD_1RC1RB_0LD1RD_1LA0RC	2	0
0RB1LD_1RC1RB_1LA1LC_0RC0LD	2	0
0RB1LD_1RC1RB_1LC1RD_1LA0RC	3	0
0RB1LD_1RC1RB_1LD1RD_1LA0RC	2	0
0RB1LD_1RC1RB_1RD1RD_1LA0RC	2	0
0RB1LD_1RC1RD_1LA1RC_1RB0LA	2	0
0RB1RA_0LC1RC_1LD0RB_0RA1LC	2	0
0RB1RA_0LC1RC_1LD0RB_1RA1LC	2	0
0RB1RA_1LC0RA_1LD0LD_1RB1LC	8	0
0RB1RA_1LC1RB_0LD0LC_1RD1LA	6	0
0RB1RA_1LC1RC_1LD0RB_0RA1LC	2	0
0RB1RA_1LC1RC_1LD0RB_1RA1LC	2	0
0RB1RA_1RC0RC_1LD0RB_0RA0LC	2	0
0RB1RA_1RC0RC_1LD0RB_1RA0LC	2	0
0RB1RA_1RC0RD_1LD0RB_1RA0LC	2	0
0RB1RA_1RC1LD_1LD0RB_1RA0LC	2	0
0RB1RA_1RC1RC_1LD0RB_0RA1LC	2	0
0RB1RA_1RC1RC_1LD0RB_1RA1LC	2	0
0RB1RA_1RC1RD_1LD0RB_1RA0LC	2	0
0RB1RB_1LC0RC_0LD1RA_1RC1LD	6	0
0RB1RC_1LC0RA_0LD0RD_1RD1LB	5	0
0RB1RC_1LC0RD_1LD0LB_1RB1RA	5	0
0RB1RC_1LC1RA_1LD0LD_1RB0LB	4	0
0RB1RC_1RC0LD_1RD0RB_1LB1LA	2	0
0RB1RD_1LC0LD_1RD0RA_1LB0RC	2	0
0RB1RD_1LC1LB_1RA0LC_0LB0RA	4	0
0RB1RD_1LC1LB_1RA0LC_1RB0RA	4	0
0RB1RD_1LC1RA_0LD1RA_1RD0LC	8	0
0RB1RD_1LC1RD_1LA0LC_0RD1RB	7	0
0RB1RD_1RC---_1LD0RB_1RA0LC	3	0
0RB1RD_1RC0LC_1LB1LD_0RD1RA	7	0
0RB1RD_1RC0LD_0LA0RD_1LB1RA	7	0
0RB1RD_1RC0LD_1LD0RD_1LB1RA	6	0
0RB1RD_1RC1LC_0RD0LA_1LD0LB	4	0
1RB---_0LC0RC_0LD1LC_1RA1LB	2	0
1RB---_1LC0RA_1RD0LB_0LB1RC	3	0
1RB---_1LC0RA_1RD0LB_0LC1RC	3	0
1RB---_1LC0RA_1RD0LB_0RA1RC	3	0
1RB---_1LC0RA_1RD0LB_1LC1RC	3	0
1RB---_1LC0RA_1RD0LB_1LD1RC	3	0
1RB---_1LC0RA_1RD0LB_1RA1RC	3	0
1RB---_1LC0RA_1RD0LB_1RB1RC	3	0
1RB---_1LC0RB_0LD0LB_0RA1LB	2	0
1RB---_1LC0RC_0LD1LC_1RA1LB	2	0
1RB---_1RC1RA_1LD0RB_0RB0LC	3	0
1RB---_1RC1RA_1LD0RB_1RB0LC	3	0
1RB0LA_0LB0RC_1LD0RD_1LA1LB	10	0
1RB0LA_0LC0RA_1LA1LD_1LC0LC	2	0
1RB0LA_0LC0RD_1LC1LA_0RC0LA	3	0
1RB0LA_0LC0RD_1LC1LA_0RC1LB	3	0
1RB0LA_0LC1LC_1RD1LB_0RA0RB	2	0
1RB0LA_0LC1RC_0RD1LA_1LB0RC	7	0
1RB0LA_0RC---_1LC1LD_0RA1LA	4	0
1RB0LA_0RC0LA_1LC0LD_1RB1LB	4	0
1RB0LA_0RC0LA_1LD1RD_1LA0RB	2	0
1RB0LA_0RC0LB_1LC1RD_1RB1LA	4	0
1RB0LA_0RC0LD_1LD1RD_1LA1RB	2	0
1RB0LA_0RC0RA_0LD1RA_1LA---	2	0
1RB0LA_0RC0RA_0LD1RA_1LD0LA	2	0
1RB0LA_0RC0RA_0LD1RA_1RC1LA	2	0
1RB0LA_0RC0RA_0LD1RC_1LA1RA	2	0
1RB0LA_0RC0RA_1LD1RC_1LB0LD	4	0
1RB0LA_0RC0RC_1LC1RD_1RB1LA	2	0
1RB0LA_0RC0RC_1LD1RD_1LA1RB	2	0
1RB0LA_0RC0RD_0LD0RB_1LD1LA	4	0
1RB0LA_0RC0RD_0LD1RA_1RC1LA	2	0
1RB0LA_0RC0RD_1LA0LC_1RC1RB	4	0
1RB0LA_0RC0RD_1LA0RC_0LC1RA	2	0
1RB0LA_0RC0RD_1LA1LC_1LB1RB	4	0
1RB0LA_0RC0RD_1LA1LC_1LC1RB	4	0
1RB0LA_0RC0RD_1LA1RA_0LC1RA	2	0
1RB0LA_0RC0RD_1LA1RB_1LC1RC	2	0
1RB0LA_0RC0RD_1LA1RD_1LC1RB	2	0
1RB0LA_0RC0RD_1LC1RD_1RB1LA	2	0
1RB0LA_0RC1LA_0LD0RB_1LD1LA	4	0
1RB0LA_0RC1LA_0RD1LA_1LD0RC	5	0
1RB0LA_0RC1LA_1LC1LD_0RD0RB	4	0
1RB0LA_0RC1LA_1LD0RB_1LD1LA	4	0
1RB0LA_0RC1LA_1LD0RB_1LD1LB	4	0
1RB0LA_0RC1LA_1RD0LB_1LB1RB	2	0
1RB0LA_0RC1LA_1RD0RA_0LB1RB	2	0
1RB0LA_0RC1LA_1RD0RA_1LB0RA	2	0
1RB0LA_0RC1LA_1RD1RB_0LB1RB	2	0
1RB0LA_0RC1LA_1RD1RB_1LB0RA	2	0
1RB0LA_0RC1LA_1RD1RB_1LB1RB	2	0
1RB0LA_0RC1LA_1RD1RC_0LB1RB	2	0
1RB0LA_0RC1LA_1RD1RD_1LB1RB	2	0
1RB0LA_0RC1LC_1LD0LA_1LD1LB	4	0
1RB0LA_0RC1LD_1LC0RB_1LA0RA	4	0
1RB0LA_0RC1LD_1LD0LA_1LB1LA	4	0
1RB0LA_0RC1RB_0RD1RC_1LD1LA	3	0
1RB0LA_0RC1RC_0LD1RA_1LA0RA	2	0
1RB0LA_0RC1RD_1LA1LC_0LC0RB	4	0
1RB0LA_0RC1RD_1LC1LA_0RB0RC	3	0
1RB0LA_1LB0LC_1RD1LD_0RB1LA	4	0
1RB0LA_1LB1RC_1RD1LC_1LA0RD	2	0
1RB0LA_1LC0LC_1RD0LB_1LA0RC	2	0
1RB0LA_1LC0RA_1RD0LB_1LB1RC	3	0
1RB0LA_1LC0RB_1RC1LD_1LA1RD	2	0
1RB0LA_1LC0RB_1RD0LD_1LA1RB	2	0
1RB0LA_1LC0RB_1RD1LA_1LA1RC	2	0
1RB0LA_1LC0RB_1RD1LA_1LD1RC	2	0
1RB0LA_1LC0RB_1RD1LA_1RA1RC	2	0
1RB0LA_1LC0RB_1RD1LA_1RB1RC	2	0
1RB0LA_1LC0RB_1RD1LD_1LA1RD	2	0
1RB0LA_1LC0RC_1RD1LA_1LA0RB	3	0
1RB0LA_1LC0RC_1RD1LA_1LA0RC	2	0
1RB0LA_1LC0RC_1RD1LA_1LA0RD	2	0
1RB0LA_1LC0RC_1RD1LA_1LA1LB	2	0
1RB0LA_1LC0RC_1RD1LA_1LA1RB	2	0
1RB0LA_1LC0RC_1RD1LA_1RB0RC	2	0
1RB0LA_1LC0RC_1RD1LA_1RB1LB	2	0
1RB0LA_1LC0RC_1RD1LA_1RB1RB	2	0
1RB0LA_1LC0RD_1LA0LB_1RB0RD	3	0
1RB0LA_1LC0RD_1LA0LC_1RB0RB	2	0
1RB0LA_1LC0RD_1LA0LC_1RB0RD	2	0
1RB0LA_1LC0RD_1LA1RB_1LC1RC	2	0
1RB0LA_1LC0RD_1LB1LD_0RB1RA	6	0
1RB0LA_1LC0RD_1LC1LD_0RB1RA	6	0
1RB0LA_1LC0RD_1LD0LB_1RB0RA	2	0
1RB0LA_1LC1LA_1RD0LB_1LA0RC	2	0
1RB0LA_1LC1LA_1RD0LB_1RA0RC	2	0
1RB0LA_1LC1LD_1RD0LB_1LA0RC	3	0
1RB0LA_1LC1RC_1LA1RD_0RB0RB	2	0
1RB0LA_1LC1RC_1LA1RD_0RC0RB	2	0
1RB0LA_1LC1RC_1LA1RD_1LC0RB	2	0
1RB0LA_1LC1RC_1LA1RD_1RA0RB	2	0
1RB0LA_1LC1RC_1LA1RD_1RB0RB	2	0
1RB0LA_1LC1RC_1LA1RD_1RC0RB	2	0
1RB0LA_1LC1RC_1RD1LC_1LA0RD	2	0
1RB0LA_1LC1RD_0RB1LA_1RA0RB	2	0
1RB0LA_1LC1RD_1LA1LB_1LA0RD	2	0
1RB0LA_1LC1RD_1LB1LA_1RA0RB	2	0
1RB0LA_1LC1RD_1LC1LA_1LA0RB	2	0
1RB0LA_1LC1RD_1LC1LA_1RA0RB	2	0
1RB0LA_1LC1RD_1LD1LB_1LA0RD	2	0
1RB0LA_1LC1RD_1RC1LB_1LA0RD	2	0
1RB0LA_1LC1RD_1RD0LB_1LA0RC	2	0
1RB0LA_1LC1RD_1RD1LB_1LA0RD	2	0
1RB0LA_1RC0LC_1RD1LA_0LB0RB	4	0
1RB0LA_1RC1LA_1LD0RD_0RB0LB	4	0
1RB0LA_1RC1LC_0RD0LA_1LD0LB	4	0
1RB0LA_1RC1LC_1RD1LA_0LB0RB	4	0
1RB0LA_1RC1LC_1RD1LA_1LB0RB	4	0
1RB0LA_1RC1RA_0RD0RB_1LD0LA	2	0
1RB0LA_1RC1RA_1LD0RB_0RA0LC	2	0
1RB0LB_0LC0RA_1LA0RD_1RC0RC	2	0
1RB0LB_0LC0RC_1LA1RD_1LC0RD	4	0
1RB0LB_0LC0RD_1LA1LC_1LB0RC	8	0
1RB0LB_0LC0RD_1RC1LD_1RA0LA	4	0
1RB0LB_0LC1LA_0RD1LB_1RC0RC	5	0
1RB0LB_0LC1LB_0RD1LA_1LC1RD	2	0
1RB0LB_0RC0LD_1LC1RA_0RA0LC	4	0
1RB0LB_0RC0RC_1LD1RC_1LA0LA	2	0
1RB0LB_0RC0RD_1LD0RA_0LA0LC	2	0
1RB0LB_0RC0RD_1LD1LA_0LA1RB	7	0
1RB0LB_0RC1LA_1RD1RC_1LB1LD	2	0
1RB0LB_0RC1LD_1LB1RC_0LA1LA	6	0
1RB0LB_0RC1LD_1LD0RA_0LA0LD	2	0
1RB0LB_0RC1LD_1RD0LA_1LB0RA	2	0
1RB0LB_0RC1LD_1RD1RC_1LB0RA	2	0
1RB0LB_0RC1RB_0RD0RB_1LD0LA	7	0
1RB0LB_0RC1RB_1LD1RA_1LA---	2	0
1RB0LB_0RC1RB_1LD1RC_1LA1LD	2	0
1RB0LB_0RC1RB_1LD1RD_1LA0LB	2	0
1RB0LB_0RC1RB_1LD1RD_1LA0RC	2	0
1RB0LB_1LA0RC_0LD0RA_1LD1LA	4	0
1RB0LB_1LA0RC_1LD1RD_1LB1RB	6	0
1RB0LB_1LA1LC_0RC1RD_0RA1RC	7	0
1RB0LB_1LC0RA_1RD0LB_0LA1RC	3	0
1RB0LB_1LC0RA_1RD0LB_1LA1RC	2	0
1RB0LB_1LC0RA_1RD0LB_1LB1RC	3	0
1RB0LB_1LC0RB_0LA0LD_0RA1LB	2	0
1RB0LB_1LC0RB_0LD1LD_0RA1LB	2	0
1RB0LB_1LC0RB_0LD1RA_1RD0LC	4	0
1RB0LB_1LC0RD_0RA1LA_1RA1RD	7	0
1RB0LB_1LC0RD_0RC0LD_1LA1RD	4	0
1RB0LB_1LC0RD_1LA0LB_0RB1RD	2	0
1RB0LB_1LC0RD_1LA0LB_1RB0RA	2	0
1RB0LB_1LC0RD_1LA0LB_1RB0RD	2	0
1RB0LB_1LC0RD_1LA0LB_1RB1RA	3	0
1RB0LB_1LC0RD_1LA0LB_1RB1RD	3	0
1RB0LB_1LC0RD_1LA0LD_0RB1RD	2	0
1RB0LB_1LC0RD_1LA0RB_1RC1RA	2	0
1RB0LB_1LC0RD_1LA1LB_0LA0RA	2	0
1RB0LB_1LC0RD_1LA1LB_0RB1RD	2	0
1RB0LB_1LC0RD_1LA1LC_0RB1RD	2	0
1RB0LB_1LC0RD_1LA1LC_1RB1RD	2	0
1RB0LB_1LC0RD_1LA1LD_1LB0RA	2	0
1RB0LB_1LC0RD_1LD1LC_1RB0RA	2	0
1RB0LB_1LC1LA_1RD1RC_0LA1LD	2	0
1RB0LB_1LC1LB_0RD1LA_1LC1RD	2	0
1RB0LB_1LC1LB_1RC0RD_1LA1RD	2	0
1RB0LB_1LC1RB_0LD1RD_1LA0RB	2	0
1RB0LB_1LC1RC_1LA1RD_1LB0RD	4	0
1RB0LB_1LC1RD_1LA0LB_1LA0RD	2	0
1RB0LB_1LC1RD_1LA0LC_0RB0RC	2	0
1RB0LB_1LC1RD_1LA0LD_0RB1RB	2	0
1RB0LB_1LC1RD_1LA1LA_1LA0RD	2	0
1RB0LB_1LC1RD_1LA1LC_0RB1RB	2	0
1RB0LB_1LC1RD_1LA1RA_1LA0RD	2	0
1RB0LB_1LC1RD_1RD0LB_1LA0RD	2	0
1RB0LB_1LC1RD_1RD0LC_1LA0RD	2	0
1RB0LB_1LC1RD_1RD1LA_1LA0RD	2	0
1RB0LB_1LC1RD_1RD1RA_1LA0RD	2	0
1RB0LB_1RC0LC_0LD0RA_1RD1LA	4	0
1RB0LB_1RC0RB_0LD0RB_0LA1LD	2	0
1RB0LB_1RC0RB_0LD1RB_0LA1LD	2	0
1RB0LB_1RC0RB_1LD0RB_1LA0LC	3	0
1RB0LB_1RC0RB_1LD0RB_1LA0LD	2	0
1RB0LB_1RC0RC_0LD0RA_1LD1LA	4	0
1RB0LB_1RC1LA_1RD1RC_0LA1LD	2	0
1RB0LB_1RC1LB_0RD0RA_1LD0LB	3	0
1RB0LB_1RC1LB_0RD1RC_1LD0LA	2	0
1RB0LB_1RC1LB_1LD0RB_0LA1LD	2	0
1RB0LB_1RC1LB_1LD1RC_---1LA	2	0
1RB0LB_1RC1LC_0RD0LB_1LD0LA	2	0
1RB0LB_1RC1LD_1LA0RB_0LC1LB	6	256
1RB0LB_1RC1LD_1LA0RB_0LC1RC	7	64
1RB0LB_1RC1LD_1LA0RB_0LC1RD	6	64
1RB0LB_1RC1RD_1LD0RB_1RA0LC	3	0
1RB0LB_1RC1RD_1LD0RC_0RD0LA	10	0
1RB0LC_0LA0RA_1RD1LD_1RA1LA	7	0
1RB0LC_0LA0RC_0LD1LC_1RA1LB	2	0
1RB0LC_0LA1RA_1LA0RD_1RC---	3	0
1RB0LC_0LA1RD_1LA1LC_0RA1RB	2	0
1RB0LC_0LA1RD_1LA1RC_0RB0RD	2	0
1RB0LC_0LC0LA_1RC0RD_1LB1RD	3	0
1RB0LC_0LC0RA_1LA1LD_1LC---	3	0
1RB0LC_0LC0RA_1LA1LD_1RC1LC	2	0
1RB0LC_0LC0RA_1LA1RD_1LC1LD	3	0
1RB0LC_0LC0RA_1LA1RD_1LD1LB	2	0
1RB0LC_0LC0RC_1RD1LC_0RA1LA	2	0
1RB0LC_0LC0RD_1RB1LC_1LD1LA	3	0
1RB0LC_0LC1LA_1RC0RD_1LB1RD	3	0
1RB0LC_0LC1LC_1RD1LB_1RA0RB	2	0
1RB0LC_0LC1LC_1RD1LB_1RA1RD	2	0
1RB0LC_0LC1RA_1LA0RD_1RC---	3	0
1RB0LC_0LC1RC_0RD1RD_1LA0LD	2	0
1RB0LC_0LC1RD_1LA1LC_0RB0RD	2	0
1RB0LC_0LC1RD_1LA1RC_0RB0RD	2	0
1RB0LC_0LC1RD_1RD1LB_0RA0RC	2	0
1RB0LC_0LC1RD_1RD1LC_0RA1LA	2	0
1RB0LC_0RC0LA_1RD1RC_1LB0RB	8	0
1RB0LC_0RC0RA_1LD0RD_0LA0LB	2	0
1RB0LC_0RC0RA_1LD1LA_1RA1LD	2	0
1RB0LC_0RC0RB_0LD1RD_1LA1LB	11	0
1RB0LC_0RC0RB_1LD0RD_0LA1RB	2	0
1RB0LC_0RC0RD_0LD0RC_1LA0RA	6	0
1RB0LC_0RC0RD_0LD1LA_1LA0RA	6	0
1RB0LC_0RC0RD_1LB0LD_1LA1RD	4	0
1RB0LC_0RC0RD_1LC1LA_1RA0LA	7	0
1RB0LC_0RC0RD_1LC1LA_1RA0LD	7	0
1RB0LC_0RC0RD_1LC1LA_1RA1LA	7	0
1RB0LC_0RC0RD_1LC1LA_1RA1LB	7	0
1RB0LC_0RC1LD_1RD0LA_1LB1LA	6	0
1RB0LC_0RC1RA_1LD0RA_1LA0LD	2	0
1RB0LC_1LA0LD_0RD1LB_1LB1RC	3	0
1RB0LC_1LA0RA_0RD0LB_1RD1RB	4	0
1RB0LC_1LA0RA_1RD1LD_1RA1LA	6	0
1RB0LC_1LA0RC_0LD1LC_1RA1LB	2	0
1RB0LC_1LA0RC_0RD1RC_1LB1RA	2	0
1RB0LC_1LA0RC_1LA1RD_0RA---	6	0
1RB0LC_1LA0RC_1LA1RD_1LC0RA	6	0
1RB0LC_1LA0RC_1LD1RB_1LB1LD	7	0
1RB0LC_1LA0RD_0LB0RC_1LA0RA	6	0
1RB0LC_1LA0RD_0LB1LA_1LA0RA	6	0
1RB0LC_1LA0RD_0LD0RC_1LA0RA	6	0
1RB0LC_1LA0RD_0LD1LA_1LA0RA	6	0
1RB0LC_1LA0RD_0RA1LD_1RA1LC	4	0
1RB0LC_1LA0RD_1LB1RD_0LB1RC	4	0
1RB0LC_1LA1LC_0RD1RC_1LB1RA	2	0
1RB0LC_1LA1RA_0RD1RC_0LB1RC	2	0
1RB0LC_1LA1RA_1LA0RD_1RC---	3	0
1RB0LC_1LA1RB_0LB0LD_1RD0RB	3	0
1RB0LC_1LA1RB_0LD0LD_1RD0RB	3	0
1RB0LC_1LA1RB_0RA0LD_1RD0RB	3	0
1RB0LC_1LA1RB_0RB0LD_1RD0RB	3	0
1RB0LC_1LA1RB_1LB0LD_1RD0RB	3	0
1RB0LC_1LA1RB_1LD0LD_1RD0RB	3	0
1RB0LC_1LA1RB_1LD1LC_1RD0RB	2	0
1RB0LC_1LA1RB_1RA0LD_1RD0RB	3	0
1RB0LC_1LA1RB_1RC0LD_1RD0RB	3	0
1RB0LC_1LA1RB_1RC1RD_0LB0RB	2	0
1RB0LC_1LA1RB_1RC1RD_1LA0RB	3	0
