spec	n	t
1RB0RC_1LC0LD_1RA0LB_1LB1LC	6	0
1RB1LD_1LC0LD_0RA0LB_1RD1RC	6	0
1RB1LA_1RC0RC_1LD0RD_1LD0LA	6	0
1RB1LD_0RC0LC_1RD1RA_0LA0LD	6	0
1RB1LA_0RC1RD_1LC0LA_1RD0RC	6	0
1RB0LA_1LC0RD_1LA1RB_1LC1RC	6	0
1RB0LC_0LA1RA_1LA0RD_1RC---	6	0
1RB0LD_1RC1RB_1LA0RA_0LA1LD	6	0
1RB1LA_1LC0RA_1LD0LD_0RB0LC	6	0
1RB1RB_1LC0RA_0RD1LB_0LC1RD	6	0
1RB1RA_1LC0LD_1RA0LB_1LC0RC	6	0
1RB0LA_1LC0RC_1RD1LA_1LA0RD	6	0
1RB0LA_1LC0RA_1RD0LB_1LB1RC	6	0
1RB1RD_0LC0RB_1LD1LC_1RA0LB	6	0
1RB1RB_1LC0RA_1RD1LB_1RB1RD	6	0
1RB0RA_1LC1RA_1RD0LD_1LB1RB	6	0
1RB1RA_0LC1RC_1LD0RB_0RA1LC	6	0
1RB1LD_0LC1RB_1LB1RD_1LA0RC	6	0
1RB1RA_1LC1LB_0RA0LD_1RA1LC	6	0
1RB1LA_0RC0RD_1LC0LA_1RA0LA	6	0
1RB0RA_0LC1RA_0LD1LC_1LA0LB	6	0
1RB1RC_1LC0LD_1RA0LB_0RA1RD	6	0
1RB0RD_1LC0LC_1LD1LC_1RA0RB	6	0
1RB1RA_1LC0RA_1LD0LC_0RB0LD	6	0
1RB0RC_1LC0LD_1RA0LB_0LA0LC	6	0
0RB1LB_1RC0LA_1LD1RB_0LA1LD	6	0
1RB1LA_1LA1RC_0LD0RB_0LA1LD	6	0
1RB0RC_1LC0RB_1RA0LD_1LC0LD	6	0
1RB0LD_0LC1RA_1RA1LC_1LA1LA	6	0
1RB1LD_1RC0RB_0LA0RB_0LA1LD	6	0
1RB0LC_1LC0RB_1RD0LD_1LA1RB	6	0
1RB1LA_1RC0RB_1LD0RB_1LA0LC	6	0
1RB0LA_0RC1RC_0LD1RA_1LA0RA	6	0
1RB0LD_1LC1RA_0RB1LC_1RC1LA	6	0
1RB0RA_0LC1RA_0LD1LC_1RA1RB	6	0
1RB0LC_1RC0RA_1LA0LD_0LB0RB	6	0
1RB1RD_1LC0RA_1LA0LB_0LB1LC	6	0
1RB0LD_1RC0RA_1LA1RB_0LA1LD	6	0
1RB0RD_1LC1LB_1LD1LB_1RA0LC	6	0
1RB0RD_1LC0RA_1LA0LB_1RA0RC	6	0
1RB0LB_1LC0RB_0LD1LD_0RA1LB	6	0
1RB0LD_0LC1RA_1LD1LC_0RD1LA	6	0
1RB0RD_1LC1LD_1RD1LB_1RB1RA	6	0
1RB1LC_1LA1RD_1LA1LD_1LA0RB	6	0
1RB0RA_0LC0RA_1LD1RC_1RB1LB	6	0
1RB0LC_1RC0RB_1LA1LD_0LA0RD	6	0
1RB1LA_0LA1RC_1RB0RD_1LA1RD	6	0
1RB1LC_1LA1RD_1RB0LA_0LD1RC	6	0
1RB0RA_0LC0RA_1RA1LD_0LC1LC	6	0
1RB1RC_0LC0LB_1RD1LB_0RA0LA	6	0
1RB0RD_1RC1RA_1LA0RB_0LC1LD	6	0
