# spec	subclass	growth_exp_1e6_1e8	live_density_1e8	quiet_pins_1e8	qc_result
0RB0LD_1RC0RC_1RD1RB_1LA1LD	counter_boxfail	0.075	dense	B0@12	-
0RB0LD_1RC0RD_1LA0LC_1RD1RC	sweep_counter	0.334	dense	B0@1	-
0RB0LD_1RC1LC_1LD1RC_0RC1LA	counter_new	0.062	sparse	B0@1	boarded
0RB0LD_1RC1LD_1LA1RC_0RC1LD	sweep_counter	0.332	dense	B0@1	-
0RB0LD_1RC1LD_1LD1RC_0RC1LA	counter_new	0.077	dense	B0@1	boarded
0RB0LD_1RC1RB_0LA0RB_1LB1LA	counter_boxfail	0.075	dense	A0@0	-
0RB0LD_1RC1RC_1LA1RC_0RB1LD	sweep_counter	0.332	dense	A0@0	-
0RB0LD_1RC1RC_1LA1RC_0RC1LD	sweep_counter	0.332	dense	B0@1	-
0RB0LD_1RC1RC_1LD1RC_0RC1LA	counter_new	0.070	sparse	B0@1	boarded
0RB0LD_1RC1RD_1LA1RC_0RC1LD	sweep_counter	0.332	dense	B0@1	-
0RB0RB_0LC0RA_1LD---_1RA1LC	counter_new	0.073	dense	A0@0	boarded
0RB0RB_0LC0RA_1RB1LD_1LC---	counter_new	0.062	dense	A0@0	boarded
0RB0RB_0LC0RA_1RB1LD_1RA1LC	counter_boxfail	0.068	dense	A0@0	-
0RB0RB_0LC0RB_1LD---_1RA1LC	counter_new	0.073	dense	A0@0	boarded
0RB0RB_0LC1RA_1RB1LD_1LC0RA	counter_boxfail	0.073	dense	A0@0	-
0RB0RB_0LC1RB_1LD0RB_1RA1LC	counter_new	0.061	sparse	A0@0	boarded
0RB0RB_0LC1RB_1LD1LD_1RA1LD	sweep_counter	0.332	dense	A0@0	-
0RB0RB_0LC1RB_1RB1LD_1RA1LD	sweep_counter	0.332	dense	A0@0	-
0RB0RB_0LC1RB_1RD1LC_1LB1RA	sweep_counter	0.334	dense	A0@0	-
0RB0RB_0LC1RB_1RD1LC_1LC1RA	sweep_counter	0.334	dense	A0@0	-
0RB0RB_0LC1RB_1RD1LC_1RB1RA	sweep_counter	0.334	dense	A0@0	-
0RB0RB_0LC1RD_1RB1LC_0LA0RB	counter_new	0.072	sparse	A0@0	boarded
0RB0RB_0LC1RD_1RB1LC_1RC1RA	counter_boxfail	0.076	sparse	A0@0	-
0RB0RB_1LA1LC_0LD0LC_1RD1RB	bouncer_hybrid	0.495	sparse	A0@2	-
0RB0RB_1LC1RB_1RB0LD_1RA1LD	sweep_counter	0.334	dense	A0@0	-
0RB0RB_1RC1LB_1LA1RD_0LB0RC	counter_new	0.073	sparse	A1@3	boarded
0RB0RB_1RC1RA_1LD1LC_0RA0LC	counter_boxfail	0.075	dense	A0@0	-
0RB0RC_1LA1LC_0LD1RA_1RC1LD	counter_new	0.075	dense	B0@1	boarded
0RB0RC_1LA1LC_0LD1RC_1RA1LD	sweep_counter	0.331	dense	B0@1	-
0RB0RC_1LC0RA_1RD1LB_0LC0RD	counter_boxfail	0.062	dense	A0@0,A1@9,B1@8	-
0RB0RC_1LC1LC_0LD1RA_1RC1LD	counter_new	0.075	dense	B0@1	boarded
0RB0RC_1LC1LC_0LD1RC_1RA1LD	sweep_counter	0.331	dense	B0@1	-
0RB0RC_1LC1RA_1RD1LB_0LC0RD	counter_boxfail	0.062	dense	A0@0,A1@9,B1@8	-
0RB0RC_1LC1RD_0RD0LC_1RB1LA	counter_boxfail	0.070	dense	A0@4,A1@18,D1@17	-
0RB0RC_1RC0LA_1LD1RB_0RC0LD	counter_boxfail	0.061	dense	A0@0,A1@9,B1@8	-
0RB0RC_1RC1LA_1LD1RB_0RC0LD	counter_boxfail	0.061	dense	A0@0,A1@9,B1@8	-
0RB0RC_1RC1LB_0LB1RD_0LA0RC	counter_new	0.072	sparse	A0@0	boarded
0RB0RC_1RC1LB_0LB1RD_1RB1RA	counter_boxfail	0.076	sparse	A0@0	-
0RB0RC_1RC1LB_1LA1RD_0LB0RC	counter_new	0.073	sparse	A1@3	boarded
0RB0RC_1RC1LD_0LB0RA_1LB---	counter_new	0.062	dense	A0@0	boarded
0RB0RC_1RC1LD_0LB0RA_1RA1LB	counter_boxfail	0.068	dense	A0@0	-
0RB0RC_1RC1LD_0LB1RA_1LB0RA	counter_boxfail	0.073	dense	A0@0	-
0RB0RC_1RC1LD_0LB1RC_1RA1LD	sweep_counter	0.332	dense	A0@0	-
0RB0RC_1RC1RB_1LD1RA_1LA1LC	bouncer_dense	0.456	dense	B1@7954264,D0@7948803	-
0RB0RC_1RC1RB_1LD1RA_1RB1LC	bouncer_dense	0.456	dense	B1@7954252,D0@7948793	-
0RB0RD_1LC---_1RA1LB_0LB0RA	counter_new	0.073	dense	A0@0	boarded
0RB0RD_1LC---_1RA1LB_0LB0RD	counter_new	0.073	dense	A0@0	boarded
0RB0RD_1LC0LC_1RA1LC_1LB1RD	sweep_counter	0.333	dense	A0@0	-
0RB0RD_1LC0RA_1RD1LB_0LC0RD	counter_boxfail	0.062	dense	A0@0,A1@9,B1@8	-
0RB0RD_1LC0RD_1RA1LB_0LB1RD	counter_new	0.061	sparse	A0@0	boarded
0RB0RD_1LC1LB_0RA0LB_1RB1RA	counter_boxfail	0.075	dense	A0@0	-
0RB0RD_1LC1LC_1RA1LC_0LB1RD	sweep_counter	0.332	dense	A0@0	-
0RB0RD_1RC0LA_1LD1RB_0RC0LD	counter_boxfail	0.060	dense	A0@0,A1@9,B1@8	-
0RB0RD_1RC1LA_1LD1RB_0RC0LD	counter_boxfail	0.061	dense	A0@0,A1@9,B1@8	-
0RB0RD_1RC1LB_1LA1RD_0LB0RC	counter_new	0.073	sparse	A1@3	boarded
0RB0RD_1RC1LB_1LB1RA_0LB1RD	sweep_counter	0.334	dense	A0@0	-
0RB0RD_1RC1LB_1LD1RA_0LB1RD	sweep_counter	0.334	dense	A0@0	-
0RB0RD_1RC1LB_1RD1RA_0LB1RD	sweep_counter	0.334	dense	A0@0	-
0RB1LA_1LC0LD_1LA0LC_1RD1RC	bouncer_hybrid	0.515	sparse	B0@1	-
0RB1LA_1LC1RB_0LD0LA_0RD1RA	sweep_counter	0.329	dense	D0@4	-
0RB1LA_1LC1RB_0LD0LA_1RA1RA	sweep_counter	0.331	dense	D0@3	-
0RB1LA_1LC1RB_0LD0LA_1RC1RA	sweep_counter	0.331	dense	D0@3	-
0RB1LA_1LC1RB_0LD0LA_1RD1RA	sweep_counter	0.329	dense	D0@4	-
0RB1LA_1LC1RB_0LD0LD_1RD1LA	sweep_counter	0.332	dense	C0@2	-
0RB1LA_1LC1RB_0RA0LD_1RD1LA	sweep_counter	0.332	dense	C0@2	-
0RB1LA_1LC1RB_0RA1LD_1LA0LA	sweep_counter	0.333	dense	C0@2	-
0RB1LA_1LC1RB_0RA1LD_1RA0LA	sweep_counter	0.333	dense	C0@2	-
0RB1LA_1LC1RB_0RA1LD_1RB0LA	sweep_counter	0.333	dense	C0@2	-
0RB1LA_1LC1RB_0RB0LD_1RD1LA	sweep_counter	0.332	dense	C0@2	-
0RB1LA_1LC1RB_0RB1LD_1LA0LA	sweep_counter	0.333	dense	C0@2	-
0RB1LA_1LC1RB_0RB1LD_1RA0LA	sweep_counter	0.333	dense	C0@2	-
0RB1LA_1LC1RB_0RB1LD_1RB0LA	sweep_counter	0.333	dense	C0@2	-
0RB1LA_1LC1RB_0RD0LD_1RD1LA	sweep_counter	0.332	dense	C0@2	-
0RB1LA_1LC1RB_1LA0LD_1RD1LA	sweep_counter	0.333	dense	C0@2	-
0RB1LA_1LC1RB_1LD0LD_1RD1LA	sweep_counter	0.332	dense	C0@2	-
0RB1LA_1LC1RB_1LD1LD_1LA0LA	sweep_counter	0.333	dense	C0@2	-
0RB1LA_1LC1RB_1LD1LD_1RA0LA	sweep_counter	0.333	dense	C0@2	-
0RB1LA_1LC1RB_1LD1LD_1RB0LA	sweep_counter	0.333	dense	C0@2	-
0RB1LA_1LC1RB_1RA0LD_1RD1LA	sweep_counter	0.333	dense	C0@2	-
0RB1LA_1LC1RB_1RB0LD_1RD1LA	sweep_counter	0.333	dense	C0@2	-
0RB1LA_1LC1RB_1RC0LD_1RD1LA	sweep_counter	0.332	dense	C0@2	-
0RB1LA_1LC1RB_1RD0LD_1RD1LA	sweep_counter	0.333	dense	C0@2	-
0RB1LA_1LC1RB_1RD1LD_1LA0LA	sweep_counter	0.333	dense	C0@2	-
0RB1LA_1LC1RB_1RD1LD_1RA0LA	sweep_counter	0.333	dense	C0@2	-
0RB1LA_1LC1RB_1RD1LD_1RB0LA	sweep_counter	0.333	dense	C0@2	-
0RB1LA_1LC1RD_0LD1LA_1RB0LA	counter_new	0.075	sparse	C0@2	boarded
0RB1LA_1LC1RD_0LD1RA_1RB0LA	counter_new	0.075	sparse	C0@2	boarded
0RB1LA_1LC1RD_0RA0LA_1RB0LA	counter_new	0.071	sparse	C0@2	boarded
0RB1LA_1LC1RD_0RA1LA_1RB0LA	counter_new	0.075	sparse	C0@2	boarded
0RB1LA_1LC1RD_0RA1LB_1RB0LA	counter_new	0.071	sparse	C0@2	boarded
0RB1LA_1LC1RD_0RA1RA_1RB0LA	counter_new	0.075	sparse	C0@2	boarded
0RB1LA_1LC1RD_0RB0LA_1RB0LA	counter_new	0.071	sparse	C0@2	boarded
0RB1LA_1LC1RD_0RB1LA_1RB0LA	counter_new	0.075	sparse	C0@2	boarded
0RB1LA_1LC1RD_0RB1LB_1RB0LA	counter_new	0.071	sparse	C0@2	boarded
0RB1LA_1LC1RD_0RB1RA_1RB0LA	counter_new	0.075	sparse	C0@2	boarded
0RB1LA_1LC1RD_0RC1LA_1RB0LA	counter_new	0.075	sparse	C0@2	boarded
0RB1LA_1LC1RD_1LA0LA_1RB0LA	counter_new	0.071	sparse	C0@2	boarded
0RB1LA_1LC1RD_1LA1LA_1RB0LA	counter_new	0.075	sparse	C0@2	boarded
0RB1LA_1LC1RD_1LA1LB_1RB0LA	counter_new	0.071	sparse	C0@2	boarded
0RB1LA_1LC1RD_1LA1RA_1RB0LA	counter_new	0.075	sparse	C0@2	boarded
0RB1LA_1LC1RD_1LD0LA_1RB0LA	counter_new	0.071	sparse	C0@2	boarded
0RB1LA_1LC1RD_1LD1LA_1RB0LA	counter_new	0.075	sparse	C0@2	boarded
0RB1LA_1LC1RD_1LD1LB_1RB0LA	counter_new	0.071	sparse	C0@2	boarded
0RB1LA_1LC1RD_1LD1RA_1RB0LA	counter_new	0.075	sparse	C0@2	boarded
0RB1LA_1LC1RD_1RA0LA_1RB0LA	counter_new	0.071	sparse	C0@2	boarded
0RB1LA_1LC1RD_1RA1LA_1RB0LA	counter_new	0.075	sparse	C0@2	boarded
0RB1LA_1LC1RD_1RA1LB_1RB0LA	counter_new	0.071	sparse	C0@2	boarded
0RB1LA_1LC1RD_1RA1RA_1RB0LA	counter_new	0.075	sparse	C0@2	boarded
0RB1LA_1LC1RD_1RB0LA_1RB0LA	counter_new	0.071	sparse	C0@2	boarded
0RB1LA_1LC1RD_1RB1LA_1RB0LA	counter_new	0.075	sparse	C0@2	boarded
0RB1LA_1LC1RD_1RB1LB_1RB0LA	counter_new	0.071	sparse	C0@2	boarded
0RB1LA_1LC1RD_1RB1RA_1RB0LA	counter_new	0.075	sparse	C0@2	boarded
0RB1LA_1LC1RD_1RC0LA_1RB0LA	counter_new	0.071	sparse	C0@2	boarded
0RB1LA_1LC1RD_1RC1LA_1RB0LA	counter_new	0.075	sparse	C0@2	boarded
0RB1LA_1LC1RD_1RC1LB_1RB0LA	counter_new	0.071	sparse	C0@2	boarded
0RB1LA_1LC1RD_1RD0LA_1RB0LA	counter_new	0.071	sparse	C0@2	boarded
0RB1LA_1LC1RD_1RD1LA_1RB0LA	counter_new	0.075	sparse	C0@2	boarded
0RB1LA_1LC1RD_1RD1LB_1RB0LA	counter_new	0.071	sparse	C0@2	boarded
0RB1LA_1LC1RD_1RD1RA_1RB0LA	counter_new	0.075	sparse	C0@2	boarded
0RB1LA_1RC0LA_1LD1RB_0LA1LC	counter_new	0.061	sparse	D0@5	boarded
0RB1LA_1RC0LA_1LD1RB_0RA1LC	counter_new	0.061	sparse	D0@5	boarded
0RB1LA_1RC0LA_1LD1RB_0RB1LC	counter_new	0.061	sparse	D0@5	boarded
0RB1LA_1RC0LA_1LD1RB_1LA1LC	counter_new	0.061	sparse	D0@5	boarded
0RB1LA_1RC0LA_1LD1RB_1LB1LC	counter_new	0.061	sparse	D0@5	boarded
0RB1LA_1RC0LA_1LD1RB_1RA1LC	counter_new	0.061	sparse	D0@5	boarded
0RB1LA_1RC0LA_1LD1RB_1RC1LC	counter_new	0.061	sparse	D0@5	boarded
0RB1LA_1RC0LD_1LA0LC_1RD1RC	bouncer_hybrid	0.515	sparse	B0@1	-
0RB1LA_1RC1LB_1LA1RD_0LB0RC	counter_new	0.073	sparse	A1@3	boarded
0RB1LB_0LC1RB_1LD0RB_1RA1LC	counter_new	0.064	sparse	A0@0	boarded
0RB1LB_0RC0LA_1RD0LB_1LA1RC	counter_boxfail	0.052	dense	A0@0	-
0RB1LB_0RC0LA_1RD0LB_1LC1RC	counter_boxfail	0.058	dense	A0@0	-
0RB1LB_0RC0LB_1RD1RA_1LA1RC	counter_boxfail	0.076	dense	A0@0	-
0RB1LB_0RC0LB_1RD1RC_1LA---	counter_new	0.071	dense	A0@0	boarded
0RB1LB_0RC0LC_1RD1LC_1LA1RD	bouncer_hybrid	0.536	sparse	A0@0	-
0RB1LB_0RC0LD_1LA1RC_1RC1LD	bouncer_hybrid	0.536	sparse	A0@3	-
0RB1LB_0RC0LD_1RD1RC_1LA0LB	counter_new	0.071	dense	A0@0	boarded
0RB1LB_0RC1LA_1LB1RD_1RC0LA	counter_new	0.073	sparse	A0@0	boarded
0RB1LB_0RC1LA_1RD0LB_1LA1RC	counter_new	0.062	sparse	A0@0	boarded
0RB1LB_0RC1LA_1RD0LB_1LC1RC	counter_new	0.060	sparse	A0@0	boarded
0RB1LB_0RC1LB_1LA1RD_1RC0LB	counter_new	0.073	sparse	A0@3	boarded
0RB1LB_0RC1LB_1LD1RC_0RA0LB	sweep_counter	0.331	dense	A0@0	-
0RB1LB_0RC1LB_1LD1RC_1RA0LB	sweep_counter	0.333	dense	A0@0	-
0RB1LB_0RC1LB_1RD0LB_1LA1RC	counter_new	0.062	sparse	A0@0	boarded
0RB1LB_0RC1LD_1LB1RC_0RA0LB	counter_new	0.075	dense	A0@0	boarded
0RB1LB_1LA0RC_0LD1RB_1RC1LD	counter_new	0.066	sparse	A0@2	boarded
0RB1LB_1LA1RC_1RB0LD_0RB1LD	counter_new	0.071	sparse	A0@2	boarded
0RB1LB_1LC0LC_0RD1LC_1LA1RD	sweep_counter	0.333	dense	A0@0	-
0RB1LB_1LC0LC_1RD1LC_1LA1RD	bouncer_hybrid	0.536	sparse	A0@0	-
0RB1LB_1LC0RA_1RD1LB_0LC0RD	counter_boxfail	0.062	dense	A0@0,A1@9,B1@8	-
0RB1LB_1LC1LA_1RC1RD_0LB0RD	counter_new	0.073	dense	A0@0	boarded
0RB1LB_1LC1LA_1RD1RB_0LB0RD	counter_new	0.073	dense	A0@0	boarded
0RB1LB_1LC1RB_0RB1LD_0RA0LC	counter_new	0.062	sparse	A0@0	boarded
0RB1LB_1LC1RB_0RB1LD_1RA0LC	counter_new	0.062	sparse	A0@0	boarded
0RB1LB_1LC1RB_1RA0LD_0RB1LD	sweep_counter	0.333	dense	A0@0	-
0RB1LB_1RC0LA_1LD1RB_0RC0LD	counter_new	0.064	sparse	A0@0	boarded
0RB1LB_1RC0LC_1RD1LC_1LA1RD	bouncer_hybrid	0.536	sparse	A0@0	-
0RB1LB_1RC0LD_0LA1RB_0RB1LD	counter_new	0.064	dense	A0@0	no overflow chain
0RB1LB_1RC0LD_1LA1RB_0RB1LD	counter_new	0.074	dense	A0@0	no overflow chain
0RB1LB_1RC0LD_1LA1RC_0RC1LD	sweep_counter	0.333	dense	A0@0	-
0RB1LB_1RC0LD_1LA1RC_1RC1LD	bouncer_hybrid	0.536	sparse	A0@0	-
0RB1LB_1RC1LA_0LA1RD_0LB0RD	counter_new	0.071	dense	A0@0	no interior chain
0RB1LB_1RC1LB_0LA0RD_0LB1RD	sweep_counter	0.332	dense	A0@0	-
0RB1LB_1RC1LB_0LB1RD_0LA0RC	counter_new	0.070	sparse	A0@0	boarded
0RB1LB_1RC1LB_0LB1RD_1LA0RC	counter_new	0.062	sparse	A0@0	boarded
0RB1LB_1RC1LB_1LA0RD_0LB1RD	sweep_counter	0.333	dense	A0@0	-
0RB1LB_1RC1LB_1LA1RD_0LB0RC	counter_new	0.073	sparse	A1@3	boarded
0RB1LB_1RC1RD_1LB0LA_1LC0RD	counter_new	0.065	dense	A0@0	boarded
0RB1LC_0LC0RB_1RD1LA_0LA1RB	counter_boxfail	0.071	dense	A0@0	-
0RB1LC_0LC1RB_1RD1LC_0LA0RB	sweep_counter	0.332	dense	A0@0	-
0RB1LC_0LC1RB_1RD1LC_1LA0RB	sweep_counter	0.333	dense	A0@0	-
0RB1LC_0LC1RC_1LA0RD_0LC1RD	counter_new	0.064	dense	B0@1	no overflow chain
0RB1LC_0LC1RD_0RD0LC_1LA1RB	counter_boxfail	0.071	dense	B0@1	-
0RB1LC_0LC1RD_1RB1LC_0LA0RB	counter_new	0.070	sparse	A0@0	boarded
0RB1LC_0LC1RD_1RB1LC_1LA0RB	counter_new	0.062	sparse	A0@0	boarded
0RB1LC_0RC1LB_1LA1RD_1RC0LB	counter_new	0.070	sparse	A0@3	boarded
0RB1LC_0RC1LB_1LD1RC_1RA0LB	sweep_counter	0.333	dense	A0@0	-
0RB1LC_0RC1LB_1RD0LB_0LA1RC	counter_new	0.064	dense	A0@0	no overflow chain
0RB1LC_0RC1LB_1RD0LB_1LA1RC	counter_new	0.074	dense	A0@0	no overflow chain
0RB1LC_0RC1LD_1LB1RC_0RA0LB	counter_new	0.062	sparse	A0@0	boarded
0RB1LC_0RC1LD_1LB1RC_1RA0LB	counter_new	0.062	sparse	A0@0	boarded
0RB1LC_0RC1RC_1LA0RD_0LC1RD	counter_new	0.064	dense	B0@1	no overflow chain
0RB1LC_0RC1RD_0RD0LC_1LA1RB	counter_boxfail	0.066	dense	B0@1	-
0RB1LC_1LA1RB_0LD0LA_0RD1RA	counter_new	0.071	dense	D0@32	boarded
0RB1LC_1LA1RB_0LD0LA_1RA1RA	counter_new	0.075	dense	D0@7	boarded
0RB1LC_1LA1RB_0LD0LA_1RC1RA	counter_new	0.075	dense	D0@7	boarded
0RB1LC_1LA1RB_0LD0LA_1RD1RA	counter_new	0.071	dense	D0@58	boarded
0RB1LC_1LA1RB_0LD0LC_1RD1RA	counter_new	0.059	dense	D0@19	no anchor
0RB1LC_1LA1RB_0RB0LD_1RB1LD	bouncer_hybrid	0.536	sparse	A0@2	-
0RB1LC_1LA1RB_0RD0LD_1RB1LD	bouncer_hybrid	0.536	sparse	A0@2	-
0RB1LC_1LA1RB_1LD0LD_0RB1LD	sweep_counter	0.333	dense	A0@2	-
0RB1LC_1LA1RB_1LD0LD_1RB1LD	bouncer_hybrid	0.478	sparse	A0@2	-
0RB1LC_1LA1RB_1RB0LD_0RB1LD	sweep_counter	0.333	dense	A0@2	-
0RB1LC_1LA1RB_1RB0LD_1RB1LD	bouncer_hybrid	0.536	sparse	A0@2	-
0RB1LC_1LA1RB_1RD0LD_0RB1LD	sweep_counter	0.333	dense	A0@2	-
0RB1LC_1LA1RB_1RD0LD_1RB1LD	bouncer_hybrid	0.478	sparse	A0@2	-
0RB1LC_1LA1RC_0LC1RD_1RB0RD	counter_new	0.071	dense	A0@2,B1@3	boarded
0RB1LC_1LA1RC_1LA0RD_0LC1RD	counter_new	0.064	dense	B0@1	no overflow chain
0RB1LC_1LA1RC_1RB0LD_0RC1LD	counter_new	0.074	dense	A0@2	no overflow chain
0RB1LC_1LC0RA_1LD---_1RB0LC	counter_new	0.073	dense	B0@1	boarded
0RB1LC_1LC0RA_1RA1LD_0LC---	counter_new	0.062	dense	B0@1	boarded
0RB1LC_1LC1RA_0LD0LB_1LA1RD	bouncer_dense	0.457	dense	D1@7968795	-
0RB1LC_1LC1RA_1LD0LB_1RB0LA	bouncer_dense	0.457	dense	D1@7972431	-
0RB1LC_1LC1RA_1LD0LB_1RB1LC	bouncer_dense	0.457	dense	D1@7965161	-
0RB1LC_1LC1RA_1LD0LB_1RC0LA	bouncer_dense	0.457	dense	D1@7968795	-
0RB1LC_1LC1RA_1LD0LB_1RC1LC	bouncer_dense	0.456	dense	D1@7961525	-
0RB1LC_1LC1RA_1RD1LB_0LC0RD	counter_new	0.064	sparse	A0@0	boarded
0RB1LC_1LC1RB_0LD0LA_1RD1RA	counter_boxfail	0.066	dense	D0@4	-
0RB1LC_1LC1RB_0RB1LD_0RA0LC	counter_new	0.077	dense	A0@0	boarded
0RB1LC_1LC1RC_1LA0RD_0LC1RD	counter_new	0.064	dense	B0@1	no overflow chain
0RB1LC_1RC0LA_0RD0LD_1LD1RB	counter_boxfail	0.066	dense	A0@0	-
0RB1LC_1RC0LD_0RD0LA_1LA1RD	counter_new	0.072	dense	B1@5	boarded
0RB1LC_1RC0LD_1LA1RB_0RB1LD	counter_new	0.061	sparse	A0@5	boarded
0RB1LC_1RC1LB_0RD0LA_1LA1RD	counter_new	0.072	dense	B1@5	boarded
0RB1LC_1RC1LB_1LA1RD_0LB0RC	counter_new	0.073	sparse	A1@3	boarded
0RB1LC_1RC1LC_0RD0LA_1LA1RD	counter_new	0.069	dense	B1@5	boarded
0RB1LC_1RC1LD_0RD0LA_1LA1RD	counter_new	0.072	dense	B1@5	boarded
0RB1LC_1RC1RC_1LA0RD_0LC1RD	counter_new	0.064	dense	B0@1	no overflow chain
0RB1LC_1RC1RD_0RD0LA_1LA1RD	counter_new	0.069	dense	B1@5	boarded
0RB1LC_1RC1RD_0RD0LC_1LA1RB	counter_boxfail	0.066	dense	B0@1	-
0RB1LD_0LC1RC_1LA1RB_0RC0LD	counter_new	0.071	dense	B0@1	no interior chain
0RB1LD_0LC1RD_0LD1RC_1LA0RC	counter_new	0.064	dense	B0@1	no overflow chain
0RB1LD_0LC1RD_1RB1LC_1LA0RB	counter_new	0.066	sparse	A0@0	boarded
0RB1LD_0RC1LB_1LA1RC_1LB0LB	sweep_counter	0.333	dense	A0@3	-
0RB1LD_0RC1LB_1LA1RC_1RB0LB	sweep_counter	0.333	dense	A0@3	-
0RB1LD_0RC1LB_1LA1RC_1RC0LB	sweep_counter	0.333	dense	A0@3	-
0RB1LD_0RC1LB_1RD0LB_1LA1RC	counter_new	0.061	sparse	A0@6	boarded
0RB1LD_0RC1LD_1LB1RC_1RA0LB	counter_new	0.062	sparse	A0@0	boarded
0RB1LD_0RC1RC_1LA1RB_0RC0LD	counter_boxfail	0.068	dense	B0@1	-
0RB1LD_0RC1RD_0LD1RC_1LA0RC	counter_new	0.064	dense	B0@1	no overflow chain
0RB1LD_1LA0RC_0LD1RB_1RC1LD	counter_new	0.062	sparse	A0@2	boarded
0RB1LD_1LA0RC_0LD1RC_1RB1LD	sweep_counter	0.333	dense	A0@2	-
0RB1LD_1LA1RC_1LA1RB_0RC0LD	counter_boxfail	0.071	dense	B0@1	-
0RB1LD_1LA1RC_1RB0LD_0RB1LD	counter_new	0.075	sparse	A0@2	boarded
0RB1LD_1LA1RC_1RB0LD_0RC1LD	counter_new	0.064	sparse	A0@2	boarded
0RB1LD_1LA1RC_1RB0RC_0LD0LB	counter_new	0.070	dense	A0@9	boarded
0RB1LD_1LA1RC_1RB0RC_0LD1RB	counter_new	0.060	dense	A0@2	boarded
0RB1LD_1LA1RC_1RB0RC_0LD1RC	counter_new	0.071	dense	A0@2,B1@3	boarded
0RB1LD_1LA1RC_1RB1RC_0RC0LD	counter_boxfail	0.071	sparse	A0@2	-
0RB1LD_1LA1RC_1RD0RC_0LD1RB	counter_new	0.071	dense	A0@2	boarded
0RB1LD_1LC0LA_0RC1RB_1RC0LD	counter_new	0.068	dense	A0@0	boarded
0RB1LD_1LC0RA_1RD1LB_0LC0RD	counter_boxfail	0.060	dense	A0@0,A1@9,B1@8	-
0RB1LD_1LC0RD_1RA1LB_0LB1RD	counter_new	0.064	sparse	A0@0	boarded
0RB1LD_1LC0RD_1RA1LB_0LC1RD	counter_new	0.075	sparse	A0@0	boarded
0RB1LD_1LC1LA_0RC1RB_1RC0LD	counter_new	0.057	dense	A0@0,B0@4	boarded
0RB1LD_1LC1RA_1RD1LB_0LC0RD	counter_boxfail	0.062	dense	A0@0,A1@9,B1@8	-
0RB1LD_1LC1RB_0RA0LD_0RB1LD	sweep_counter	0.332	dense	A0@0	-
0RB1LD_1LC1RB_0RB1LD_1RA0LC	counter_new	0.062	sparse	A0@0	boarded
0RB1LD_1LC1RB_1RA0LD_0RB1LD	sweep_counter	0.333	dense	A0@0	-
0RB1LD_1LC1RC_1LA1RB_0RC0LD	counter_boxfail	0.071	dense	B0@6	-
0RB1LD_1LC1RC_1RB0LD_0RC0LA	counter_boxfail	0.060	dense	A0@0	-
0RB1LD_1LC1RD_0LD1RC_1LA0RC	counter_new	0.064	dense	B0@1	no overflow chain
0RB1LD_1RC0LA_1LD1RB_0RC0LD	counter_boxfail	0.062	dense	A0@0,A1@9,B1@8	-
0RB1LD_1RC0LD_1LA1RB_0RB0LA	counter_boxfail	0.055	dense	A0@0	-
0RB1LD_1RC0LD_1LA1RB_0RB1LD	counter_new	0.064	sparse	A0@0	boarded
0RB1LD_1RC0LD_1LA1RB_0RC1LD	counter_new	0.075	sparse	A0@0	boarded
0RB1LD_1RC0LD_1LB1RB_0RB0LA	counter_boxfail	0.060	dense	A0@0	-
0RB1LD_1RC1LB_0LB1RD_1LA0RC	counter_new	0.066	sparse	A0@0	boarded
0RB1LD_1RC1LB_0LD0RC_1LA1RD	counter_new	0.073	dense	D1@3	boarded
0RB1LD_1RC1LB_1LA1RC_0RB0LB	bouncer_hybrid	0.536	sparse	A0@0	-
0RB1LD_1RC1LB_1LA1RC_0RC0LB	bouncer_hybrid	0.536	sparse	A0@0	-
0RB1LD_1RC1LB_1LA1RC_1LB0LB	bouncer_hybrid	0.478	sparse	A0@0	-
0RB1LD_1RC1LB_1LA1RC_1RB0LB	bouncer_hybrid	0.478	sparse	A0@0	-
0RB1LD_1RC1LB_1LA1RC_1RC0LB	bouncer_hybrid	0.536	sparse	A0@0	-
0RB1LD_1RC1RA_1LA1RB_0RB0LD	counter_boxfail	0.078	dense	A0@0	-
0RB1LD_1RC1RB_1LA---_0RB0LD	counter_new	0.073	dense	A0@0	boarded
0RB1LD_1RC1RC_1LA1RB_0RC0LD	counter_boxfail	0.071	dense	B0@1	-
0RB1LD_1RC1RD_0LD1RC_1LA0RC	counter_new	0.064	dense	B0@1	no overflow chain
0RB1RA_1LC1LA_1LD0RA_1RB0LD	counter_new	0.062	dense	B1@4	boarded
0RB1RA_1RC0RC_1LD1RB_1LA0LD	counter_boxfail	0.064	dense	A1@24	-
0RB1RB_0LC0RA_1LD0RB_1RA1LC	counter_boxfail	0.055	dense	A0@0	-
0RB1RB_0LC0RA_1LD0RB_1RC1LC	counter_boxfail	0.060	dense	A0@0	-
0RB1RB_0LC0RB_1LD1LA_1RA1LC	counter_boxfail	0.078	dense	A0@0	-
0RB1RB_0LC0RB_1LD1LC_1RA---	counter_new	0.073	dense	A0@0	boarded
0RB1RB_0LC0RC_1LD1RC_1RA1LD	bouncer_hybrid	0.536	sparse	A0@0	-
0RB1RB_0LC1RB_1LD0RB_1RA1LC	counter_new	0.064	sparse	A0@0	boarded
0RB1RB_0LC1RB_1RD1LC_0LA0RB	sweep_counter	0.332	dense	A0@0	-
