# spec	subclass	growth_exp_1e6_1e8	live_density_1e8	quiet_pins_1e8	qc_result
0RB0LB_0RC1LD_1LB1RC_1LC1LA	counter_boxfail	0.076	sparse	A0@0	-
0RB0LB_0RC1LD_1RD0LA_1LA1RC	counter_new	0.071	dense	A0@0	boarded
0RB0LB_1LC1LA_1RD1RC_0LA0RC	counter_new	0.075	dense	A0@0	no overflow chain
0RB0LB_1LC1RD_0RD0LC_1RB1LA	counter_new	0.075	sparse	A0@4	boarded
0RB0LB_1RC1LB_1LB0RD_1LA1RD	sweep_counter	0.334	dense	A0@0	-
0RB0LB_1RC1LB_1LD0RD_1LA1RD	sweep_counter	0.333	dense	A0@11	-
0RB0LB_1RC1LB_1RD0RD_1LA1RD	sweep_counter	0.333	dense	A0@9	-
0RB0LC_0LC0LC_0RD1LA_1LC1RD	counter_new	0.072	sparse	B0@1	boarded
0RB0LC_0LC0RD_1LA1LC_1RC1RB	counter_boxfail	0.075	dense	B0@1	-
0RB0LC_0LC1LC_0RD1LA_1LC1RD	counter_new	0.077	dense	B0@1	boarded
0RB0LC_0LC1LC_0RD1LC_1LA1RD	sweep_counter	0.332	dense	B0@1	-
0RB0LC_0LC1LD_0RD1LA_1LC1RD	counter_new	0.062	sparse	B0@1	boarded
0RB0LC_0LC1RD_0RD1LA_1LC1RD	counter_new	0.070	sparse	B0@1	boarded
0RB0LC_0LC1RD_0RD1LC_1LA1RD	sweep_counter	0.332	dense	B0@1	-
0RB0LC_0RC0LC_0RD1LA_1LC1RD	counter_new	0.069	sparse	B0@1	boarded
0RB0LC_0RC0RD_1LA1LC_1RC1RB	counter_boxfail	0.073	dense	B0@1	-
0RB0LC_0RC1LC_0RD1LA_1LC1RD	counter_new	0.073	dense	B0@1	boarded
0RB0LC_0RC1LC_0RD1LC_1LA1RD	sweep_counter	0.330	dense	B0@1	-
0RB0LC_0RC1LD_0RD1LA_1LC1RD	counter_new	0.062	sparse	B0@1	boarded
0RB0LC_0RC1RD_0RD1LA_1LC1RD	counter_new	0.067	sparse	B0@1	boarded
0RB0LC_0RC1RD_0RD1LC_1LA1RD	sweep_counter	0.330	dense	B0@1	-
0RB0LC_1LA0LC_0RD1LA_1LC1RD	counter_new	0.072	sparse	B0@1	boarded
0RB0LC_1LA1LC_0RD1LA_1LC1RD	counter_new	0.077	dense	B0@1	boarded
0RB0LC_1LA1LC_0RD1LC_1LA1RD	sweep_counter	0.332	dense	B0@1	-
0RB0LC_1LA1LC_1RD0LC_0RD1LA	counter_new	0.068	dense	B0@1	boarded
0RB0LC_1LA1RB_0LD0LA_1RD1RA	counter_boxfail	0.058	dense	D0@9	-
0RB0LC_1LA1RB_0LD0LC_1RD1RA	counter_boxfail	0.058	dense	D0@9	-
0RB0LC_1LA1RB_0LD1LA_1RD1RA	counter_boxfail	0.064	dense	D0@9	-
0RB0LC_1LA1RB_0RD1LC_1LC1RB	sweep_counter	0.332	dense	A0@2	-
0RB0LC_1LA1RB_0RD1LC_1RB1RB	sweep_counter	0.332	dense	A0@2	-
0RB0LC_1LA1RB_0RD1LC_1RC1RB	sweep_counter	0.332	dense	A0@2	-
0RB0LC_1LA1RB_0RD1LC_1RD1RB	sweep_counter	0.332	dense	A0@2	-
0RB0LC_1LA1RB_1RC1LD_0RB1LD	sweep_counter	0.332	dense	A0@2	-
0RB0LC_1LA1RB_1RD1LC_1LB0RB	sweep_counter	0.333	dense	A0@2	-
0RB0LC_1LA1RB_1RD1LC_1RB0RB	sweep_counter	0.333	dense	A0@2	-
0RB0LC_1LC0LC_0RD1LA_1LC1RD	counter_new	0.072	sparse	B0@1	boarded
0RB0LC_1LC0RA_1RD1LB_0LC0RD	counter_boxfail	0.061	dense	A0@0,A1@9,B1@8	-
0RB0LC_1LC0RD_1LA1LC_1RC1RB	counter_boxfail	0.075	dense	B0@6	-
0RB0LC_1LC1LC_0RD1LA_1LC1RD	counter_new	0.077	dense	B0@1	boarded
0RB0LC_1LC1LC_0RD1LC_1LA1RD	sweep_counter	0.332	dense	B0@1	-
0RB0LC_1LC1LC_1RD0LC_0RD1LA	counter_new	0.068	dense	B0@1	boarded
0RB0LC_1LC1LD_0RD1LA_1LC1RD	counter_new	0.062	sparse	B0@1	boarded
0RB0LC_1LC1RA_1RD1LB_0LC0RD	counter_boxfail	0.061	dense	A0@0,A1@9,B1@8	-
0RB0LC_1LC1RB_0LD0LA_1RD1RA	counter_boxfail	0.060	dense	D0@4	-
0RB0LC_1LC1RB_0LD1LA_0RD1RA	counter_new	0.067	dense	D0@4	boarded
0RB0LC_1LC1RB_0LD1LA_1RA1RA	counter_new	0.070	dense	D0@3	boarded
0RB0LC_1LC1RB_0LD1LA_1RC1RA	counter_new	0.070	dense	D0@3	boarded
0RB0LC_1LC1RB_0LD1LA_1RD1RA	counter_new	0.067	dense	D0@4	boarded
0RB0LC_1LC1RB_0RB1LD_0RA0LC	counter_new	0.072	sparse	A0@0	boarded
0RB0LC_1LC1RB_0RB1LD_1LB1LA	counter_boxfail	0.076	sparse	A0@0	-
0RB0LC_1LC1RB_0RD1LA_1LA0LC	counter_new	0.070	sparse	D1@3	boarded
0RB0LC_1LC1RB_0RD1LA_1LA0LD	counter_new	0.070	sparse	D1@3	boarded
0RB0LC_1LC1RB_0RD1LA_1LA0RC	counter_new	0.067	sparse	D1@3	boarded
0RB0LC_1LC1RB_0RD1LA_1LA0RD	counter_new	0.069	sparse	D1@3	boarded
0RB0LC_1LC1RB_0RD1LA_1LA1LA	counter_new	0.070	sparse	D1@3	boarded
0RB0LC_1LC1RB_0RD1LA_1LA1LD	counter_new	0.070	sparse	D1@3	boarded
0RB0LC_1LC1RB_0RD1LA_1LA1RB	counter_new	0.070	sparse	D1@3	boarded
0RB0LC_1LC1RB_0RD1LA_1LA1RC	counter_new	0.067	sparse	D1@3	boarded
0RB0LC_1LC1RB_0RD1LA_1LA1RD	counter_new	0.070	sparse	D1@3	boarded
0RB0LC_1LC1RB_0RD1LA_1RA1LA	counter_new	0.072	dense	D1@3	boarded
0RB0LC_1LC1RB_0RD1LA_1RA1LD	counter_new	0.072	dense	D1@3	boarded
0RB0LC_1LC1RB_0RD1LA_1RA1RB	counter_new	0.072	dense	D1@3	boarded
0RB0LC_1LC1RB_0RD1LA_1RB0LC	counter_new	0.070	sparse	D1@3	boarded
0RB0LC_1LC1RB_0RD1LA_1RB0LD	counter_new	0.070	sparse	D1@3	boarded
0RB0LC_1LC1RB_0RD1LA_1RB0RC	counter_new	0.067	sparse	D1@3	boarded
0RB0LC_1LC1RB_0RD1LA_1RB0RD	counter_new	0.069	sparse	D1@3	boarded
0RB0LC_1LC1RB_0RD1LA_1RB1LA	counter_new	0.070	sparse	D1@3	boarded
0RB0LC_1LC1RB_0RD1LA_1RB1LD	counter_new	0.070	sparse	D1@3	boarded
0RB0LC_1LC1RB_0RD1LA_1RB1RB	counter_new	0.070	sparse	D1@3	boarded
0RB0LC_1LC1RB_0RD1LA_1RB1RC	counter_new	0.067	sparse	D1@3	boarded
0RB0LC_1LC1RB_0RD1LA_1RB1RD	counter_new	0.070	sparse	D1@3	boarded
0RB0LC_1LC1RB_1RD1LA_0LB0LA	counter_new	0.073	sparse	D1@3	boarded
0RB0LC_1LC1RB_1RD1LA_0LB0LB	counter_new	0.073	sparse	D1@3	boarded
0RB0LC_1LC1RB_1RD1LA_0LB0LC	counter_new	0.073	sparse	D1@3	boarded
0RB0LC_1LC1RB_1RD1LA_0LB0RC	counter_new	0.073	sparse	D1@3	boarded
0RB0LC_1LC1RB_1RD1LA_0LB0RD	counter_new	0.073	sparse	D1@3	boarded
0RB0LC_1LC1RB_1RD1LA_0LB1LA	counter_new	0.073	sparse	D1@3	boarded
0RB0LC_1LC1RB_1RD1LA_0LB1LB	counter_new	0.073	sparse	D1@3	boarded
0RB0LC_1LC1RB_1RD1LA_0LB1LC	counter_new	0.073	sparse	D1@3	boarded
0RB0LC_1LC1RB_1RD1LA_0LB1RB	counter_new	0.073	sparse	D1@3	boarded
0RB0LC_1LC1RB_1RD1LA_0LB1RC	counter_new	0.073	sparse	D1@3	boarded
0RB0LC_1LC1RB_1RD1LA_0LB1RD	counter_new	0.073	sparse	D1@3	boarded
0RB0LC_1LC1RB_1RD1LA_0LC0LA	counter_new	0.073	sparse	D1@3	boarded
0RB0LC_1LC1RB_1RD1LA_0LC0LB	counter_new	0.073	sparse	D1@3	boarded
