machine,list,wave4_status,mxdys_status,mxdys_decider,match_kind
0RB0LA_1LA0RC_1LD---_1RD1RB,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB0LA_1LA0RC_1LD1RB_1RC---,listC,unboarded,nonhalt,NGRAM_CPS_IMPL2_params_1_1_100,direct
0RB0LA_1LA0RC_1LD1RB_1RD1RC,listC,unboarded,,,no-match
0RB0LA_1LA1LC_0RD0LC_1RD1RB,listC,unboarded,,,no-match
0RB0LA_1LA1LC_0RD1RD_1LB1RC,listC,unboarded,,,no-match
0RB0LA_1LA1RC_0LC1RD_1RB---,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB0LA_1LA1RC_0LD---_1RB1RD,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB0LA_1LA1RC_0LD0RC_1LD1RB,listC,unboarded,,,no-match
0RB0LA_1LA1RC_0LD1RB_0RC1LD,listC,unboarded,,,no-match
0RB0LA_1LA1RC_0RD1RB_1LB---,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB0LA_1LA1RC_0RD1RC_1LB---,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_4_2_2_600,direct
0RB0LA_1LA1RC_0RD1RD_1LB0LB,listC,unboarded,,,no-match
0RB0LA_1LA1RC_0RD1RD_1LB1RB,listC,unboarded,,,no-match
0RB0LA_1LA1RC_0RD1RD_1LB1RC,listC,unboarded,,,no-match
0RB0LA_1LA1RC_1LA1RD_1RB---,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB0LA_1LA1RC_1LA1RD_1RC---,listC,unboarded,nonhalt,NGRAM_CPS_IMPL1_params_2_2_2_1600,direct
0RB0LA_1LA1RC_1LB1LD_0RC1RD,listC,unboarded,,,no-match
